Element 1: (1, (4, 1), ['.', '%', '.', '%'], [(1, 8), (6, 5), (10, 1)], [False, True, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 2))
Element 2: (1, (4, 2), ['%', '', '.', '%'], [(1, 7), (7, 5), (11, 1)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (4, 3))
Element 3: (1, (4, 3), ['.', '', '.', '.'], [(1, 6), (8, 5), (12, 1)], [False, False, False, False], 94, False, [True, False, True, True], 87, 'East', (5, 3))
Element 4: (1, (5, 3), ['', '%', '.', '.'], [(1, 5), (9, 5), (13, 1)], [False, True, False, False], 92, False, [False, False, True, True], 126, 'East', (6, 3))
Element 5: (1, (6, 3), ['', '.', '.', '.'], [(1, 4), (10, 5), (14, 1)], [False, False, False, False], 90, False, [False, True, True, True], 165, 'East', (7, 3))
Element 6: (1, (7, 3), ['', '.', '.', '.'], [(1, 3), (10, 4), (13, 1)], [False, False, False, False], 88, False, [False, True, True, True], 1184, 'East', (8, 3))
Element 7: (1, (8, 3), ['', '.', '.', '.'], [(1, 2), (11, 4), (13, 2)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (9, 3))
Element 8: (1, (9, 3), ['', '.', '.', '.'], [(1, 1), (12, 4), (13, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2252, 'East', (10, 3))
Element 9: (1, (10, 3), ['', '.', '', '.'], [(2, 1), (13, 4), (14, 3)], [False, False, False, False], 82, False, [False, True, False, True], 2291, 'East', (11, 3))
Element 10: (1, (11, 3), ['', '%', '', '.'], [(3, 1), (14, 4), (15, 3)], [False, True, False, False], 80, False, [False, False, False, True], 2330, 'East', (12, 3))
Element 11: (1, (12, 3), ['', '%', '', ''], [(4, 1), (15, 4), (15, 2)], [False, True, False, False], 78, False, [False, False, False, False], 2359, 'East', (13, 3))
Element 12: (1, (13, 3), ['', '', '', ''], [(4, 2), (15, 5), (15, 3)], [False, False, False, False], 76, False, [False, False, False, False], 2368, 'East', (14, 3))
Element 13: (1, (14, 3), ['', '%', '', ''], [(4, 3), (15, 6), (15, 2)], [False, True, False, False], 74, False, [False, False, False, False], 2377, 'East', (15, 3))
Element 14: (1, (15, 3), ['', '', '', '%'], [(4, 4), (15, 7), (15, 3)], [False, False, False, True], 72, False, [False, False, False, False], 2396, 'North', (15, 4))
Element 15: (1, (15, 4), ['', '', '', '%'], [(5, 4), (15, 8), (14, 3)], [False, False, False, True], 70, False, [False, False, False, False], 2415, 'North', (15, 5))
Element 16: (1, (15, 5), ['.', '', '', '%'], [(6, 4), (15, 9), (13, 3)], [False, False, False, True], 68, False, [True, False, False, False], 2434, 'West', (14, 5))
Element 17: (1, (14, 5), ['.', '', '.', ''], [(7, 4), (14, 9), (13, 2)], [False, False, False, False], 66, False, [True, False, True, False], 2463, 'North', (14, 6))
Element 18: (1, (14, 6), ['.', '', '.', ''], [(8, 4), (14, 8), (13, 1)], [False, False, False, False], 64, False, [True, False, True, False], 2492, 'North', (14, 7))
Element 19: (1, (14, 7), ['.', '', '', ''], [(9, 4), (13, 8), (12, 1)], [False, False, False, False], 62, False, [True, False, False, False], 2521, 'West', (13, 7))
Element 20: (1, (13, 7), ['.', '.', '', ''], [(10, 4), (13, 9), (11, 1)], [False, False, False, False], 60, False, [True, True, False, False], 2540, 'South', (13, 6))
Element 21: (1, (13, 6), ['.', '.', '', ''], [(11, 4), (12, 9), (10, 1)], [False, False, False, False], 58, False, [True, True, False, False], 2559, 'South', (13, 5))
Element 22: (1, (13, 5), ['.', '', '', ''], [(11, 5), (11, 9), (10, 2)], [False, False, False, False], 56, False, [True, False, False, False], 3588, 'West', (12, 5))
Element 23: (1, (12, 5), ['', '', '.', ''], [(11, 6), (11, 8), (9, 2)], [False, False, False, False], 54, False, [False, False, True, False], 4617, 'North', (12, 6))
Element 24: (1, (12, 6), ['', '', '.', ''], [(11, 7), (10, 8), (9, 1)], [False, False, False, False], 52, False, [False, False, True, False], 5646, 'North', (12, 7))
Element 25: #1#
