Element 1: (2, (4, 5), ['.', '.', 'G', '.'], [(10, 4), (4, 6), (7, 1)], [False, False, False, False], 98, False, [True, True, False, True], 1009, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '.', 'G', '.'], [(11, 4), (5, 6), (8, 1)], [False, False, False, False], 96, False, [False, True, False, True], 2038, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '.', 'G', '.'], [(12, 4), (6, 6), (9, 1)], [False, False, False, False], 94, False, [False, True, False, True], 2077, 'East', (7, 5))
Element 4: (2, (7, 5), ['', '.', 'G', '.'], [(13, 4), (7, 6), (10, 1)], [False, False, False, False], 92, False, [False, True, False, True], 2116, 'East', (8, 5))
Element 5: (2, (8, 5), ['', '.', 'G', '.'], [(14, 4), (8, 6), (11, 1)], [False, False, False, False], 90, False, [False, True, False, True], 2155, 'East', (9, 5))
Element 6: (2, (9, 5), ['', '.', 'G', ''], [(15, 4), (9, 6), (12, 1)], [False, False, False, False], 88, False, [False, True, False, False], 2194, 'South', (9, 4))
Element 7: (2, (9, 4), ['.', '.', '', ''], [(15, 5), (10, 6), (13, 1)], [False, False, False, False], 86, False, [True, True, False, False], 2233, 'South', (9, 3))
Element 8: (2, (9, 3), ['.', '.', '', '.'], [(15, 6), (11, 6), (14, 1)], [False, False, False, False], 84, False, [True, True, False, True], 2272, 'East', (10, 3))
Element 9: (2, (10, 3), ['', '.', '', '.'], [(15, 7), (12, 6), (13, 1)], [False, False, False, False], 82, False, [False, True, False, True], 2301, 'East', (11, 3))
Element 10: (2, (11, 3), ['', '%', '', '.'], [(15, 8), (13, 6), (13, 2)], [False, True, False, False], 80, False, [False, False, False, True], 2340, 'East', (12, 3))
Element 11: (2, (12, 3), ['', '%', '', 'G'], [(15, 9), (14, 6), (13, 3)], [False, True, False, False], 78, False, [False, False, False, False], 2379, 'North', (12, 4))
Element 12: (2, (12, 4), ['', '', '.', ''], [(14, 9), (14, 7), (14, 3)], [False, False, False, False], 76, False, [False, False, True, False], 2408, 'North', (12, 5))
Element 13: (2, (12, 5), ['.', '', '', '.'], [(14, 8), (13, 7), (15, 3)], [False, False, False, False], 74, False, [True, False, False, True], 2447, 'East', (13, 5))
Element 14: (2, (13, 5), ['', '', '', '.'], [(13, 8), (12, 7), (15, 2)], [False, False, False, False], 72, False, [False, False, False, True], 2486, 'East', (14, 5))
Element 15: (2, (14, 5), ['', '', '', ''], [(13, 9), (12, 8), (15, 3)], [False, False, False, False], 70, False, [False, False, False, False], 2515, 'East', (15, 5))
Element 16: (2, (15, 5), ['', 'G', '', '%'], [(12, 9), (11, 8), (15, 4)], [False, False, False, True], 68, False, [False, False, False, False], 3524, 'North', (15, 6))
Element 17: (2, (15, 6), ['', 'G', '', '%'], [(11, 9), (10, 8), (15, 5)], [False, False, False, True], 66, False, [False, False, False, False], 5523, 'North', (15, 7))
Element 18: #1#
