Element 1: (2, (4, 7), ['G', '', '.', '.'], [(3, 7), (5, 6), (9, 5)], [False, False, False, False], 98, False, [False, False, True, True], 19, 'East', (5, 7))
Element 2: (2, (5, 7), ['', '', '.', '.'], [(3, 8), (6, 6), (10, 5)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (6, 7))
Element 3: (2, (6, 7), ['', '', '.', '.'], [(4, 8), (7, 6), (10, 4)], [False, False, False, False], 94, False, [False, False, True, True], 1087, 'East', (7, 7))
Element 4: (2, (7, 7), ['', '', '.', '.'], [(5, 8), (8, 6), (11, 4)], [False, False, False, False], 92, False, [False, False, True, True], 2116, 'East', (8, 7))
Element 5: (2, (8, 7), ['', '', '.', '.'], [(6, 8), (9, 6), (12, 4)], [False, False, False, False], 90, False, [False, False, True, True], 2155, 'East', (9, 7))
Element 6: (2, (9, 7), ['', '', '.', '.'], [(7, 8), (10, 6), (13, 4)], [False, False, False, False], 88, False, [False, False, True, True], 2194, 'East', (10, 7))
Element 7: (2, (10, 7), ['', '', 'F', '.'], [(8, 8), (11, 6), (14, 4)], [False, False, False, False], 86, False, [False, False, False, True], 2233, 'North', (10, 8))
Element 8: (2, (10, 8), ['G', '', 'F', 'F'], [(9, 8), (12, 6), (15, 4)], [False, False, False, False], 84, False, [False, False, False, False], 3262, 'East', (11, 8))
Element 9: (2, (11, 8), ['', '.', 'F', '.'], [(9, 9), (13, 6), (15, 5)], [False, False, False, False], 82, False, [False, True, False, True], 4291, 'North', (11, 9))
Element 10: #1#
