Element 1: (2, (4, 7), ['.', '.', '.', 'G'], [(9, 9), (1, 4), (5, 7)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (4, 8))
Element 2: (2, (4, 8), ['.', '', '.', '.'], [(10, 9), (1, 5), (6, 7)], [False, False, False, False], 96, False, [True, False, True, True], 1048, 'East', (5, 8))
Element 3: (2, (5, 8), ['', '', '.', '.'], [(11, 9), (1, 6), (7, 7)], [False, False, False, False], 94, False, [False, False, True, True], 2077, 'East', (6, 8))
Element 4: (2, (6, 8), ['', '', '.', '.'], [(11, 8), (1, 7), (8, 7)], [False, False, False, False], 92, False, [False, False, True, True], 3106, 'East', (7, 8))
Element 5: (2, (7, 8), ['', '', '.', '.'], [(10, 8), (1, 8), (9, 7)], [False, False, False, False], 90, False, [False, False, True, True], 4135, 'East', (8, 8))
Element 6: (2, (8, 8), ['', '', '', 'G'], [(9, 8), (1, 9), (10, 7)], [False, False, False, False], 88, False, [False, False, False, False], 4174, 'North', (8, 9))
Element 7: (2, (8, 9), ['.', '', '%', ''], [(9, 7), (1, 8), (11, 7)], [False, False, True, False], 86, False, [True, False, False, False], 4183, 'West', (7, 9))
Element 8: (2, (7, 9), ['.', '', '%', ''], [(9, 6), (1, 7), (12, 7)], [False, False, True, False], 84, False, [True, False, False, False], 4212, 'West', (6, 9))
Element 9: (2, (6, 9), ['.', '', '%', ''], [(10, 6), (1, 6), (13, 7)], [False, False, True, False], 82, False, [True, False, False, False], 4241, 'West', (5, 9))
Element 10: (2, (5, 9), ['.', '', '%', ''], [(11, 6), (1, 5), (14, 7)], [False, False, True, False], 80, False, [True, False, False, False], 4270, 'West', (4, 9))
Element 11: (2, (4, 9), ['.', '', '%', ''], [(12, 6), (1, 4), (15, 7)], [False, False, True, False], 78, False, [True, False, False, False], 4299, 'West', (3, 9))
Element 12: (2, (3, 9), ['%', '.', '%', ''], [(13, 6), (1, 3), (15, 8)], [True, False, True, False], 76, False, [False, True, False, False], 4328, 'South', (3, 8))
Element 13: (2, (3, 8), ['%', '.', '', ''], [(14, 6), (1, 2), (15, 9)], [True, False, False, False], 74, False, [False, True, False, False], 4367, 'South', (3, 7))
Element 14: (2, (3, 7), ['%', '.', '', ''], [(15, 6), (1, 1), (14, 9)], [True, False, False, False], 72, False, [False, True, False, False], 4406, 'South', (3, 6))
Element 15: (2, (3, 6), ['%', '.', '', '.'], [(15, 5), (2, 1), (14, 8)], [True, False, False, False], 70, False, [False, True, False, True], 4445, 'East', (4, 6))
Element 16: (2, (4, 6), ['', '.', '', '.'], [(15, 4), (3, 1), (13, 8)], [False, False, False, False], 68, False, [False, True, False, True], 4484, 'East', (5, 6))
Element 17: (2, (5, 6), ['', '.', '', '.'], [(15, 3), (4, 1), (13, 9)], [False, False, False, False], 66, False, [False, True, False, True], 4523, 'East', (6, 6))
Element 18: (2, (6, 6), ['', '.', '', '.'], [(15, 2), (4, 2), (12, 9)], [False, False, False, False], 64, False, [False, True, False, True], 4562, 'East', (7, 6))
Element 19: (2, (7, 6), ['', '.', '', '.'], [(15, 3), (4, 3), (12, 8)], [False, False, False, False], 62, False, [False, True, False, True], 4591, 'East', (8, 6))
Element 20: (2, (8, 6), ['', '.', '', ''], [(14, 3), (5, 3), (11, 8)], [False, False, False, False], 60, False, [False, True, False, False], 4620, 'South', (8, 5))
Element 21: (2, (8, 5), ['.', '.', '', '.'], [(14, 4), (6, 3), (11, 9)], [False, False, False, False], 58, False, [True, True, False, True], 4649, 'East', (9, 5))
Element 22: (2, (9, 5), ['', '.', '', '.'], [(14, 5), (7, 3), (10, 9)], [False, False, False, False], 56, False, [False, True, False, True], 4678, 'East', (10, 5))
Element 23: (2, (10, 5), ['', 'F', '', '.'], [(13, 5), (8, 3), (10, 8)], [False, False, False, False], 54, False, [False, False, False, True], 4707, 'South', (10, 4))
Element 24: (2, (10, 4), ['.', '.', '', 'F'], [(13, 4), (9, 3), (9, 8)], [False, False, False, False], 52, False, [True, True, False, False], 5726, 'East', (11, 4))
Element 25: #1#
