Element 1: (1, (1, 1), ['%', '%', '.', '.'], [(1, 6), (12, 4), (14, 7)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 1))
Element 2: (1, (2, 1), ['', '%', '%', '.'], [(1, 7), (11, 4), (15, 7)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '%', '.'], [(1, 8), (10, 4), (15, 8)], [False, True, True, False], 94, False, [False, False, False, True], 2067, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(1, 9), (10, 5), (15, 9)], [False, True, False, True], 92, False, [False, False, True, False], 2106, 'North', (4, 2))
Element 5: (1, (4, 2), ['%', '', '.', '%'], [(1, 8), (11, 5), (14, 9)], [True, False, False, True], 90, False, [False, False, True, False], 2135, 'North', (4, 3))
Element 6: (1, (4, 3), ['.', '', '.', '.'], [(1, 7), (12, 5), (14, 8)], [False, False, False, False], 88, False, [True, False, True, True], 2164, 'East', (5, 3))
Element 7: (1, (5, 3), ['', '%', '.', '.'], [(1, 6), (13, 5), (13, 8)], [False, True, False, False], 86, False, [False, False, True, True], 2193, 'East', (6, 3))
Element 8: (1, (6, 3), ['', '.', '.', '.'], [(1, 5), (14, 5), (13, 9)], [False, False, False, False], 84, False, [False, True, True, True], 2222, 'East', (7, 3))
Element 9: (1, (7, 3), ['', '.', '.', '.'], [(1, 4), (15, 5), (12, 9)], [False, False, False, False], 82, False, [False, True, True, True], 2261, 'East', (8, 3))
Element 10: (1, (8, 3), ['', '.', '.', '.'], [(1, 3), (15, 6), (11, 9)], [False, False, False, False], 80, False, [False, True, True, True], 3290, 'East', (9, 3))
Element 11: (1, (9, 3), ['', '.', '.', '.'], [(1, 2), (14, 6), (11, 8)], [False, False, False, False], 78, False, [False, True, True, True], 4319, 'East', (10, 3))
Element 12: (1, (10, 3), ['', '.', '', '.'], [(1, 1), (13, 6), (10, 8)], [False, False, False, False], 76, False, [False, True, False, True], 5338, 'East', (11, 3))
Element 13: #1#
