Element 1: (1, (10, 7), ['.', '.', 'F', '.'], [(4, 6), (14, 9), (15, 9)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'North', (10, 8))
Element 2: (1, (10, 8), ['.', '', 'F', 'F'], [(5, 6), (14, 8), (15, 8)], [False, False, False, False], 96, False, [True, False, False, False], 1038, 'East', (11, 8))
Element 3: (1, (11, 8), ['', '.', 'F', '.'], [(6, 6), (14, 7), (15, 7)], [False, False, False, False], 94, False, [False, True, False, True], 2067, 'North', (11, 9))
Element 4: (1, (11, 9), ['F', '', '%', '.'], [(7, 6), (14, 6), (15, 6)], [False, False, True, False], 92, False, [False, False, False, True], 3096, 'West', (10, 9))
Element 5: (1, (10, 9), ['.', '', '%', ''], [(8, 6), (14, 5), (15, 5)], [False, False, True, False], 90, False, [True, False, False, False], 4125, 'West', (9, 9))
Element 6: (1, (9, 9), ['.', '.', '%', ''], [(9, 6), (14, 4), (15, 4)], [False, False, True, False], 88, False, [True, True, False, False], 4164, 'South', (9, 8))
Element 7: (1, (9, 8), ['.', '.', '', ''], [(10, 6), (14, 3), (15, 3)], [False, False, False, False], 86, False, [True, True, False, False], 4203, 'South', (9, 7))
Element 8: (1, (9, 7), ['.', '', '', ''], [(11, 6), (13, 3), (15, 2)], [False, False, False, False], 84, False, [True, False, False, False], 4242, 'West', (8, 7))
Element 9: (1, (8, 7), ['.', '', '.', ''], [(12, 6), (13, 4), (15, 3)], [False, False, False, False], 82, False, [True, False, True, False], 4271, 'North', (8, 8))
Element 10: (1, (8, 8), ['.', '', '.', ''], [(13, 6), (13, 5), (14, 3)], [False, False, False, False], 80, False, [True, False, True, False], 4300, 'North', (8, 9))
Element 11: (1, (8, 9), ['.', '', '%', ''], [(13, 7), (12, 5), (14, 4)], [False, False, True, False], 78, False, [True, False, False, False], 4329, 'West', (7, 9))
Element 12: (1, (7, 9), ['.', '.', '%', ''], [(13, 8), (12, 4), (14, 5)], [False, False, True, False], 76, False, [True, True, False, False], 4358, 'South', (7, 8))
Element 13: (1, (7, 8), ['.', '.', '', ''], [(13, 9), (11, 4), (14, 6)], [False, False, False, False], 74, False, [True, True, False, False], 5377, 'South', (7, 7))
Element 14: #1#
