Element 1: (2, (7, 7), ['.', '.', 'G', '.'], [(15, 3), (7, 1), (7, 8)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (8, 7))
Element 2: (2, (8, 7), ['', '.', 'G', '.'], [(15, 4), (8, 1), (8, 8)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (9, 7))
Element 3: (2, (9, 7), ['', '.', 'G', '.'], [(15, 5), (9, 1), (9, 8)], [False, False, False, False], 94, False, [False, True, False, True], 97, 'East', (10, 7))
Element 4: (2, (10, 7), ['', '.', 'G', '.'], [(15, 6), (10, 1), (10, 8)], [False, False, False, False], 92, False, [False, True, False, True], 1126, 'East', (11, 7))
Element 5: (2, (11, 7), ['', '.', 'G', '.'], [(15, 7), (11, 1), (11, 8)], [False, False, False, False], 90, False, [False, True, False, True], 2155, 'East', (12, 7))
Element 6: (2, (12, 7), ['', '.', '.', '.'], [(15, 8), (12, 1), (11, 9)], [False, False, False, False], 88, False, [False, True, True, True], 3184, 'East', (13, 7))
Element 7: (2, (13, 7), ['', '.', '.', '.'], [(15, 9), (13, 1), (10, 9)], [False, False, False, False], 86, False, [False, True, True, True], 4213, 'East', (14, 7))
Element 8: (2, (14, 7), ['', '.', '.', ''], [(14, 9), (14, 1), (9, 9)], [False, False, False, False], 84, False, [False, True, True, False], 4252, 'North', (14, 8))
Element 9: (2, (14, 8), ['.', '', '', ''], [(13, 9), (13, 1), (8, 9)], [False, False, False, False], 82, False, [True, False, False, False], 4281, 'West', (13, 8))
Element 10: (2, (13, 8), ['.', '', '', ''], [(12, 9), (13, 2), (7, 9)], [False, False, False, False], 80, False, [True, False, False, False], 4320, 'West', (12, 8))
Element 11: (2, (12, 8), ['', '', '', ''], [(11, 9), (13, 3), (6, 9)], [False, False, False, False], 78, False, [False, False, False, False], 4349, 'North', (12, 9))
Element 12: (2, (12, 9), ['', '', '%', ''], [(11, 8), (14, 3), (6, 8)], [False, False, True, False], 76, False, [False, False, False, False], 4368, 'East', (13, 9))
Element 13: (2, (13, 9), ['', '', '%', ''], [(12, 8), (14, 4), (6, 7)], [False, False, True, False], 74, False, [False, False, False, False], 4387, 'East', (14, 9))
Element 14: (2, (14, 9), ['', '', '%', ''], [(13, 8), (14, 5), (6, 6)], [False, False, True, False], 72, False, [False, False, False, False], 4406, 'East', (15, 9))
Element 15: (2, (15, 9), ['', '', '%', '%'], [(14, 8), (14, 6), (7, 6)], [False, False, True, True], 70, False, [False, False, False, False], 4425, 'South', (15, 8))
Element 16: (2, (15, 8), ['', '', '', '%'], [(14, 7), (13, 6), (8, 6)], [False, False, False, True], 68, False, [False, False, False, False], 4444, 'South', (15, 7))
Element 17: (2, (15, 7), ['', '', '', '%'], [(14, 6), (13, 5), (9, 6)], [False, False, False, True], 66, False, [False, False, False, False], 4463, 'South', (15, 6))
Element 18: (2, (15, 6), ['', '', '', '%'], [(14, 5), (13, 4), (10, 6)], [False, False, False, True], 64, False, [False, False, False, False], 4482, 'South', (15, 5))
Element 19: (2, (15, 5), ['', '', '', '%'], [(14, 4), (12, 4), (11, 6)], [False, False, False, True], 62, False, [False, False, False, False], 4501, 'South', (15, 4))
Element 20: (2, (15, 4), ['', '', '', '%'], [(14, 3), (11, 4), (12, 6)], [False, False, False, True], 60, False, [False, False, False, False], 5510, 'South', (15, 3))
Element 21: #1#
