Element 1: (1, (8, 7), ['.', '.', 'G', '.'], [(8, 8), (9, 8), (12, 8)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'East', (9, 7))
Element 2: (1, (9, 7), ['', '.', '', '.'], [(8, 9), (10, 8), (11, 8)], [False, False, False, False], 96, False, [False, True, False, True], 2028, 'East', (10, 7))
Element 3: (1, (10, 7), ['', '.', '', '.'], [(9, 9), (10, 9), (11, 9)], [False, False, False, False], 94, False, [False, True, False, True], 4047, 'East', (11, 7))
Element 4: (1, (11, 7), ['', '.', '', '.'], [(10, 9), (10, 8), (12, 9)], [False, False, False, False], 92, False, [False, True, False, True], 4066, 'East', (12, 7))
Element 5: (1, (12, 7), ['', '.', '', '.'], [(11, 9), (9, 8), (13, 9)], [False, False, False, False], 90, False, [False, True, False, True], 4085, 'East', (13, 7))
Element 6: (1, (13, 7), ['', '.', '.', '.'], [(12, 9), (9, 9), (14, 9)], [False, False, False, False], 88, False, [False, True, True, True], 4104, 'East', (14, 7))
Element 7: (1, (14, 7), ['', '.', '.', '.'], [(13, 9), (8, 9), (15, 9)], [False, False, False, False], 86, False, [False, True, True, True], 4123, 'East', (15, 7))
Element 8: (1, (15, 7), ['', '.', 'G', '%'], [(13, 8), (7, 9), (15, 8)], [False, False, False, True], 84, False, [False, True, False, False], 4162, 'South', (15, 6))
Element 9: (1, (15, 6), ['.', '.', '', '%'], [(13, 7), (6, 9), (14, 8)], [False, False, False, True], 82, False, [True, True, False, False], 4191, 'South', (15, 5))
Element 10: (1, (15, 5), ['.', '.', '', '%'], [(13, 6), (6, 8), (14, 7)], [False, False, False, True], 80, False, [True, True, False, False], 4220, 'South', (15, 4))
Element 11: (1, (15, 4), ['.', '.', '', '%'], [(13, 5), (6, 7), (14, 6)], [False, False, False, True], 78, False, [True, True, False, False], 4259, 'South', (15, 3))
Element 12: (1, (15, 3), ['.', '.', '', '%'], [(13, 4), (7, 7), (14, 5)], [False, False, False, True], 76, False, [True, True, False, False], 4298, 'South', (15, 2))
Element 13: (1, (15, 2), ['%', '%', '', '%'], [(13, 3), (7, 6), (14, 4)], [True, True, False, True], 74, False, [False, False, False, False], 4337, 'North', (15, 3))
Element 14: (1, (15, 3), ['G', '', '', '%'], [(13, 2), (8, 6), (14, 3)], [False, False, False, True], 72, False, [False, False, False, False], 4366, 'South', (15, 2))
Element 15: (1, (15, 2), ['%', '%', 'G', '%'], [(13, 1), (9, 6), (15, 3)], [True, True, False, True], 70, False, [False, False, False, False], 4385, 'Stop', (15, 2))
Element 16: (1, (15, 2), ['%', '%', '', '%'], [(14, 1), (10, 6), (15, 4)], [True, True, False, True], 68, False, [False, False, False, False], 4404, 'North', (15, 3))
Element 17: (1, (15, 3), ['', '', '', '%'], [(13, 1), (11, 6), (15, 5)], [False, False, False, True], 66, False, [False, False, False, False], 4413, 'North', (15, 4))
Element 18: (1, (15, 4), ['', '', '', '%'], [(12, 1), (12, 6), (15, 6)], [False, False, False, True], 64, False, [False, False, False, False], 4432, 'Stop', (15, 4))
Element 19: (1, (15, 4), ['', '', '', '%'], [(11, 1), (12, 5), (15, 7)], [False, False, False, True], 62, False, [False, False, False, False], 4451, 'North', (15, 5))
Element 20: (1, (15, 5), ['', '', 'G', '%'], [(10, 1), (12, 4), (15, 6)], [False, False, False, True], 60, False, [False, False, False, False], 4470, 'West', (14, 5))
Element 21: (1, (14, 5), ['', '', '', 'G'], [(10, 2), (11, 4), (15, 5)], [False, False, False, False], 58, False, [False, False, False, False], 5479, 'North', (14, 6))
Element 22: #1#
