Element 1: (0, (15, 3), ['.', '.', '.', '%'], [(1, 8), (8, 1), (9, 7)], [False, False, False, True], 98, False, [True, True, True, False], 0, 'North', (15, 4))
Element 2: (0, (15, 4), ['.', '', '.', '%'], [(1, 9), (9, 1), (10, 7)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (15, 5))
Element 3: (0, (15, 5), ['.', '', '.', '%'], [(1, 8), (10, 1), (10, 8)], [False, False, False, True], 94, False, [True, False, True, False], 1058, 'North', (15, 6))
Element 4: (0, (15, 6), ['.', '', '.', '%'], [(1, 7), (11, 1), (11, 8)], [False, False, False, True], 92, False, [True, False, True, False], 2087, 'North', (15, 7))
Element 5: (0, (15, 7), ['.', '', '.', '%'], [(1, 6), (12, 1), (11, 9)], [False, False, False, True], 90, False, [True, False, True, False], 3116, 'North', (15, 8))
Element 6: (0, (15, 8), ['.', '', '.', '%'], [(1, 5), (13, 1), (10, 9)], [False, False, False, True], 88, False, [True, False, True, False], 4145, 'North', (15, 9))
Element 7: (0, (15, 9), ['.', '', '%', '%'], [(1, 4), (14, 1), (9, 9)], [False, False, True, True], 86, False, [True, False, False, False], 4184, 'West', (14, 9))
Element 8: (0, (14, 9), ['.', '.', '%', ''], [(1, 3), (13, 1), (9, 8)], [False, False, True, False], 84, False, [True, True, False, False], 4213, 'South', (14, 8))
Element 9: (0, (14, 8), ['.', '.', '', ''], [(1, 2), (13, 2), (8, 8)], [False, False, False, False], 82, False, [True, True, False, False], 4252, 'South', (14, 7))
Element 10: (0, (14, 7), ['.', '.', '', ''], [(1, 1), (13, 3), (8, 9)], [False, False, False, False], 80, False, [True, True, False, False], 4291, 'South', (14, 6))
Element 11: (0, (14, 6), ['.', '.', '', ''], [(2, 1), (14, 3), (7, 9)], [False, False, False, False], 78, False, [True, True, False, False], 4330, 'South', (14, 5))
Element 12: (0, (14, 5), ['.', 'G', '', ''], [(3, 1), (14, 4), (7, 8)], [False, False, False, False], 76, False, [True, False, False, False], 4369, 'West', (13, 5))
Element 13: (0, (13, 5), ['.', 'G', '.', ''], [(4, 1), (13, 4), (7, 7)], [False, False, False, False], 74, False, [True, False, True, False], 4408, 'North', (13, 6))
Element 14: (0, (13, 6), ['.', '', '.', ''], [(4, 2), (12, 4), (8, 7)], [False, False, False, False], 72, False, [True, False, True, False], 4447, 'North', (13, 7))
Element 15: (0, (13, 7), ['.', '', '.', ''], [(4, 3), (11, 4), (8, 6)], [False, False, False, False], 70, False, [True, False, True, False], 5476, 'North', (13, 8))
Element 16: #1#
