Element 1: (3, (18, 1), ['.', '%', '%', '%'], [(10, 9), (5, 8), (6, 6)], [False, True, True, True], 98, False, [True, False, False, False], 1019, 'West', (17, 1))
Element 2: (3, (17, 1), ['.', '%', '%', ''], [(11, 9), (6, 8), (7, 6)], [False, True, True, False], 96, False, [True, False, False, False], 2048, 'West', (16, 1))
Element 3: (3, (16, 1), ['%', '%', '%', ''], [(11, 8), (7, 8), (8, 6)], [True, True, True, False], 94, False, [False, False, False, False], 3077, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(10, 8), (8, 8), (9, 6)], [False, True, True, False], 92, False, [False, False, False, False], 4096, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(10, 7), (9, 8), (10, 6)], [False, True, True, True], 90, False, [False, False, False, False], 4125, 'Stop', (18, 1))
Element 6: (3, (18, 1), ['', '%', '%', '%'], [(11, 7), (9, 7), (11, 6)], [False, True, True, True], 88, False, [False, False, False, False], 4154, 'West', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(12, 7), (8, 7), (12, 6)], [False, True, True, False], 86, False, [False, False, False, False], 4183, 'West', (16, 1))
Element 8: (3, (16, 1), ['%', '%', '%', ''], [(13, 7), (7, 7), (13, 6)], [True, True, True, False], 84, False, [False, False, False, False], 4212, 'East', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(14, 7), (6, 7), (14, 6)], [False, True, True, False], 82, False, [False, False, False, False], 4241, 'East', (18, 1))
Element 10: (3, (18, 1), ['', '%', '%', '%'], [(15, 7), (5, 7), (15, 6)], [False, True, True, True], 80, False, [False, False, False, False], 4270, 'Stop', (18, 1))
Element 11: (3, (18, 1), ['', '%', '%', '%'], [(15, 8), (4, 7), (15, 5)], [False, True, True, True], 78, False, [False, False, False, False], 4299, 'West', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(15, 9), (4, 6), (15, 4)], [False, True, True, False], 76, False, [False, False, False, False], 4328, 'West', (16, 1))
Element 13: (3, (16, 1), ['%', '%', '%', ''], [(14, 9), (4, 5), (15, 3)], [True, True, True, False], 74, False, [False, False, False, False], 4357, 'East', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(14, 8), (5, 5), (15, 2)], [False, True, True, False], 72, False, [False, False, False, False], 4386, 'East', (18, 1))
Element 15: (3, (18, 1), ['', '%', '%', '%'], [(13, 8), (6, 5), (15, 3)], [False, True, True, True], 70, False, [False, False, False, False], 4405, 'Stop', (18, 1))
Element 16: (3, (18, 1), ['', '%', '%', '%'], [(13, 9), (7, 5), (14, 3)], [False, True, True, True], 68, False, [False, False, False, False], 4434, 'West', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(12, 9), (8, 5), (14, 4)], [False, True, True, False], 66, False, [False, False, False, False], 4463, 'West', (16, 1))
Element 18: (3, (16, 1), ['%', '%', '%', ''], [(12, 8), (9, 5), (14, 5)], [True, True, True, False], 64, False, [False, False, False, False], 4492, 'East', (17, 1))
Element 19: (3, (17, 1), ['', '%', '%', ''], [(12, 9), (10, 5), (13, 5)], [False, True, True, False], 62, False, [False, False, False, False], 4511, 'East', (18, 1))
Element 20: (3, (18, 1), ['', '%', '%', '%'], [(13, 9), (10, 4), (13, 4)], [False, True, True, True], 60, False, [False, False, False, False], 5520, 'Stop', (18, 1))
Element 21: #1#
