Element 1: (1, (1, 2), ['%', '.', '.', '%'], [(10, 7), (4, 6), (7, 6)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 3))
Element 2: (1, (1, 3), ['%', '', '.', '%'], [(10, 8), (5, 6), (8, 6)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (1, 4))
Element 3: (1, (1, 4), ['%', '', '.', '%'], [(11, 8), (6, 6), (9, 6)], [True, False, False, True], 94, False, [False, False, True, False], 2067, 'North', (1, 5))
Element 4: (1, (1, 5), ['%', '', '.', '%'], [(11, 9), (6, 7), (10, 6)], [True, False, False, True], 92, False, [False, False, True, False], 3096, 'North', (1, 6))
Element 5: (1, (1, 6), ['%', '', '.', '%'], [(10, 9), (7, 7), (11, 6)], [True, False, False, True], 90, False, [False, False, True, False], 4125, 'North', (1, 7))
Element 6: (1, (1, 7), ['%', '', '.', '%'], [(9, 9), (8, 7), (12, 6)], [True, False, False, True], 88, False, [False, False, True, False], 4164, 'North', (1, 8))
Element 7: (1, (1, 8), ['%', '', '.', '%'], [(9, 8), (8, 8), (13, 6)], [True, False, False, True], 86, False, [False, False, True, False], 4203, 'North', (1, 9))
Element 8: (1, (1, 9), ['%', '', '%', '%'], [(8, 8), (8, 9), (14, 6)], [True, False, True, True], 84, False, [False, False, False, False], 4232, 'South', (1, 8))
Element 9: (1, (1, 8), ['%', '', '', '%'], [(7, 8), (7, 9), (15, 6)], [True, False, False, True], 82, False, [False, False, False, False], 4261, 'South', (1, 7))
Element 10: (1, (1, 7), ['%', '', '', '%'], [(6, 8), (6, 9), (15, 7)], [True, False, False, True], 80, False, [False, False, False, False], 4290, 'South', (1, 6))
Element 11: (1, (1, 6), ['%', '', '', '%'], [(5, 8), (5, 9), (15, 8)], [True, False, False, True], 78, False, [False, False, False, False], 4319, 'South', (1, 5))
Element 12: (1, (1, 5), ['%', '', '', '%'], [(5, 7), (4, 9), (15, 9)], [True, False, False, True], 76, False, [False, False, False, False], 4348, 'South', (1, 4))
Element 13: (1, (1, 4), ['%', '', '', '%'], [(4, 7), (4, 8), (14, 9)], [True, False, False, True], 74, False, [False, False, False, False], 4377, 'South', (1, 3))
Element 14: (1, (1, 3), ['%', '', '', '%'], [(3, 7), (3, 8), (14, 8)], [True, False, False, True], 72, False, [False, False, False, False], 4406, 'South', (1, 2))
Element 15: (1, (1, 2), ['%', '.', '', '%'], [(3, 6), (3, 9), (14, 7)], [True, False, False, True], 70, False, [False, True, False, False], 4435, 'South', (1, 1))
Element 16: (1, (1, 1), ['%', '%', '', '.'], [(3, 5), (3, 8), (13, 7)], [True, True, False, False], 68, False, [False, False, False, True], 4464, 'East', (2, 1))
Element 17: (1, (2, 1), ['', '%', '%', '.'], [(4, 5), (4, 8), (13, 8)], [False, True, True, False], 66, False, [False, False, False, True], 4493, 'East', (3, 1))
Element 18: (1, (3, 1), ['', '%', '%', '.'], [(5, 5), (5, 8), (13, 9)], [False, True, True, False], 64, False, [False, False, False, True], 4522, 'East', (4, 1))
Element 19: (1, (4, 1), ['', '%', '.', '%'], [(6, 5), (6, 8), (12, 9)], [False, True, False, True], 62, False, [False, False, True, False], 4551, 'North', (4, 2))
Element 20: (1, (4, 2), ['%', '', '.', '%'], [(7, 5), (7, 8), (12, 8)], [True, False, False, True], 60, False, [False, False, True, False], 4580, 'North', (4, 3))
Element 21: (1, (4, 3), ['.', '', '.', '.'], [(8, 5), (6, 8), (12, 7)], [False, False, False, False], 58, False, [True, False, True, True], 4609, 'East', (5, 3))
Element 22: (1, (5, 3), ['', '%', '.', '.'], [(9, 5), (5, 8), (11, 7)], [False, True, False, False], 56, False, [False, False, True, True], 4638, 'East', (6, 3))
Element 23: (1, (6, 3), ['', '.', '.', '.'], [(10, 5), (5, 7), (11, 8)], [False, False, False, False], 54, False, [False, True, True, True], 4657, 'East', (7, 3))
Element 24: (1, (7, 3), ['', '.', '.', '.'], [(10, 4), (4, 7), (11, 9)], [False, False, False, False], 52, False, [False, True, True, True], 5666, 'East', (8, 3))
Element 25: #1#
