Element 1: (2, (3, 9), ['%', '.', '%', '.'], [(7, 8), (1, 7), (12, 3)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (4, 9))
Element 2: (2, (4, 9), ['', '.', '%', '.'], [(8, 8), (1, 8), (13, 3)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (5, 9))
Element 3: (2, (5, 9), ['', '.', '%', '.'], [(9, 8), (1, 9), (14, 3)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (6, 9))
Element 4: (2, (6, 9), ['', '', '%', '.'], [(10, 8), (1, 8), (15, 3)], [False, False, True, False], 92, False, [False, False, False, True], 1116, 'East', (7, 9))
Element 5: (2, (7, 9), ['', '', '%', '.'], [(11, 8), (1, 7), (15, 4)], [False, False, True, False], 90, False, [False, False, False, True], 2135, 'East', (8, 9))
Element 6: (2, (8, 9), ['', '', '%', '.'], [(11, 9), (1, 6), (15, 5)], [False, False, True, False], 88, False, [False, False, False, True], 3154, 'East', (9, 9))
Element 7: (2, (9, 9), ['', '', '%', 'G'], [(10, 9), (1, 5), (15, 6)], [False, False, True, False], 86, False, [False, False, False, False], 4183, 'South', (9, 8))
Element 8: (2, (9, 8), ['', '.', 'G', ''], [(9, 9), (1, 4), (15, 7)], [False, False, False, False], 84, False, [False, True, False, False], 4202, 'South', (9, 7))
Element 9: (2, (9, 7), ['.', '.', '', '.'], [(8, 9), (1, 3), (15, 8)], [False, False, False, False], 82, False, [True, True, False, True], 4231, 'East', (10, 7))
Element 10: (2, (10, 7), ['', '.', '', '.'], [(7, 9), (1, 2), (15, 9)], [False, False, False, False], 80, False, [False, True, False, True], 4260, 'East', (11, 7))
Element 11: (2, (11, 7), ['', '.', '', '.'], [(6, 9), (1, 1), (14, 9)], [False, False, False, False], 78, False, [False, True, False, True], 4289, 'East', (12, 7))
Element 12: (2, (12, 7), ['', '.', '.', '.'], [(5, 9), (2, 1), (14, 8)], [False, False, False, False], 76, False, [False, True, True, True], 4318, 'East', (13, 7))
Element 13: (2, (13, 7), ['', '.', '.', 'G'], [(5, 8), (3, 1), (14, 7)], [False, False, False, False], 74, False, [False, True, True, False], 4357, 'North', (13, 8))
Element 14: (2, (13, 8), ['.', '', '.', ''], [(5, 7), (4, 1), (14, 6)], [False, False, False, False], 72, False, [True, False, True, False], 4396, 'North', (13, 9))
Element 15: (2, (13, 9), ['.', '', '%', ''], [(6, 7), (4, 2), (14, 5)], [False, False, True, False], 70, False, [True, False, False, False], 4435, 'West', (12, 9))
Element 16: (2, (12, 9), ['', '.', '%', ''], [(7, 7), (4, 3), (14, 4)], [False, False, True, False], 68, False, [False, True, False, False], 4474, 'South', (12, 8))
Element 17: (2, (12, 8), ['', '', '', ''], [(8, 7), (5, 3), (13, 4)], [False, False, False, False], 66, False, [False, False, False, False], 4513, 'West', (11, 8))
Element 18: (2, (11, 8), ['', '', '', ''], [(8, 6), (6, 3), (13, 5)], [False, False, False, False], 64, False, [False, False, False, False], 4542, 'North', (11, 9))
Element 19: (2, (11, 9), ['', '', '%', ''], [(9, 6), (7, 3), (13, 6)], [False, False, True, False], 62, False, [False, False, False, False], 4571, 'West', (10, 9))
Element 20: (2, (10, 9), ['', '', '%', ''], [(10, 6), (8, 3), (12, 6)], [False, False, True, False], 60, False, [False, False, False, False], 4600, 'South', (10, 8))
Element 21: (2, (10, 8), ['', '', '', ''], [(11, 6), (9, 3), (12, 5)], [False, False, False, False], 58, False, [False, False, False, False], 4629, 'North', (10, 9))
Element 22: (2, (10, 9), ['', '', '%', ''], [(11, 5), (10, 3), (12, 4)], [False, False, True, False], 56, False, [False, False, False, False], 4658, 'East', (11, 9))
Element 23: #1#
