Element 1: (0, (8, 9), ['.', '.', '%', '.'], [(1, 5), (9, 8), (13, 8)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (9, 9))
Element 2: (0, (9, 9), ['', '', '%', 'F'], [(1, 6), (10, 8), (14, 8)], [False, False, True, False], 96, False, [False, False, False, False], 1029, 'East', (10, 9))
Element 3: (0, (10, 9), ['', '', '%', 'F'], [(1, 7), (11, 8), (15, 8)], [False, False, True, False], 94, False, [False, False, False, False], 3048, 'East', (11, 9))
Element 4: (0, (11, 9), ['', '', '%', '.'], [(1, 8), (12, 8), (15, 9)], [False, False, True, False], 92, False, [False, False, False, True], 4077, 'East', (12, 9))
Element 5: (0, (12, 9), ['', '', '%', '.'], [(1, 9), (12, 7), (14, 9)], [False, False, True, False], 90, False, [False, False, False, True], 4116, 'East', (13, 9))
Element 6: (0, (13, 9), ['', '', '%', ''], [(1, 8), (13, 7), (15, 9)], [False, False, True, False], 88, False, [False, False, False, False], 4135, 'East', (14, 9))
Element 7: (0, (14, 9), ['', '', '%', ''], [(1, 7), (14, 7), (15, 8)], [False, False, True, False], 86, False, [False, False, False, False], 4144, 'East', (15, 9))
Element 8: (0, (15, 9), ['', '', '%', '%'], [(1, 6), (15, 7), (14, 8)], [False, False, True, True], 84, False, [False, False, False, False], 4153, 'South', (15, 8))
Element 9: (0, (15, 8), ['', '', '', '%'], [(1, 5), (15, 6), (13, 8)], [False, False, False, True], 82, False, [False, False, False, False], 4162, 'South', (15, 7))
Element 10: (0, (15, 7), ['', '', '', '%'], [(1, 4), (15, 5), (14, 8)], [False, False, False, True], 80, False, [False, False, False, False], 4181, 'South', (15, 6))
Element 11: (0, (15, 6), ['.', '', '', '%'], [(1, 3), (15, 4), (14, 9)], [False, False, False, True], 78, False, [True, False, False, False], 4200, 'West', (14, 6))
Element 12: (0, (14, 6), ['.', '.', '', ''], [(1, 2), (15, 3), (14, 8)], [False, False, False, False], 76, False, [True, True, False, False], 4229, 'South', (14, 5))
Element 13: (0, (14, 5), ['.', '.', '', ''], [(1, 1), (15, 2), (14, 7)], [False, False, False, False], 74, False, [True, True, False, False], 4258, 'South', (14, 4))
Element 14: (0, (14, 4), ['.', '.', '', ''], [(2, 1), (15, 3), (15, 7)], [False, False, False, False], 72, False, [True, True, False, False], 4277, 'South', (14, 3))
Element 15: (0, (14, 3), ['.', '%', '', ''], [(3, 1), (15, 2), (15, 6)], [False, True, False, False], 70, False, [True, False, False, False], 4296, 'West', (13, 3))
Element 16: (0, (13, 3), ['.', '.', '.', ''], [(4, 1), (15, 3), (15, 5)], [False, False, False, False], 68, False, [True, True, True, False], 4315, 'North', (13, 4))
Element 17: (0, (13, 4), ['.', '', '.', ''], [(4, 2), (15, 4), (14, 5)], [False, False, False, False], 66, False, [True, False, True, False], 4334, 'North', (13, 5))
Element 18: (0, (13, 5), ['.', '', '.', ''], [(4, 3), (14, 4), (14, 6)], [False, False, False, False], 64, False, [True, False, True, False], 4353, 'North', (13, 6))
Element 19: (0, (13, 6), ['.', '', '', ''], [(5, 3), (14, 5), (14, 7)], [False, False, False, False], 62, False, [True, False, False, False], 4372, 'West', (12, 6))
Element 20: (0, (12, 6), ['.', '.', '', ''], [(6, 3), (14, 6), (14, 6)], [False, False, False, False], 60, False, [True, True, False, False], 4391, 'South', (12, 5))
Element 21: (0, (12, 5), ['.', '.', '', ''], [(7, 3), (13, 6), (15, 6)], [False, False, False, False], 58, False, [True, True, False, False], 4410, 'South', (12, 4))
Element 22: (0, (12, 4), ['F', '.', '', ''], [(8, 3), (13, 5), (14, 6)], [False, False, False, False], 56, False, [False, True, False, False], 4429, 'West', (11, 4))
Element 23: (0, (11, 4), ['F', '.', '.', ''], [(9, 3), (13, 4), (15, 6)], [False, False, False, False], 54, False, [False, True, True, False], 5438, 'West', (10, 4))
Element 24: #1#
