Element 1: (3, (15, 7), ['.', '.', '.', '%'], [(18, 1), (1, 9), (6, 6)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 8))
Element 2: (3, (15, 8), ['.', '', '.', '%'], [(17, 1), (1, 8), (7, 6)], [False, False, False, True], 96, False, [True, False, True, False], 48, 'North', (15, 9))
Element 3: (3, (15, 9), ['.', '', '%', '%'], [(16, 1), (1, 7), (8, 6)], [False, False, True, True], 94, False, [True, False, False, False], 87, 'West', (14, 9))
Element 4: (3, (14, 9), ['.', '.', '%', ''], [(17, 1), (1, 6), (9, 6)], [False, False, True, False], 92, False, [True, True, False, False], 116, 'South', (14, 8))
Element 5: (3, (14, 8), ['.', '.', '', ''], [(17, 1), (1, 5), (10, 6)], [False, False, False, False], 90, False, [True, True, False, False], 145, 'South', (14, 7))
Element 6: (3, (14, 7), ['.', '.', '', ''], [(18, 1), (1, 4), (11, 6)], [False, False, False, False], 88, False, [True, True, False, False], 174, 'South', (14, 6))
Element 7: (3, (14, 6), ['.', '.', '', '.'], [(17, 1), (1, 3), (12, 6)], [False, False, False, False], 86, False, [True, True, False, True], 203, 'East', (15, 6))
Element 8: (3, (15, 6), ['', '.', '', '%'], [(16, 1), (1, 2), (13, 6)], [False, False, False, True], 84, False, [False, True, False, False], 232, 'South', (15, 5))
Element 9: (3, (15, 5), ['.', '.', '', '%'], [(17, 1), (1, 1), (13, 7)], [False, False, False, True], 82, False, [True, True, False, False], 261, 'South', (15, 4))
Element 10: (3, (15, 4), ['.', '.', '', '%'], [(17, 1), (2, 1), (13, 8)], [False, False, False, True], 80, False, [True, True, False, False], 290, 'South', (15, 3))
Element 11: (3, (15, 3), ['.', '.', '', '%'], [(18, 1), (3, 1), (13, 9)], [False, False, False, True], 78, False, [True, True, False, False], 319, 'South', (15, 2))
Element 12: (3, (15, 2), ['%', '%', '', '%'], [(17, 1), (4, 1), (12, 9)], [True, True, False, True], 76, False, [False, False, False, False], 348, 'North', (15, 3))
Element 13: (3, (15, 3), ['.', '', '', '%'], [(16, 1), (4, 2), (11, 9)], [False, False, False, True], 74, False, [True, False, False, False], 1357, 'West', (14, 3))
Element 14: (3, (14, 3), ['.', '%', '.', ''], [(17, 1), (4, 3), (11, 8)], [False, True, False, False], 72, False, [True, False, True, False], 2376, 'North', (14, 4))
Element 15: (3, (14, 4), ['.', '', '.', ''], [(17, 1), (5, 3), (10, 8)], [False, False, False, False], 70, False, [True, False, True, False], 3395, 'North', (14, 5))
Element 16: (3, (14, 5), ['.', '', '', ''], [(18, 1), (6, 3), (10, 9)], [False, False, False, False], 68, False, [True, False, False, False], 4414, 'West', (13, 5))
Element 17: (3, (13, 5), ['.', '.', '', ''], [(17, 1), (7, 3), (9, 9)], [False, False, False, False], 66, False, [True, True, False, False], 4443, 'South', (13, 4))
Element 18: (3, (13, 4), ['.', '.', '', ''], [(16, 1), (8, 3), (9, 8)], [False, False, False, False], 64, False, [True, True, False, False], 4472, 'South', (13, 3))
Element 19: (3, (13, 3), ['.', '.', '', ''], [(17, 1), (9, 3), (9, 7)], [False, False, False, False], 62, False, [True, True, False, False], 4501, 'South', (13, 2))
Element 20: (3, (13, 2), ['%', '.', '', '%'], [(17, 1), (10, 3), (10, 7)], [True, False, False, True], 60, False, [False, True, False, False], 4530, 'South', (13, 1))
Element 21: (3, (13, 1), ['.', '%', '', '.'], [(18, 1), (10, 4), (11, 7)], [False, True, False, False], 58, False, [True, False, False, True], 5549, 'East', (14, 1))
Element 22: #1#
