Element 1: (1, (1, 2), ['%', '.', '.', '%'], [(6, 6), (4, 3), (7, 3)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 3))
Element 2: (1, (1, 3), ['%', '', '.', '%'], [(7, 6), (5, 3), (8, 3)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 4))
Element 3: (1, (1, 4), ['%', '', '.', '%'], [(8, 6), (6, 3), (9, 3)], [True, False, False, True], 94, False, [False, False, True, False], 87, 'North', (1, 5))
Element 4: (1, (1, 5), ['%', '', '.', '%'], [(9, 6), (6, 4), (10, 3)], [True, False, False, True], 92, False, [False, False, True, False], 126, 'North', (1, 6))
Element 5: (1, (1, 6), ['%', '', '.', '%'], [(10, 6), (7, 4), (10, 4)], [True, False, False, True], 90, False, [False, False, True, False], 1155, 'North', (1, 7))
Element 6: (1, (1, 7), ['%', '', '.', '%'], [(11, 6), (8, 4), (11, 4)], [True, False, False, True], 88, False, [False, False, True, False], 2184, 'North', (1, 8))
Element 7: (1, (1, 8), ['%', '', '.', '%'], [(12, 6), (9, 4), (12, 4)], [True, False, False, True], 86, False, [False, False, True, False], 2223, 'North', (1, 9))
Element 8: (1, (1, 9), ['%', '', '%', '%'], [(13, 6), (9, 5), (13, 4)], [True, False, True, True], 84, False, [False, False, False, False], 2262, 'South', (1, 8))
Element 9: (1, (1, 8), ['%', '', '', '%'], [(14, 6), (10, 5), (14, 4)], [True, False, False, True], 82, False, [False, False, False, False], 2291, 'South', (1, 7))
Element 10: (1, (1, 7), ['%', '', '', '%'], [(15, 6), (11, 5), (15, 4)], [True, False, False, True], 80, False, [False, False, False, False], 2320, 'South', (1, 6))
Element 11: (1, (1, 6), ['%', '', '', '%'], [(15, 7), (12, 5), (15, 5)], [True, False, False, True], 78, False, [False, False, False, False], 2349, 'South', (1, 5))
Element 12: (1, (1, 5), ['%', '', '', '%'], [(15, 8), (13, 5), (14, 5)], [True, False, False, True], 76, False, [False, False, False, False], 2378, 'South', (1, 4))
Element 13: (1, (1, 4), ['%', '', '', '%'], [(15, 9), (13, 6), (14, 6)], [True, False, False, True], 74, False, [False, False, False, False], 2387, 'South', (1, 3))
Element 14: (1, (1, 3), ['%', '', '', '%'], [(14, 9), (13, 7), (14, 7)], [True, False, False, True], 72, False, [False, False, False, False], 2416, 'South', (1, 2))
Element 15: (1, (1, 2), ['%', '.', '', '%'], [(13, 9), (13, 8), (14, 8)], [True, False, False, True], 70, False, [False, True, False, False], 2445, 'South', (1, 1))
Element 16: (1, (1, 1), ['%', '%', '', '.'], [(12, 9), (12, 8), (15, 8)], [True, True, False, False], 68, False, [False, False, False, True], 2474, 'East', (2, 1))
Element 17: (1, (2, 1), ['', '%', '%', '.'], [(11, 9), (11, 8), (15, 9)], [False, True, True, False], 66, False, [False, False, False, True], 4483, 'East', (3, 1))
Element 18: #1#
