Element 1: (0, (16, 1), ['%', '%', '%', '.'], [(9, 8), (11, 6), (13, 3)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (17, 1))
Element 2: (0, (17, 1), ['', '%', '%', '.'], [(10, 8), (12, 6), (14, 3)], [False, True, True, False], 96, False, [False, False, False, True], 1029, 'East', (18, 1))
Element 3: (0, (18, 1), ['', '%', '%', '%'], [(11, 8), (13, 6), (15, 3)], [False, True, True, True], 94, False, [False, False, False, False], 2058, 'West', (17, 1))
Element 4: (0, (17, 1), ['', '%', '%', ''], [(11, 9), (14, 6), (15, 4)], [False, True, True, False], 92, False, [False, False, False, False], 3077, 'West', (16, 1))
Element 5: (0, (16, 1), ['%', '%', '%', ''], [(10, 9), (15, 6), (15, 5)], [True, True, True, False], 90, False, [False, False, False, False], 4096, 'Stop', (16, 1))
Element 6: (0, (16, 1), ['%', '%', '%', ''], [(9, 9), (15, 7), (14, 5)], [True, True, True, False], 88, False, [False, False, False, False], 4125, 'East', (17, 1))
Element 7: (0, (17, 1), ['', '%', '%', ''], [(8, 9), (15, 8), (14, 4)], [False, True, True, False], 86, False, [False, False, False, False], 4154, 'East', (18, 1))
Element 8: (0, (18, 1), ['', '%', '%', '%'], [(8, 8), (15, 9), (13, 4)], [False, True, True, True], 84, False, [False, False, False, False], 4183, 'West', (17, 1))
Element 9: (0, (17, 1), ['', '%', '%', ''], [(8, 7), (14, 9), (13, 5)], [False, True, True, False], 82, False, [False, False, False, False], 4212, 'West', (16, 1))
Element 10: (0, (16, 1), ['%', '%', '%', ''], [(9, 7), (14, 8), (12, 5)], [True, True, True, False], 80, False, [False, False, False, False], 4241, 'Stop', (16, 1))
Element 11: (0, (16, 1), ['%', '%', '%', ''], [(10, 7), (14, 7), (12, 4)], [True, True, True, False], 78, False, [False, False, False, False], 4270, 'East', (17, 1))
Element 12: (0, (17, 1), ['', '%', '%', ''], [(11, 7), (13, 7), (11, 4)], [False, True, True, False], 76, False, [False, False, False, False], 5289, 'East', (18, 1))
Element 13: #1#
