Element 1: (0, (15, 5), ['.', '.', '.', '%'], [(6, 1), (9, 8), (9, 9)], [False, False, False, True], 98, False, [True, True, True, False], 0, 'North', (15, 6))
Element 2: (0, (15, 6), ['.', '', '.', '%'], [(7, 1), (10, 8), (10, 9)], [False, False, False, True], 96, False, [True, False, True, False], 2019, 'North', (15, 7))
Element 3: (0, (15, 7), ['.', '', '.', '%'], [(8, 1), (11, 8), (11, 9)], [False, False, False, True], 94, False, [True, False, True, False], 4038, 'North', (15, 8))
Element 4: (0, (15, 8), ['.', '', '.', '%'], [(9, 1), (12, 8), (12, 9)], [False, False, False, True], 92, False, [True, False, True, False], 4077, 'North', (15, 9))
Element 5: (0, (15, 9), ['.', '', '%', '%'], [(10, 1), (13, 8), (13, 9)], [False, False, True, True], 90, False, [True, False, False, False], 4116, 'West', (14, 9))
Element 6: (0, (14, 9), ['', 'G', '%', ''], [(11, 1), (14, 8), (13, 8)], [False, False, True, False], 88, False, [False, False, False, False], 4145, 'West', (13, 9))
Element 7: (0, (13, 9), ['', '', '%', ''], [(12, 1), (14, 7), (13, 7)], [False, False, True, False], 86, False, [False, False, False, False], 4174, 'South', (13, 8))
Element 8: (0, (13, 8), ['', '', '', ''], [(13, 1), (14, 6), (13, 6)], [False, False, False, False], 84, False, [False, False, False, False], 4203, 'East', (14, 8))
Element 9: (0, (14, 8), ['', '', '', ''], [(14, 1), (14, 5), (13, 5)], [False, False, False, False], 82, False, [False, False, False, False], 4232, 'South', (14, 7))
Element 10: (0, (14, 7), ['', '', '', ''], [(13, 1), (14, 4), (13, 4)], [False, False, False, False], 80, False, [False, False, False, False], 4251, 'South', (14, 6))
Element 11: (0, (14, 6), ['', '', '', ''], [(13, 2), (15, 4), (13, 3)], [False, False, False, False], 78, False, [False, False, False, False], 4280, 'South', (14, 5))
Element 12: (0, (14, 5), ['', '', '', ''], [(13, 1), (15, 3), (14, 3)], [False, False, False, False], 76, False, [False, False, False, False], 4299, 'South', (14, 4))
Element 13: (0, (14, 4), ['', '', '', ''], [(12, 1), (15, 2), (15, 3)], [False, False, False, False], 74, False, [False, False, False, False], 4308, 'East', (15, 4))
Element 14: (0, (15, 4), ['', '', '', '%'], [(11, 1), (15, 2), (14, 3)], [False, False, False, True], 72, False, [False, False, False, False], 4307, 'South', (15, 3))
Element 15: (0, (15, 3), ['', '', '', '%'], [(10, 1), (15, 3), (13, 3)], [False, False, False, True], 70, False, [False, False, False, False], 4306, 'South', (15, 2))
Element 16: (0, (15, 2), ['%', '%', '', '%'], [(10, 2), (15, 4), (12, 3)], [True, True, False, True], 68, False, [False, False, False, False], 4325, 'North', (15, 3))
Element 17: (0, (15, 3), ['', '', 'G', '%'], [(10, 3), (15, 4), (12, 4)], [False, False, False, True], 66, False, [False, False, False, False], 4344, 'West', (14, 3))
Element 18: #1#
