Element 1: (3, (16, 1), ['%', '%', '%', '.'], [(11, 6), (7, 5), (13, 7)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (17, 1))
Element 2: (3, (17, 1), ['', '%', '%', '.'], [(12, 6), (8, 5), (14, 7)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '%', '%'], [(13, 6), (9, 5), (15, 7)], [False, True, True, True], 94, False, [False, False, False, False], 107, 'West', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(14, 6), (10, 5), (15, 8)], [False, True, True, False], 92, False, [False, False, False, False], 136, 'West', (16, 1))
Element 5: (3, (16, 1), ['%', '%', '%', ''], [(15, 6), (10, 4), (15, 9)], [True, True, True, False], 90, False, [False, False, False, False], 1155, 'Stop', (16, 1))
Element 6: (3, (16, 1), ['%', '%', '%', ''], [(15, 5), (11, 4), (14, 9)], [True, True, True, False], 88, False, [False, False, False, False], 2174, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(15, 4), (12, 4), (14, 8)], [False, True, True, False], 86, False, [False, False, False, False], 2203, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(15, 3), (13, 4), (13, 8)], [False, True, True, True], 84, False, [False, False, False, False], 2232, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(15, 2), (14, 4), (13, 9)], [False, True, True, False], 82, False, [False, False, False, False], 2261, 'West', (16, 1))
Element 10: (3, (16, 1), ['%', '%', '%', ''], [(15, 3), (14, 5), (12, 9)], [True, True, True, False], 80, False, [False, False, False, False], 2280, 'Stop', (16, 1))
Element 11: (3, (16, 1), ['%', '%', '%', ''], [(14, 3), (13, 5), (11, 9)], [True, True, True, False], 78, False, [False, False, False, False], 3299, 'East', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(13, 3), (12, 5), (11, 8)], [False, True, True, False], 76, False, [False, False, False, False], 4318, 'East', (18, 1))
Element 13: (3, (18, 1), ['', '%', '%', '%'], [(13, 2), (11, 5), (10, 8)], [False, True, True, True], 74, False, [False, False, False, False], 5337, 'West', (17, 1))
Element 14: #1#
