Element 1: (3, (4, 4), ['.', '', '.', '.'], [(9, 1), (1, 6), (5, 3)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (5, 4))
Element 2: (3, (5, 4), ['', '', '.', '.'], [(10, 1), (1, 7), (6, 3)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (6, 4))
Element 3: (3, (6, 4), ['', '', '.', '.'], [(11, 1), (1, 8), (7, 3)], [False, False, False, False], 94, False, [False, False, True, True], 107, 'East', (7, 4))
Element 4: (3, (7, 4), ['', '', '.', '.'], [(12, 1), (1, 9), (8, 3)], [False, False, False, False], 92, False, [False, False, True, True], 146, 'East', (8, 4))
Element 5: (3, (8, 4), ['', '', '.', '.'], [(13, 1), (1, 8), (9, 3)], [False, False, False, False], 90, False, [False, False, True, True], 175, 'East', (9, 4))
Element 6: (3, (9, 4), ['', '', '.', 'F'], [(14, 1), (1, 7), (10, 3)], [False, False, False, False], 88, False, [False, False, True, False], 204, 'East', (10, 4))
Element 7: (3, (10, 4), ['', '', '.', 'F'], [(13, 1), (1, 6), (11, 3)], [False, False, False, False], 86, False, [False, False, True, False], 1213, 'East', (11, 4))
Element 8: (3, (11, 4), ['', '', '.', '.'], [(13, 2), (1, 5), (12, 3)], [False, False, False, False], 84, False, [False, False, True, True], 2232, 'East', (12, 4))
Element 9: (3, (12, 4), ['', '', '.', '.'], [(13, 3), (1, 4), (11, 3)], [False, False, False, False], 82, False, [False, False, True, True], 2261, 'East', (13, 4))
Element 10: (3, (13, 4), ['', '', '.', '.'], [(14, 3), (1, 3), (10, 3)], [False, False, False, False], 80, False, [False, False, True, True], 2290, 'East', (14, 4))
Element 11: (3, (14, 4), ['', '', '.', '.'], [(15, 3), (1, 2), (10, 2)], [False, False, False, False], 78, False, [False, False, True, True], 2329, 'East', (15, 4))
Element 12: (3, (15, 4), ['', '', '.', '%'], [(15, 2), (1, 1), (9, 2)], [False, False, False, True], 76, False, [False, False, True, False], 2368, 'North', (15, 5))
Element 13: (3, (15, 5), ['.', '', '.', '%'], [(15, 3), (2, 1), (8, 2)], [False, False, False, True], 74, False, [True, False, True, False], 2397, 'North', (15, 6))
Element 14: (3, (15, 6), ['.', '', '.', '%'], [(14, 3), (3, 1), (7, 2)], [False, False, False, True], 72, False, [True, False, True, False], 2426, 'North', (15, 7))
Element 15: (3, (15, 7), ['.', '', '.', '%'], [(13, 3), (4, 1), (7, 1)], [False, False, False, True], 70, False, [True, False, True, False], 2455, 'North', (15, 8))
Element 16: (3, (15, 8), ['.', '', '.', '%'], [(12, 3), (4, 2), (6, 1)], [False, False, False, True], 68, False, [True, False, True, False], 2484, 'North', (15, 9))
Element 17: (3, (15, 9), ['.', '', '%', '%'], [(12, 4), (4, 3), (6, 2)], [False, False, True, True], 66, False, [True, False, False, False], 2503, 'West', (14, 9))
Element 18: (3, (14, 9), ['.', '.', '%', ''], [(12, 5), (3, 3), (6, 1)], [False, False, True, False], 64, False, [True, True, False, False], 2532, 'South', (14, 8))
Element 19: (3, (14, 8), ['.', '.', '', ''], [(13, 5), (3, 4), (7, 1)], [False, False, False, False], 62, False, [True, True, False, False], 2561, 'South', (14, 7))
Element 20: (3, (14, 7), ['.', '.', '', ''], [(14, 5), (3, 5), (8, 1)], [False, False, False, False], 60, False, [True, True, False, False], 2590, 'South', (14, 6))
Element 21: (3, (14, 6), ['.', '', '', ''], [(15, 5), (4, 5), (9, 1)], [False, False, False, False], 58, False, [True, False, False, False], 2609, 'West', (13, 6))
Element 22: (3, (13, 6), ['.', '', '.', ''], [(15, 6), (5, 5), (10, 1)], [False, False, False, False], 56, False, [True, False, True, False], 2628, 'North', (13, 7))
Element 23: (3, (13, 7), ['.', '', '.', ''], [(15, 7), (6, 5), (11, 1)], [False, False, False, False], 54, False, [True, False, True, False], 2647, 'North', (13, 8))
Element 24: (3, (13, 8), ['.', '', '.', ''], [(15, 8), (7, 5), (12, 1)], [False, False, False, False], 52, False, [True, False, True, False], 2666, 'North', (13, 9))
Element 25: (3, (13, 9), ['.', '', '%', ''], [(15, 9), (8, 5), (13, 1)], [False, False, True, False], 50, False, [True, False, False, False], 2685, 'West', (12, 9))
Element 26: (3, (12, 9), ['F', '.', '%', ''], [(14, 9), (9, 5), (14, 1)], [False, False, True, False], 48, False, [False, True, False, False], 2704, 'West', (11, 9))
Element 27: (3, (11, 9), ['F', 'F', '%', ''], [(14, 8), (10, 5), (13, 1)], [False, False, True, False], 46, False, [False, False, False, False], 3713, 'South', (11, 8))
Element 28: (3, (11, 8), ['F', '.', '', '.'], [(14, 7), (11, 5), (13, 2)], [False, False, False, False], 44, False, [False, True, False, True], 4722, 'West', (10, 8))
Element 29: (3, (10, 8), ['.', '.', 'F', ''], [(14, 6), (11, 6), (13, 3)], [False, False, False, False], 42, False, [True, True, False, False], 5731, 'North', (10, 9))
Element 30: #1#
