Element 1: (3, (10, 3), ['.', '.', 'G', '.'], [(7, 4), (2, 1), (10, 4)], [False, False, False, False], 98, False, [True, True, False, True], 1019, 'East', (11, 3))
Element 2: (3, (11, 3), ['', '%', 'G', '.'], [(8, 4), (3, 1), (11, 4)], [False, True, False, False], 96, False, [False, False, False, True], 2048, 'East', (12, 3))
Element 3: (3, (12, 3), ['', '%', 'G', '.'], [(8, 5), (4, 1), (12, 4)], [False, True, False, False], 94, False, [False, False, False, True], 2087, 'East', (13, 3))
Element 4: (3, (13, 3), ['', '.', 'G', '.'], [(9, 5), (4, 2), (13, 4)], [False, False, False, False], 92, False, [False, True, False, True], 2126, 'East', (14, 3))
Element 5: (3, (14, 3), ['', '%', 'G', '.'], [(10, 5), (4, 3), (14, 4)], [False, True, False, False], 90, False, [False, False, False, True], 2165, 'East', (15, 3))
Element 6: (3, (15, 3), ['', '.', 'G', '%'], [(11, 5), (5, 3), (15, 4)], [False, False, False, True], 88, False, [False, True, False, False], 2204, 'South', (15, 2))
Element 7: (3, (15, 2), ['%', '%', '', '%'], [(12, 5), (6, 3), (15, 5)], [True, True, False, True], 86, False, [False, False, False, False], 2243, 'North', (15, 3))
Element 8: (3, (15, 3), ['', '', '', '%'], [(13, 5), (7, 3), (15, 6)], [False, False, False, True], 84, False, [False, False, False, False], 2272, 'West', (14, 3))
Element 9: (3, (14, 3), ['', '%', '', ''], [(14, 5), (8, 3), (15, 7)], [False, True, False, False], 82, False, [False, False, False, False], 2301, 'West', (13, 3))
Element 10: (3, (13, 3), ['', '.', '', ''], [(14, 6), (9, 3), (15, 8)], [False, False, False, False], 80, False, [False, True, False, False], 2330, 'South', (13, 2))
Element 11: (3, (13, 2), ['%', '.', '', '%'], [(14, 7), (9, 2), (15, 9)], [True, False, False, True], 78, False, [False, True, False, False], 2369, 'South', (13, 1))
Element 12: (3, (13, 1), ['.', '%', '', '.'], [(14, 8), (10, 2), (14, 9)], [False, True, False, False], 76, False, [True, False, False, True], 2408, 'East', (14, 1))
Element 13: (3, (14, 1), ['', '%', '%', '%'], [(13, 8), (10, 1), (13, 9)], [False, True, True, True], 74, False, [False, False, False, False], 2447, 'West', (13, 1))
Element 14: (3, (13, 1), ['.', '%', '', ''], [(13, 7), (11, 1), (12, 9)], [False, True, False, False], 72, False, [True, False, False, False], 2476, 'West', (12, 1))
Element 15: (3, (12, 1), ['', '%', '%', ''], [(13, 6), (10, 1), (11, 9)], [False, True, True, False], 70, False, [False, False, False, False], 3495, 'West', (11, 1))
Element 16: (3, (11, 1), ['', '%', '%', ''], [(12, 6), (9, 1), (11, 8)], [False, True, True, False], 68, False, [False, False, False, False], 4514, 'West', (10, 1))
Element 17: (3, (10, 1), ['', '%', '', ''], [(12, 7), (8, 1), (10, 8)], [False, True, False, False], 66, False, [False, False, False, False], 5533, 'North', (10, 2))
Element 18: #1#
