Element 1: (0, (6, 9), ['.', '.', '%', '.'], [(5, 7), (7, 7), (8, 1)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (7, 9))
Element 2: (0, (7, 9), ['', '.', '%', '.'], [(6, 7), (8, 7), (9, 1)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (8, 9))
Element 3: (0, (8, 9), ['', '.', '%', '.'], [(6, 8), (9, 7), (10, 1)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (9, 9))
Element 4: (0, (9, 9), ['', '.', '%', 'F'], [(7, 8), (10, 7), (11, 1)], [False, False, True, False], 92, False, [False, True, False, False], 117, 'East', (10, 9))
Element 5: (0, (10, 9), ['', 'G', '%', 'F'], [(8, 8), (10, 8), (12, 1)], [False, False, True, False], 90, False, [False, False, False, False], 2136, 'East', (11, 9))
Element 6: (0, (11, 9), ['', 'G', '%', '.'], [(9, 8), (11, 8), (13, 1)], [False, False, True, False], 88, False, [False, False, False, True], 4155, 'East', (12, 9))
Element 7: (0, (12, 9), ['', 'G', '%', '.'], [(10, 8), (12, 8), (14, 1)], [False, False, True, False], 86, False, [False, False, False, True], 4184, 'East', (13, 9))
Element 8: (0, (13, 9), ['', 'G', '%', '.'], [(11, 8), (13, 8), (13, 1)], [False, False, True, False], 84, False, [False, False, False, True], 4203, 'East', (14, 9))
Element 9: (0, (14, 9), ['', 'G', '%', '.'], [(11, 7), (14, 8), (13, 2)], [False, False, True, False], 82, False, [False, False, False, True], 4242, 'East', (15, 9))
Element 10: (0, (15, 9), ['', 'G', '%', '%'], [(12, 7), (15, 8), (13, 3)], [False, False, True, True], 80, False, [False, False, False, False], 4281, 'West', (14, 9))
Element 11: (0, (14, 9), ['', '', '%', ''], [(13, 7), (15, 7), (14, 3)], [False, False, True, False], 78, False, [False, False, False, False], 4310, 'West', (13, 9))
Element 12: (0, (13, 9), ['', '', '%', ''], [(14, 7), (15, 6), (15, 3)], [False, False, True, False], 76, False, [False, False, False, False], 4339, 'West', (12, 9))
Element 13: (0, (12, 9), ['', '', '%', ''], [(14, 6), (15, 5), (15, 4)], [False, False, True, False], 74, False, [False, False, False, False], 4368, 'West', (11, 9))
Element 14: (0, (11, 9), ['', '', '%', ''], [(14, 5), (15, 6), (14, 4)], [False, False, True, False], 72, False, [False, False, False, False], 4387, 'West', (10, 9))
Element 15: (0, (10, 9), ['', '', '%', ''], [(13, 5), (15, 7), (13, 4)], [False, False, True, False], 70, False, [False, False, False, False], 4406, 'West', (9, 9))
Element 16: (0, (9, 9), ['', '', '%', ''], [(13, 6), (15, 8), (12, 4)], [False, False, True, False], 68, False, [False, False, False, False], 4425, 'South', (9, 8))
Element 17: (0, (9, 8), ['', '', '', ''], [(12, 6), (15, 9), (11, 4)], [False, False, False, False], 66, False, [False, False, False, False], 5434, 'East', (10, 8))
Element 18: #1#
