Element 1: (2, (13, 9), ['.', '.', '%', '.'], [(10, 9), (10, 7), (14, 7)], [False, False, True, False], 98, False, [True, True, False, True], 1009, 'East', (14, 9))
Element 2: (2, (14, 9), ['', '.', '%', '.'], [(11, 9), (10, 8), (15, 7)], [False, False, True, False], 96, False, [False, True, False, True], 3028, 'East', (15, 9))
Element 3: (2, (15, 9), ['', 'G', '%', '%'], [(11, 8), (9, 8), (15, 8)], [False, False, True, True], 94, False, [False, False, False, False], 4057, 'West', (14, 9))
Element 4: (2, (14, 9), ['', 'G', '%', ''], [(12, 8), (8, 8), (14, 8)], [False, False, True, False], 92, False, [False, False, False, False], 4086, 'West', (13, 9))
Element 5: (2, (13, 9), ['G', 'G', '%', ''], [(12, 9), (8, 9), (13, 8)], [False, False, True, False], 90, False, [False, False, False, False], 4115, 'East', (14, 9))
Element 6: (2, (14, 9), ['G', '', '%', ''], [(13, 9), (7, 9), (13, 7)], [False, False, True, False], 88, False, [False, False, False, False], 4134, 'South', (14, 8))
Element 7: (2, (14, 8), ['', '', 'G', ''], [(14, 9), (7, 8), (13, 6)], [False, False, False, False], 86, False, [False, False, False, False], 4153, 'East', (15, 8))
Element 8: (2, (15, 8), ['', '', 'G', '%'], [(15, 9), (7, 7), (14, 6)], [False, False, False, True], 84, False, [False, False, False, False], 4172, 'South', (15, 7))
Element 9: (2, (15, 7), ['', 'G', 'G', '%'], [(15, 8), (8, 7), (15, 6)], [False, False, False, True], 82, False, [False, False, False, False], 4191, 'West', (14, 7))
Element 10: (2, (14, 7), ['', '', '', 'G'], [(15, 7), (8, 6), (15, 5)], [False, False, False, False], 80, False, [False, False, False, False], 4210, 'South', (14, 6))
Element 11: (2, (14, 6), ['', '.', '', 'G'], [(15, 6), (9, 6), (15, 4)], [False, False, False, False], 78, False, [False, True, False, False], 4229, 'South', (14, 5))
Element 12: (2, (14, 5), ['.', '.', '', 'G'], [(15, 5), (10, 6), (15, 3)], [False, False, False, False], 76, False, [True, True, False, False], 4258, 'South', (14, 4))
Element 13: (2, (14, 4), ['.', '.', '', 'G'], [(15, 4), (11, 6), (15, 2)], [False, False, False, False], 74, False, [True, True, False, False], 4287, 'South', (14, 3))
Element 14: (2, (14, 3), ['.', '%', 'G', 'G'], [(14, 4), (12, 6), (15, 3)], [False, True, False, False], 72, False, [True, False, False, False], 4306, 'West', (13, 3))
Element 15: (2, (13, 3), ['.', '.', 'G', 'G'], [(13, 4), (12, 7), (14, 3)], [False, False, False, False], 70, False, [True, True, False, False], 4335, 'South', (13, 2))
Element 16: (2, (13, 2), ['%', '.', '', '%'], [(13, 5), (11, 7), (14, 4)], [True, False, False, True], 68, False, [False, True, False, False], 4364, 'South', (13, 1))
Element 17: (2, (13, 1), ['.', '%', '', '.'], [(12, 5), (11, 8), (14, 5)], [False, True, False, False], 66, False, [True, False, False, True], 4383, 'East', (14, 1))
Element 18: (2, (14, 1), ['', '%', '%', '%'], [(12, 4), (12, 8), (13, 5)], [False, True, True, True], 64, False, [False, False, False, False], 4402, 'West', (13, 1))
Element 19: (2, (13, 1), ['.', '%', '', ''], [(11, 4), (13, 8), (13, 4)], [False, True, False, False], 62, False, [True, False, False, False], 5401, 'West', (12, 1))
Element 20: #1#
