Element 1: (1, (12, 6), ['.', '.', '.', 'G'], [(4, 2), (13, 6), (15, 4)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (12, 7))
Element 2: (1, (12, 7), ['.', '', '.', '.'], [(4, 3), (14, 6), (15, 5)], [False, False, False, False], 96, False, [True, False, True, True], 48, 'East', (13, 7))
Element 3: (1, (13, 7), ['', '', '.', '.'], [(5, 3), (15, 6), (14, 5)], [False, False, False, False], 94, False, [False, False, True, True], 87, 'East', (14, 7))
Element 4: (1, (14, 7), ['', '', '.', 'G'], [(6, 3), (15, 7), (14, 4)], [False, False, False, False], 92, False, [False, False, True, False], 126, 'North', (14, 8))
Element 5: (1, (14, 8), ['.', '', '.', 'G'], [(7, 3), (15, 8), (14, 3)], [False, False, False, False], 90, False, [True, False, True, False], 165, 'North', (14, 9))
Element 6: (1, (14, 9), ['.', '', '%', 'G'], [(8, 3), (15, 9), (15, 3)], [False, False, True, False], 88, False, [True, False, False, False], 204, 'West', (13, 9))
Element 7: (1, (13, 9), ['.', '.', '%', 'G'], [(9, 3), (14, 9), (15, 2)], [False, False, True, False], 86, False, [True, True, False, False], 233, 'South', (13, 8))
Element 8: (1, (13, 8), ['.', '', '', 'G'], [(10, 3), (14, 8), (15, 3)], [False, False, False, False], 84, False, [True, False, False, False], 252, 'West', (12, 8))
Element 9: (1, (12, 8), ['F', '', '.', ''], [(10, 4), (14, 7), (14, 3)], [False, False, False, False], 82, False, [False, False, True, False], 1261, 'West', (11, 8))
Element 10: (1, (11, 8), ['F', '.', 'F', ''], [(11, 4), (13, 7), (13, 3)], [False, False, False, False], 80, False, [False, True, False, False], 3270, 'North', (11, 9))
Element 11: (1, (11, 9), ['F', '', '%', '.'], [(12, 4), (13, 8), (13, 4)], [False, False, True, False], 78, False, [False, False, False, True], 4289, 'West', (10, 9))
Element 12: (1, (10, 9), ['.', 'F', '%', ''], [(12, 5), (13, 9), (13, 5)], [False, False, True, False], 76, False, [True, False, False, False], 5308, 'South', (10, 8))
Element 13: #1#
