Element 1: (0, (14, 5), ['.', '.', '.', '.'], [(1, 8), (4, 7), (6, 9)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (15, 5))
Element 2: (0, (15, 5), ['', '.', '.', '%'], [(1, 9), (5, 7), (7, 9)], [False, False, False, True], 96, False, [False, True, True, False], 39, 'North', (15, 6))
Element 3: (0, (15, 6), ['.', '', '.', '%'], [(1, 8), (6, 7), (8, 9)], [False, False, False, True], 94, False, [True, False, True, False], 68, 'North', (15, 7))
Element 4: (0, (15, 7), ['.', '', '.', '%'], [(1, 7), (7, 7), (9, 9)], [False, False, False, True], 92, False, [True, False, True, False], 107, 'North', (15, 8))
Element 5: (0, (15, 8), ['.', '', '.', '%'], [(1, 6), (8, 7), (10, 9)], [False, False, False, True], 90, False, [True, False, True, False], 1136, 'North', (15, 9))
Element 6: (0, (15, 9), ['.', '', '%', '%'], [(1, 5), (9, 7), (11, 9)], [False, False, True, True], 88, False, [True, False, False, False], 2165, 'West', (14, 9))
Element 7: (0, (14, 9), ['.', '.', '%', ''], [(1, 4), (10, 7), (11, 8)], [False, False, True, False], 86, False, [True, True, False, False], 3194, 'South', (14, 8))
Element 8: (0, (14, 8), ['.', '.', '', ''], [(1, 3), (10, 8), (12, 8)], [False, False, False, False], 84, False, [True, True, False, False], 4223, 'South', (14, 7))
Element 9: (0, (14, 7), ['.', '.', '', ''], [(1, 2), (9, 8), (13, 8)], [False, False, False, False], 82, False, [True, True, False, False], 4262, 'South', (14, 6))
Element 10: (0, (14, 6), ['.', '', '', ''], [(1, 1), (8, 8), (13, 9)], [False, False, False, False], 80, False, [True, False, False, False], 4301, 'West', (13, 6))
Element 11: (0, (13, 6), ['.', '.', '.', ''], [(2, 1), (7, 8), (12, 9)], [False, False, False, False], 78, False, [True, True, True, False], 4340, 'North', (13, 7))
Element 12: (0, (13, 7), ['.', '', '', ''], [(3, 1), (6, 8), (13, 9)], [False, False, False, False], 76, False, [True, False, False, False], 4369, 'West', (12, 7))
Element 13: (0, (12, 7), ['.', '.', '', ''], [(4, 1), (5, 8), (14, 9)], [False, False, False, False], 74, False, [True, True, False, False], 4398, 'South', (12, 6))
Element 14: (0, (12, 6), ['.', '.', '', ''], [(4, 2), (5, 9), (15, 9)], [False, False, False, False], 72, False, [True, True, False, False], 4427, 'South', (12, 5))
Element 15: (0, (12, 5), ['.', '.', '', '.'], [(4, 3), (4, 9), (15, 8)], [False, False, False, False], 70, False, [True, True, False, True], 4456, 'East', (13, 5))
Element 16: (0, (13, 5), ['', '.', '', ''], [(5, 3), (4, 8), (15, 7)], [False, False, False, False], 68, False, [False, True, False, False], 4485, 'South', (13, 4))
Element 17: (0, (13, 4), ['.', '.', '', '.'], [(6, 3), (3, 8), (15, 6)], [False, False, False, False], 66, False, [True, True, False, True], 4514, 'East', (14, 4))
Element 18: (0, (14, 4), ['', '.', '', '.'], [(7, 3), (3, 9), (15, 5)], [False, False, False, False], 64, False, [False, True, False, True], 4543, 'East', (15, 4))
Element 19: (0, (15, 4), ['', '.', '', '%'], [(8, 3), (3, 8), (14, 5)], [False, False, False, True], 62, False, [False, True, False, False], 4562, 'South', (15, 3))
Element 20: (0, (15, 3), ['.', '.', '', '%'], [(9, 3), (3, 7), (14, 6)], [False, False, False, True], 60, False, [True, True, False, False], 4591, 'South', (15, 2))
Element 21: (0, (15, 2), ['%', '%', '', '%'], [(10, 3), (3, 6), (14, 7)], [True, True, False, True], 58, False, [False, False, False, False], 4620, 'North', (15, 3))
Element 22: (0, (15, 3), ['.', '', '', '%'], [(10, 4), (4, 6), (14, 8)], [False, False, False, True], 56, False, [True, False, False, False], 5629, 'West', (14, 3))
Element 23: #1#
