Element 1: (1, (4, 2), ['%', '.', '.', '%'], [(15, 8), (5, 3), (7, 2)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (4, 3))
Element 2: (1, (4, 3), ['.', '', '.', ''], [(15, 7), (6, 3), (8, 2)], [False, False, False, False], 96, False, [True, False, True, False], 48, 'North', (4, 4))
Element 3: (1, (4, 4), ['.', '', '.', '.'], [(15, 6), (7, 3), (9, 2)], [False, False, False, False], 94, False, [True, False, True, True], 87, 'East', (5, 4))
Element 4: (1, (5, 4), ['', '', '.', '.'], [(15, 5), (8, 3), (10, 2)], [False, False, False, False], 92, False, [False, False, True, True], 126, 'East', (6, 4))
Element 5: (1, (6, 4), ['', '', '.', '.'], [(15, 4), (9, 3), (10, 3)], [False, False, False, False], 90, False, [False, False, True, True], 165, 'East', (7, 4))
Element 6: (1, (7, 4), ['', '', '.', '.'], [(15, 3), (9, 4), (10, 4)], [False, False, False, False], 88, False, [False, False, True, True], 1194, 'East', (8, 4))
Element 7: (1, (8, 4), ['', '', '.', ''], [(15, 2), (9, 5), (11, 4)], [False, False, False, False], 86, False, [False, False, True, False], 2223, 'North', (8, 5))
Element 8: (1, (8, 5), ['.', '', '.', ''], [(15, 3), (10, 5), (12, 4)], [False, False, False, False], 84, False, [True, False, True, False], 2252, 'North', (8, 6))
Element 9: (1, (8, 6), ['.', '', '.', '.'], [(14, 3), (11, 5), (13, 4)], [False, False, False, False], 82, False, [True, False, True, True], 2291, 'East', (9, 6))
Element 10: (1, (9, 6), ['', '', '.', '.'], [(13, 3), (12, 5), (14, 4)], [False, False, False, False], 80, False, [False, False, True, True], 2330, 'East', (10, 6))
Element 11: (1, (10, 6), ['', '', '.', '.'], [(13, 2), (13, 5), (14, 5)], [False, False, False, False], 78, False, [False, False, True, True], 2369, 'East', (11, 6))
Element 12: (1, (11, 6), ['', '', '.', '.'], [(13, 1), (13, 6), (14, 6)], [False, False, False, False], 76, False, [False, False, True, True], 2408, 'East', (12, 6))
Element 13: (1, (12, 6), ['', '', '.', ''], [(14, 1), (13, 7), (14, 7)], [False, False, False, False], 74, False, [False, False, True, False], 2447, 'North', (12, 7))
Element 14: (1, (12, 7), ['.', '', '.', ''], [(13, 1), (13, 8), (14, 8)], [False, False, False, False], 72, False, [True, False, True, False], 2476, 'North', (12, 8))
Element 15: (1, (12, 8), ['F', '', '.', ''], [(12, 1), (13, 9), (14, 9)], [False, False, False, False], 70, False, [False, False, True, False], 2515, 'West', (11, 8))
Element 16: (1, (11, 8), ['F', '.', 'F', ''], [(11, 1), (12, 9), (15, 9)], [False, False, False, False], 68, False, [False, True, False, False], 3534, 'North', (11, 9))
Element 17: (1, (11, 9), ['F', '', '%', ''], [(10, 1), (12, 8), (15, 8)], [False, False, True, False], 66, False, [False, False, False, False], 4543, 'West', (10, 9))
Element 18: (1, (10, 9), ['.', 'F', '%', ''], [(9, 1), (12, 7), (15, 7)], [False, False, True, False], 64, False, [True, False, False, False], 5552, 'South', (10, 8))
Element 19: #1#
