Element 1: (1, (1, 9), ['%', '.', '%', '%'], [(5, 3), (8, 1), (11, 6)], [True, False, True, True], 98, False, [False, True, False, False], 9, 'South', (1, 8))
Element 2: (1, (1, 8), ['%', '.', '', '%'], [(6, 3), (9, 1), (12, 6)], [True, False, False, True], 96, False, [False, True, False, False], 48, 'South', (1, 7))
Element 3: (1, (1, 7), ['%', '.', '', '%'], [(7, 3), (10, 1), (13, 6)], [True, False, False, True], 94, False, [False, True, False, False], 87, 'South', (1, 6))
Element 4: (1, (1, 6), ['%', '.', '', '%'], [(8, 3), (11, 1), (14, 6)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (1, 5))
Element 5: (1, (1, 5), ['%', '.', '', '%'], [(9, 3), (12, 1), (15, 6)], [True, False, False, True], 90, False, [False, True, False, False], 165, 'South', (1, 4))
Element 6: (1, (1, 4), ['%', '.', '', '%'], [(10, 3), (13, 1), (15, 7)], [True, False, False, True], 88, False, [False, True, False, False], 204, 'South', (1, 3))
Element 7: (1, (1, 3), ['%', '.', '', '%'], [(10, 4), (14, 1), (15, 8)], [True, False, False, True], 86, False, [False, True, False, False], 1233, 'South', (1, 2))
Element 8: (1, (1, 2), ['%', '.', '', '%'], [(11, 4), (13, 1), (15, 9)], [True, False, False, True], 84, False, [False, True, False, False], 2252, 'South', (1, 1))
Element 9: (1, (1, 1), ['%', '%', '', '.'], [(12, 4), (13, 2), (14, 9)], [True, True, False, False], 82, False, [False, False, False, True], 2291, 'East', (2, 1))
Element 10: (1, (2, 1), ['', '%', '%', '.'], [(13, 4), (13, 3), (14, 8)], [False, True, True, False], 80, False, [False, False, False, True], 2330, 'East', (3, 1))
Element 11: (1, (3, 1), ['', '%', '%', '.'], [(14, 4), (14, 3), (14, 7)], [False, True, True, False], 78, False, [False, False, False, True], 2369, 'East', (4, 1))
Element 12: (1, (4, 1), ['', '%', '.', '%'], [(15, 4), (15, 3), (13, 7)], [False, True, False, True], 76, False, [False, False, True, False], 2408, 'North', (4, 2))
Element 13: (1, (4, 2), ['%', '', '', '%'], [(15, 5), (15, 2), (13, 8)], [True, False, False, True], 74, False, [False, False, False, False], 2447, 'North', (4, 3))
Element 14: (1, (4, 3), ['.', '', '.', ''], [(14, 5), (15, 3), (13, 9)], [False, False, False, False], 72, False, [True, False, True, False], 2466, 'North', (4, 4))
Element 15: (1, (4, 4), ['.', '', '.', '.'], [(13, 5), (14, 3), (12, 9)], [False, False, False, False], 70, False, [True, False, True, True], 2495, 'East', (5, 4))
Element 16: (1, (5, 4), ['', '', '.', '.'], [(12, 5), (13, 3), (11, 9)], [False, False, False, False], 68, False, [False, False, True, True], 3514, 'East', (6, 4))
Element 17: (1, (6, 4), ['', '', '.', '.'], [(11, 5), (12, 3), (11, 8)], [False, False, False, False], 66, False, [False, False, True, True], 4543, 'East', (7, 4))
Element 18: (1, (7, 4), ['', '', '.', '.'], [(10, 5), (11, 3), (10, 8)], [False, False, False, False], 64, False, [False, False, True, True], 5572, 'East', (8, 4))
Element 19: #1#
