Element 1: (3, (7, 4), ['', '.', '.', '.'], [(6, 5), (4, 2), (8, 2)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (8, 4))
Element 2: (3, (8, 4), ['', '.', '.', '.'], [(7, 5), (4, 3), (9, 2)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (9, 4))
Element 3: (3, (9, 4), ['', '.', '.', 'F'], [(8, 5), (5, 3), (10, 2)], [False, False, False, False], 94, False, [False, True, True, False], 107, 'East', (10, 4))
Element 4: (3, (10, 4), ['', 'G', '.', 'F'], [(9, 5), (6, 3), (10, 3)], [False, False, False, False], 92, False, [False, False, True, False], 1136, 'East', (11, 4))
Element 5: (3, (11, 4), ['', 'G', '.', '.'], [(10, 5), (7, 3), (11, 3)], [False, False, False, False], 90, False, [False, False, True, True], 2165, 'East', (12, 4))
Element 6: (3, (12, 4), ['', 'G', '.', '.'], [(11, 5), (8, 3), (12, 3)], [False, False, False, False], 88, False, [False, False, True, True], 2204, 'East', (13, 4))
Element 7: (3, (13, 4), ['', 'G', '.', '.'], [(12, 5), (9, 3), (13, 3)], [False, False, False, False], 86, False, [False, False, True, True], 2243, 'East', (14, 4))
Element 8: (3, (14, 4), ['', 'G', '.', '.'], [(13, 5), (10, 3), (14, 3)], [False, False, False, False], 84, False, [False, False, True, True], 2272, 'East', (15, 4))
Element 9: (3, (15, 4), ['', 'G', '.', '%'], [(14, 5), (11, 3), (15, 3)], [False, False, False, True], 82, False, [False, False, True, False], 2301, 'North', (15, 5))
Element 10: (3, (15, 5), ['', '', '.', '%'], [(14, 6), (12, 3), (15, 2)], [False, False, False, True], 80, False, [False, False, True, False], 2330, 'North', (15, 6))
Element 11: (3, (15, 6), ['', '', '.', '%'], [(14, 7), (13, 3), (15, 3)], [False, False, False, True], 78, False, [False, False, True, False], 2349, 'North', (15, 7))
Element 12: (3, (15, 7), ['', '', '.', '%'], [(14, 8), (13, 2), (15, 4)], [False, False, False, True], 76, False, [False, False, True, False], 2378, 'North', (15, 8))
Element 13: (3, (15, 8), ['', '', '.', '%'], [(14, 9), (13, 1), (15, 5)], [False, False, False, True], 74, False, [False, False, True, False], 2407, 'North', (15, 9))
Element 14: (3, (15, 9), ['', '', '%', '%'], [(13, 9), (14, 1), (15, 6)], [False, False, True, True], 72, False, [False, False, False, False], 2436, 'West', (14, 9))
Element 15: (3, (14, 9), ['', '', '%', ''], [(13, 8), (13, 1), (15, 7)], [False, False, True, False], 70, False, [False, False, False, False], 2445, 'South', (14, 8))
Element 16: (3, (14, 8), ['', '', '', 'G'], [(13, 7), (12, 1), (15, 8)], [False, False, False, False], 68, False, [False, False, False, False], 2464, 'South', (14, 7))
Element 17: (3, (14, 7), ['', '', '', ''], [(13, 6), (11, 1), (15, 9)], [False, False, False, False], 66, False, [False, False, False, False], 2483, 'South', (14, 6))
Element 18: (3, (14, 6), ['', '', '', ''], [(12, 6), (10, 1), (14, 9)], [False, False, False, False], 64, False, [False, False, False, False], 2502, 'South', (14, 5))
Element 19: (3, (14, 5), ['', '', '', ''], [(12, 7), (9, 1), (14, 8)], [False, False, False, False], 62, False, [False, False, False, False], 2521, 'West', (13, 5))
Element 20: (3, (13, 5), ['', '', '', ''], [(12, 8), (8, 1), (14, 7)], [False, False, False, False], 60, False, [False, False, False, False], 2540, 'North', (13, 6))
Element 21: (3, (13, 6), ['', '', '', 'G'], [(11, 8), (7, 1), (14, 6)], [False, False, False, False], 58, False, [False, False, False, False], 3549, 'North', (13, 7))
Element 22: (3, (13, 7), ['', '', '', ''], [(11, 9), (6, 1), (14, 5)], [False, False, False, False], 56, False, [False, False, False, False], 4558, 'North', (13, 8))
Element 23: (3, (13, 8), ['', '', '', ''], [(10, 9), (6, 2), (14, 4)], [False, False, False, False], 54, False, [False, False, False, False], 5567, 'North', (13, 9))
Element 24: #1#
