Element 1: (1, (5, 5), ['.', '.', 'G', '.'], [(1, 4), (5, 6), (12, 7)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'East', (6, 5))
Element 2: (1, (6, 5), ['', '.', 'G', '.'], [(1, 5), (6, 6), (13, 7)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (7, 5))
Element 3: (1, (7, 5), ['', '.', 'G', '.'], [(1, 6), (7, 6), (14, 7)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (8, 5))
Element 4: (1, (8, 5), ['', '.', 'G', '.'], [(1, 7), (8, 6), (15, 7)], [False, False, False, False], 92, False, [False, True, False, True], 126, 'East', (9, 5))
Element 5: (1, (9, 5), ['', '.', 'G', '.'], [(1, 8), (9, 6), (15, 8)], [False, False, False, False], 90, False, [False, True, False, True], 165, 'East', (10, 5))
Element 6: (1, (10, 5), ['', 'F', 'G', '.'], [(1, 9), (10, 6), (15, 9)], [False, False, False, False], 88, False, [False, False, False, True], 204, 'South', (10, 4))
Element 7: (1, (10, 4), ['.', '.', '', 'F'], [(1, 8), (11, 6), (14, 9)], [False, False, False, False], 86, False, [True, True, False, False], 1223, 'East', (11, 4))
Element 8: (1, (11, 4), ['', '.', '.', '.'], [(1, 7), (12, 6), (14, 8)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (12, 4))
Element 9: (1, (12, 4), ['', '.', '.', '.'], [(1, 6), (13, 6), (13, 8)], [False, False, False, False], 82, False, [False, True, True, True], 2271, 'East', (13, 4))
Element 10: (1, (13, 4), ['', '.', '.', '.'], [(1, 5), (14, 6), (13, 9)], [False, False, False, False], 80, False, [False, True, True, True], 2300, 'East', (14, 4))
Element 11: (1, (14, 4), ['', '.', '.', '.'], [(1, 4), (15, 6), (12, 9)], [False, False, False, False], 78, False, [False, True, True, True], 2329, 'East', (15, 4))
Element 12: (1, (15, 4), ['', '.', 'G', '%'], [(1, 3), (15, 5), (11, 9)], [False, False, False, True], 76, False, [False, True, False, False], 3348, 'South', (15, 3))
Element 13: (1, (15, 3), ['.', '.', '', '%'], [(1, 2), (14, 5), (11, 8)], [False, False, False, True], 74, False, [True, True, False, False], 4377, 'South', (15, 2))
Element 14: (1, (15, 2), ['%', '%', '', '%'], [(1, 1), (13, 5), (10, 8)], [True, True, False, True], 72, False, [False, False, False, False], 5406, 'North', (15, 3))
Element 15: #1#
