Element 1: (3, (10, 3), ['.', '.', 'F', '.'], [(13, 3), (7, 2), (8, 1)], [False, False, False, False], 98, False, [True, True, False, True], 29, 'North', (10, 4))
Element 2: (3, (10, 4), ['.', '', '.', 'F'], [(14, 3), (8, 2), (9, 1)], [False, False, False, False], 96, False, [True, False, True, False], 1058, 'East', (11, 4))
Element 3: (3, (11, 4), ['', '.', '.', '.'], [(15, 3), (9, 2), (10, 1)], [False, False, False, False], 94, False, [False, True, True, True], 2087, 'East', (12, 4))
Element 4: (3, (12, 4), ['', '.', '.', '.'], [(15, 4), (10, 2), (11, 1)], [False, False, False, False], 92, False, [False, True, True, True], 2126, 'East', (13, 4))
Element 5: (3, (13, 4), ['', '', '.', '.'], [(15, 5), (10, 3), (12, 1)], [False, False, False, False], 90, False, [False, False, True, True], 2155, 'East', (14, 4))
Element 6: (3, (14, 4), ['', '', '.', ''], [(15, 6), (11, 3), (13, 1)], [False, False, False, False], 88, False, [False, False, True, False], 2194, 'North', (14, 5))
Element 7: (3, (14, 5), ['.', '', '.', ''], [(15, 7), (12, 3), (14, 1)], [False, False, False, False], 86, False, [True, False, True, False], 2233, 'North', (14, 6))
Element 8: (3, (14, 6), ['.', '', '.', ''], [(15, 8), (13, 3), (13, 1)], [False, False, False, False], 84, False, [True, False, True, False], 2252, 'North', (14, 7))
Element 9: (3, (14, 7), ['.', '', '.', ''], [(15, 9), (14, 3), (13, 2)], [False, False, False, False], 82, False, [True, False, True, False], 2271, 'North', (14, 8))
Element 10: (3, (14, 8), ['.', '', 'G', ''], [(14, 9), (15, 3), (13, 3)], [False, False, False, False], 80, False, [True, False, False, False], 2290, 'West', (13, 8))
Element 11: (3, (13, 8), ['.', '.', 'G', ''], [(13, 9), (15, 2), (14, 3)], [False, False, False, False], 78, False, [True, True, False, False], 2319, 'South', (13, 7))
Element 12: (3, (13, 7), ['.', '.', '', ''], [(12, 9), (15, 3), (14, 4)], [False, False, False, False], 76, False, [True, True, False, False], 2338, 'South', (13, 6))
Element 13: (3, (13, 6), ['.', '.', '', ''], [(11, 9), (15, 4), (14, 5)], [False, False, False, False], 74, False, [True, True, False, False], 3347, 'South', (13, 5))
Element 14: (3, (13, 5), ['.', '', '', ''], [(11, 8), (15, 5), (14, 6)], [False, False, False, False], 72, False, [True, False, False, False], 4356, 'West', (12, 5))
Element 15: (3, (12, 5), ['.', '', '.', ''], [(10, 8), (15, 6), (14, 7)], [False, False, False, False], 70, False, [True, False, True, False], 5365, 'North', (12, 6))
Element 16: #1#
