Element 1: (0, (11, 7), ['.', '.', 'F', '.'], [(6, 1), (9, 7), (14, 5)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'North', (11, 8))
Element 2: (0, (11, 8), ['F', '', 'F', '.'], [(7, 1), (10, 7), (15, 5)], [False, False, False, False], 96, False, [False, False, False, True], 1029, 'North', (11, 9))
Element 3: (0, (11, 9), ['F', '', '%', '.'], [(8, 1), (10, 8), (15, 6)], [False, False, True, False], 94, False, [False, False, False, True], 3048, 'West', (10, 9))
Element 4: (0, (10, 9), ['.', '', '%', ''], [(9, 1), (9, 8), (15, 7)], [False, False, True, False], 92, False, [True, False, False, False], 4077, 'West', (9, 9))
Element 5: (0, (9, 9), ['.', '', '%', ''], [(10, 1), (8, 8), (15, 8)], [False, False, True, False], 90, False, [True, False, False, False], 4116, 'West', (8, 9))
Element 6: (0, (8, 9), ['.', '', '%', ''], [(11, 1), (8, 7), (15, 9)], [False, False, True, False], 88, False, [True, False, False, False], 4155, 'West', (7, 9))
Element 7: (0, (7, 9), ['.', '.', '%', ''], [(12, 1), (8, 6), (14, 9)], [False, False, True, False], 86, False, [True, True, False, False], 4194, 'South', (7, 8))
Element 8: (0, (7, 8), ['.', '.', '', ''], [(13, 1), (9, 6), (14, 8)], [False, False, False, False], 84, False, [True, True, False, False], 4233, 'South', (7, 7))
Element 9: (0, (7, 7), ['.', '.', '', ''], [(14, 1), (10, 6), (14, 7)], [False, False, False, False], 82, False, [True, True, False, False], 4272, 'South', (7, 6))
Element 10: (0, (7, 6), ['.', '.', '', ''], [(13, 1), (11, 6), (14, 6)], [False, False, False, False], 80, False, [True, True, False, False], 4301, 'South', (7, 5))
Element 11: (0, (7, 5), ['.', '.', '', '.'], [(13, 2), (12, 6), (13, 6)], [False, False, False, False], 78, False, [True, True, False, True], 4340, 'East', (8, 5))
Element 12: (0, (8, 5), ['', '.', '', '.'], [(13, 3), (12, 7), (13, 7)], [False, False, False, False], 76, False, [False, True, False, True], 4379, 'East', (9, 5))
Element 13: (0, (9, 5), ['', '.', '', '.'], [(14, 3), (12, 8), (13, 8)], [False, False, False, False], 74, False, [False, True, False, True], 4418, 'East', (10, 5))
Element 14: (0, (10, 5), ['', 'F', '', '.'], [(15, 3), (12, 9), (13, 9)], [False, False, False, False], 72, False, [False, False, False, True], 4457, 'South', (10, 4))
Element 15: (0, (10, 4), ['.', '.', '', 'F'], [(15, 4), (11, 9), (12, 9)], [False, False, False, False], 70, False, [True, True, False, False], 5466, 'East', (11, 4))
Element 16: #1#
