Element 1: (3, (15, 9), ['.', '.', '%', '%'], [(8, 6), (4, 8), (8, 1)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (15, 8))
Element 2: (3, (15, 8), ['.', '.', '', '%'], [(9, 6), (5, 8), (9, 1)], [False, False, False, True], 96, False, [True, True, False, False], 68, 'South', (15, 7))
Element 3: (3, (15, 7), ['.', '.', '', '%'], [(10, 6), (6, 8), (10, 1)], [False, False, False, True], 94, False, [True, True, False, False], 107, 'South', (15, 6))
Element 4: (3, (15, 6), ['.', '.', '', '%'], [(11, 6), (7, 8), (11, 1)], [False, False, False, True], 92, False, [True, True, False, False], 146, 'South', (15, 5))
Element 5: (3, (15, 5), ['.', '.', '', '%'], [(12, 6), (8, 8), (12, 1)], [False, False, False, True], 90, False, [True, True, False, False], 185, 'South', (15, 4))
Element 6: (3, (15, 4), ['.', '.', '', '%'], [(13, 6), (9, 8), (13, 1)], [False, False, False, True], 88, False, [True, True, False, False], 224, 'South', (15, 3))
Element 7: (3, (15, 3), ['.', '.', '', '%'], [(14, 6), (10, 8), (14, 1)], [False, False, False, True], 86, False, [True, True, False, False], 1253, 'South', (15, 2))
Element 8: (3, (15, 2), ['%', '%', '', '%'], [(14, 7), (11, 8), (13, 1)], [True, True, False, True], 84, False, [False, False, False, False], 2272, 'North', (15, 3))
Element 9: (3, (15, 3), ['.', '', '', '%'], [(14, 8), (11, 9), (13, 2)], [False, False, False, True], 82, False, [True, False, False, False], 3291, 'West', (14, 3))
Element 10: (3, (14, 3), ['G', '%', '.', ''], [(14, 9), (10, 9), (13, 3)], [False, True, False, False], 80, False, [False, False, True, False], 4320, 'North', (14, 4))
Element 11: (3, (14, 4), ['G', '', '.', ''], [(13, 9), (9, 9), (13, 4)], [False, False, False, False], 78, False, [False, False, True, False], 4359, 'North', (14, 5))
Element 12: (3, (14, 5), ['G', '', '', ''], [(13, 8), (8, 9), (13, 5)], [False, False, False, False], 76, False, [False, False, False, False], 4398, 'North', (14, 6))
Element 13: (3, (14, 6), ['', '', '', ''], [(13, 7), (7, 9), (12, 5)], [False, False, False, False], 74, False, [False, False, False, False], 4427, 'North', (14, 7))
Element 14: (3, (14, 7), ['', '', '', ''], [(12, 7), (6, 9), (12, 4)], [False, False, False, False], 72, False, [False, False, False, False], 4456, 'North', (14, 8))
Element 15: (3, (14, 8), ['', '', '', ''], [(12, 8), (5, 9), (11, 4)], [False, False, False, False], 70, False, [False, False, False, False], 5475, 'North', (14, 9))
Element 16: #1#
