Element 1: (2, (3, 9), ['%', '.', '%', '.'], [(15, 8), (1, 5), (7, 6)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (4, 9))
Element 2: (2, (4, 9), ['', '.', '%', '.'], [(15, 9), (1, 6), (8, 6)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (5, 9))
Element 3: (2, (5, 9), ['', '.', '%', '.'], [(14, 9), (1, 7), (9, 6)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (6, 9))
Element 4: (2, (6, 9), ['', '.', '%', '.'], [(13, 9), (1, 8), (10, 6)], [False, False, True, False], 92, False, [False, True, False, True], 136, 'East', (7, 9))
Element 5: (2, (7, 9), ['', '.', '%', '.'], [(13, 8), (1, 9), (11, 6)], [False, False, True, False], 90, False, [False, True, False, True], 175, 'East', (8, 9))
Element 6: (2, (8, 9), ['', '.', '%', '.'], [(13, 7), (1, 8), (12, 6)], [False, False, True, False], 88, False, [False, True, False, True], 204, 'East', (9, 9))
Element 7: (2, (9, 9), ['', '.', '%', 'F'], [(14, 7), (1, 7), (13, 6)], [False, False, True, False], 86, False, [False, True, False, False], 233, 'East', (10, 9))
Element 8: (2, (10, 9), ['', 'F', '%', 'F'], [(15, 7), (1, 6), (14, 6)], [False, False, True, False], 84, False, [False, False, False, False], 1252, 'East', (11, 9))
Element 9: (2, (11, 9), ['', 'F', '%', '.'], [(14, 7), (1, 5), (15, 6)], [False, False, True, False], 82, False, [False, False, False, True], 2261, 'South', (11, 8))
Element 10: (2, (11, 8), ['F', '.', '', '.'], [(13, 7), (1, 4), (15, 5)], [False, False, False, False], 80, False, [False, True, False, True], 3270, 'West', (10, 8))
Element 11: (2, (10, 8), ['.', '.', '', ''], [(12, 7), (1, 3), (15, 4)], [False, False, False, False], 78, False, [True, True, False, False], 4299, 'South', (10, 7))
Element 12: (2, (10, 7), ['.', '', '', '.'], [(12, 8), (1, 2), (15, 3)], [False, False, False, False], 76, False, [True, False, False, True], 4338, 'East', (11, 7))
Element 13: (2, (11, 7), ['', '', '', ''], [(12, 9), (1, 1), (15, 2)], [False, False, False, False], 74, False, [False, False, False, False], 4377, 'East', (12, 7))
Element 14: (2, (12, 7), ['', '', '', ''], [(11, 9), (2, 1), (15, 3)], [False, False, False, False], 72, False, [False, False, False, False], 4386, 'East', (13, 7))
Element 15: (2, (13, 7), ['', '', '', ''], [(11, 8), (3, 1), (14, 3)], [False, False, False, False], 70, False, [False, False, False, False], 4405, 'East', (14, 7))
Element 16: (2, (14, 7), ['', '', '', ''], [(11, 7), (4, 1), (14, 4)], [False, False, False, False], 68, False, [False, False, False, False], 4424, 'East', (15, 7))
Element 17: (2, (15, 7), ['', '', '', '%'], [(11, 6), (4, 2), (14, 5)], [False, False, False, True], 66, False, [False, False, False, False], 4443, 'North', (15, 8))
Element 18: (2, (15, 8), ['', '', '', '%'], [(11, 5), (4, 3), (13, 5)], [False, False, False, True], 64, False, [False, False, False, False], 4472, 'North', (15, 9))
Element 19: (2, (15, 9), ['', '', '%', '%'], [(11, 4), (5, 3), (13, 4)], [False, False, True, True], 62, False, [False, False, False, False], 5491, 'West', (14, 9))
Element 20: #1#
