Element 1: (2, (10, 1), ['.', '%', '.', '.'], [(8, 1), (1, 4), (13, 9)], [False, True, False, False], 98, False, [True, False, True, True], 19, 'East', (11, 1))
Element 2: (2, (11, 1), ['', '%', '%', '.'], [(9, 1), (1, 5), (14, 9)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (12, 1))
Element 3: (2, (12, 1), ['', '%', '%', '.'], [(9, 2), (1, 6), (15, 9)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (13, 1))
Element 4: (2, (13, 1), ['', '%', '.', '.'], [(10, 2), (1, 7), (15, 8)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (14, 1))
Element 5: (2, (14, 1), ['', '%', '%', '%'], [(10, 3), (1, 8), (15, 7)], [False, True, True, True], 90, False, [False, False, False, False], 175, 'West', (13, 1))
Element 6: (2, (13, 1), ['', '%', '.', ''], [(10, 4), (1, 9), (15, 6)], [False, True, False, False], 88, False, [False, False, True, False], 1194, 'North', (13, 2))
Element 7: (2, (13, 2), ['%', '', '.', '%'], [(11, 4), (1, 8), (15, 5)], [True, False, False, True], 86, False, [False, False, True, False], 2213, 'North', (13, 3))
Element 8: (2, (13, 3), ['.', '', '.', '.'], [(12, 4), (1, 7), (15, 4)], [False, False, False, False], 84, False, [True, False, True, True], 2242, 'East', (14, 3))
Element 9: (2, (14, 3), ['', '%', '.', 'G'], [(13, 4), (1, 6), (15, 3)], [False, True, False, False], 82, False, [False, False, True, False], 2271, 'North', (14, 4))
Element 10: (2, (14, 4), ['', '', '.', ''], [(13, 5), (1, 5), (15, 2)], [False, False, False, False], 80, False, [False, False, True, False], 2300, 'North', (14, 5))
Element 11: (2, (14, 5), ['', '', '.', ''], [(13, 6), (1, 4), (15, 3)], [False, False, False, False], 78, False, [False, False, True, False], 2319, 'North', (14, 6))
Element 12: (2, (14, 6), ['', '', '.', ''], [(13, 7), (1, 3), (14, 3)], [False, False, False, False], 76, False, [False, False, True, False], 2338, 'North', (14, 7))
Element 13: (2, (14, 7), ['', '', '.', ''], [(13, 8), (1, 2), (14, 4)], [False, False, False, False], 74, False, [False, False, True, False], 2367, 'North', (14, 8))
Element 14: (2, (14, 8), ['', '', '', ''], [(12, 8), (1, 1), (14, 5)], [False, False, False, False], 72, False, [False, False, False, False], 2396, 'East', (15, 8))
Element 15: (2, (15, 8), ['', '', '', '%'], [(11, 8), (2, 1), (14, 6)], [False, False, False, True], 70, False, [False, False, False, False], 3405, 'North', (15, 9))
Element 16: (2, (15, 9), ['', '', '%', '%'], [(11, 9), (3, 1), (14, 7)], [False, False, True, True], 68, False, [False, False, False, False], 4414, 'West', (14, 9))
Element 17: (2, (14, 9), ['', 'G', '%', ''], [(10, 9), (4, 1), (14, 8)], [False, False, True, False], 66, False, [False, False, False, False], 5423, 'West', (13, 9))
Element 18: #1#
