Element 1: (0, (11, 7), ['.', '.', 'F', '.'], [(9, 8), (12, 3), (13, 7)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'North', (11, 8))
Element 2: (0, (11, 8), ['G', '', 'F', '.'], [(10, 8), (13, 3), (14, 7)], [False, False, False, False], 96, False, [False, False, False, True], 2019, 'North', (11, 9))
Element 3: (0, (11, 9), ['G', '', '%', '.'], [(10, 9), (14, 3), (15, 7)], [False, False, True, False], 94, False, [False, False, False, True], 4038, 'East', (12, 9))
Element 4: (0, (12, 9), ['', '.', '%', '.'], [(9, 9), (15, 3), (15, 8)], [False, False, True, False], 92, False, [False, True, False, True], 4077, 'East', (13, 9))
Element 5: (0, (13, 9), ['', '.', '%', '.'], [(8, 9), (15, 4), (15, 9)], [False, False, True, False], 90, False, [False, True, False, True], 4116, 'East', (14, 9))
Element 6: (0, (14, 9), ['', '.', '%', ''], [(8, 8), (15, 5), (15, 8)], [False, False, True, False], 88, False, [False, True, False, False], 4145, 'South', (14, 8))
Element 7: (0, (14, 8), ['.', '', '', ''], [(8, 7), (15, 6), (15, 7)], [False, False, False, False], 86, False, [True, False, False, False], 4174, 'West', (13, 8))
Element 8: (0, (13, 8), ['.', '', '', ''], [(9, 7), (14, 6), (15, 8)], [False, False, False, False], 84, False, [True, False, False, False], 4203, 'West', (12, 8))
Element 9: (0, (12, 8), ['', '.', '', ''], [(10, 7), (14, 5), (15, 7)], [False, False, False, False], 82, False, [False, True, False, False], 4232, 'South', (12, 7))
Element 10: (0, (12, 7), ['', '.', '', ''], [(10, 6), (14, 4), (15, 6)], [False, False, False, False], 80, False, [False, True, False, False], 4261, 'South', (12, 6))
Element 11: (0, (12, 6), ['G', '.', '', '.'], [(11, 6), (13, 4), (15, 5)], [False, False, False, False], 78, False, [False, True, False, True], 4290, 'East', (13, 6))
Element 12: (0, (13, 6), ['', 'G', '', ''], [(11, 5), (13, 5), (15, 4)], [False, False, False, False], 76, False, [False, False, False, False], 4319, 'East', (14, 6))
Element 13: (0, (14, 6), ['', '', '', ''], [(11, 4), (12, 5), (15, 3)], [False, False, False, False], 74, False, [False, False, False, False], 5328, 'East', (15, 6))
Element 14: #1#
