Element 1: (3, (8, 5), ['.', '.', 'G', '.'], [(13, 5), (5, 3), (8, 6)], [False, False, False, False], 98, False, [True, True, False, True], 29, 'East', (9, 5))
Element 2: (3, (9, 5), ['', '.', 'G', '.'], [(14, 5), (6, 3), (9, 6)], [False, False, False, False], 96, False, [False, True, False, True], 68, 'East', (10, 5))
Element 3: (3, (10, 5), ['', 'F', 'G', '.'], [(15, 5), (7, 3), (10, 6)], [False, False, False, False], 94, False, [False, False, False, True], 107, 'South', (10, 4))
Element 4: (3, (10, 4), ['.', '.', '', 'F'], [(15, 6), (8, 3), (11, 6)], [False, False, False, False], 92, False, [True, True, False, False], 1136, 'East', (11, 4))
Element 5: (3, (11, 4), ['', '.', '.', '.'], [(15, 7), (9, 3), (12, 6)], [False, False, False, False], 90, False, [False, True, True, True], 2165, 'East', (12, 4))
Element 6: (3, (12, 4), ['', '.', '', '.'], [(15, 8), (10, 3), (13, 6)], [False, False, False, False], 88, False, [False, True, False, True], 2204, 'East', (13, 4))
Element 7: (3, (13, 4), ['', '.', '', '.'], [(15, 9), (11, 3), (14, 6)], [False, False, False, False], 86, False, [False, True, False, True], 2243, 'East', (14, 4))
Element 8: (3, (14, 4), ['', '.', '', '.'], [(14, 9), (12, 3), (14, 7)], [False, False, False, False], 84, False, [False, True, False, True], 2282, 'East', (15, 4))
Element 9: (3, (15, 4), ['', '.', '', '%'], [(14, 8), (13, 3), (13, 7)], [False, False, False, True], 82, False, [False, True, False, False], 2321, 'South', (15, 3))
Element 10: (3, (15, 3), ['G', '.', '', '%'], [(13, 8), (14, 3), (12, 7)], [False, False, False, True], 80, False, [False, True, False, False], 2360, 'South', (15, 2))
Element 11: (3, (15, 2), ['%', '%', 'G', '%'], [(13, 9), (15, 3), (12, 8)], [True, True, False, True], 78, False, [False, False, False, False], 2389, 'Stop', (15, 2))
Element 12: (3, (15, 2), ['%', '%', '', '%'], [(12, 9), (15, 4), (11, 8)], [True, True, False, True], 76, False, [False, False, False, False], 3398, 'North', (15, 3))
Element 13: (3, (15, 3), ['', '', '', '%'], [(11, 9), (15, 5), (10, 8)], [False, False, False, True], 74, False, [False, False, False, False], 5397, 'West', (14, 3))
Element 14: #1#
