Element 1: (0, (8, 3), ['.', '.', '.', 'G'], [(3, 5), (7, 2), (9, 3)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (8, 4))
Element 2: (0, (8, 4), ['.', '', '.', '.'], [(4, 5), (8, 2), (10, 3)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (9, 4))
Element 3: (0, (9, 4), ['', '', '.', 'G'], [(5, 5), (9, 2), (10, 4)], [False, False, False, False], 94, False, [False, False, True, False], 1068, 'North', (9, 5))
Element 4: (0, (9, 5), ['.', '', '.', '.'], [(6, 5), (10, 2), (11, 4)], [False, False, False, False], 92, False, [True, False, True, True], 2097, 'East', (10, 5))
Element 5: (0, (10, 5), ['', '', '.', '.'], [(7, 5), (10, 1), (12, 4)], [False, False, False, False], 90, False, [False, False, True, True], 2136, 'East', (11, 5))
Element 6: (0, (11, 5), ['', '', '.', '.'], [(8, 5), (11, 1), (13, 4)], [False, False, False, False], 88, False, [False, False, True, True], 2175, 'East', (12, 5))
Element 7: (0, (12, 5), ['', '', '.', '.'], [(8, 6), (12, 1), (14, 4)], [False, False, False, False], 86, False, [False, False, True, True], 2214, 'East', (13, 5))
Element 8: (0, (13, 5), ['', '', '.', '.'], [(9, 6), (13, 1), (15, 4)], [False, False, False, False], 84, False, [False, False, True, True], 2253, 'East', (14, 5))
Element 9: (0, (14, 5), ['', '', '.', 'G'], [(10, 6), (14, 1), (15, 5)], [False, False, False, False], 82, False, [False, False, True, False], 2292, 'North', (14, 6))
Element 10: (0, (14, 6), ['.', '', '.', 'G'], [(11, 6), (13, 1), (15, 6)], [False, False, False, False], 80, False, [True, False, True, False], 2321, 'North', (14, 7))
Element 11: (0, (14, 7), ['.', '', '.', 'G'], [(12, 6), (13, 2), (15, 7)], [False, False, False, False], 78, False, [True, False, True, False], 2360, 'North', (14, 8))
Element 12: (0, (14, 8), ['.', '', '.', 'G'], [(13, 6), (13, 3), (15, 8)], [False, False, False, False], 76, False, [True, False, True, False], 2399, 'North', (14, 9))
Element 13: (0, (14, 9), ['.', '', '%', 'G'], [(13, 7), (14, 3), (15, 9)], [False, False, True, False], 74, False, [True, False, False, False], 2438, 'West', (13, 9))
Element 14: (0, (13, 9), ['.', 'G', '%', 'G'], [(13, 8), (15, 3), (14, 9)], [False, False, True, False], 72, False, [True, False, False, False], 2467, 'West', (12, 9))
Element 15: (0, (12, 9), ['F', 'G', '%', ''], [(12, 8), (15, 2), (14, 8)], [False, False, True, False], 70, False, [False, False, False, False], 2496, 'West', (11, 9))
Element 16: (0, (11, 9), ['F', 'G', '%', ''], [(11, 8), (15, 3), (14, 7)], [False, False, True, False], 68, False, [False, False, False, False], 4495, 'West', (10, 9))
Element 17: #1#
