Element 1: (3, (6, 12), ['', '.', '.', '.'], [(16, 12), (2, 4), (5, 13)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (7, 12))
Element 2: (3, (7, 12), ['', '.', '.', '.'], [(17, 12), (3, 4), (6, 13)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (8, 12))
Element 3: (3, (8, 12), ['', '.', '.', '.'], [(17, 13), (4, 4), (7, 13)], [False, False, False, False], 94, False, [False, True, True, True], 107, 'East', (9, 12))
Element 4: (3, (9, 12), ['', '.', '.', '.'], [(18, 13), (5, 4), (8, 13)], [False, False, False, False], 92, False, [False, True, True, True], 146, 'East', (10, 12))
Element 5: (3, (10, 12), ['', '.', '.', '%'], [(17, 13), (6, 4), (9, 13)], [False, False, False, True], 90, False, [False, True, True, False], 175, 'North', (10, 13))
Element 6: (3, (10, 13), ['', '', '%', '.'], [(16, 13), (7, 4), (9, 12)], [False, False, True, False], 88, False, [False, False, False, True], 204, 'East', (11, 13))
Element 7: (3, (11, 13), ['', '%', '%', '.'], [(15, 13), (8, 4), (9, 11)], [False, True, True, False], 86, False, [False, False, False, True], 243, 'East', (12, 13))
Element 8: (3, (12, 13), ['', '%', '%', '.'], [(14, 13), (9, 4), (10, 11)], [False, True, True, False], 84, False, [False, False, False, True], 282, 'East', (13, 13))
Element 9: (3, (13, 13), ['', '.', '%', ''], [(14, 12), (9, 5), (11, 11)], [False, False, True, False], 82, False, [False, True, False, False], 321, 'South', (13, 12))
Element 10: (3, (13, 12), ['%', '.', '', ''], [(14, 11), (10, 5), (12, 11)], [True, False, False, False], 80, False, [False, True, False, False], 360, 'South', (13, 11))
Element 11: (3, (13, 11), ['', '.', '', ''], [(15, 11), (11, 5), (12, 10)], [False, False, False, False], 78, False, [False, True, False, False], 1389, 'South', (13, 10))
Element 12: (3, (13, 10), ['', '.', '', '.'], [(16, 11), (12, 5), (12, 9)], [False, False, False, False], 76, False, [False, True, False, True], 1428, 'East', (14, 10))
Element 13: (3, (14, 10), ['', '.', '', '.'], [(16, 10), (13, 5), (13, 9)], [False, False, False, False], 74, False, [False, True, False, True], 1467, 'East', (15, 10))
Element 14: (3, (15, 10), ['', '.', '', ''], [(16, 9), (14, 5), (14, 9)], [False, False, False, False], 72, False, [False, True, False, False], 2496, 'South', (15, 9))
