Element 1: (2, (8, 8), ['.', '%', 'F', '%'], [(18, 13), (4, 5), (8, 12)], [False, True, False, True], 98, False, [True, False, False, False], 19, 'North', (8, 9))
Element 2: (2, (8, 9), ['.', '', '.', '.'], [(17, 13), (5, 5), (9, 12)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (9, 9))
Element 3: (2, (9, 9), ['', '%', '.', '.'], [(17, 12), (6, 5), (10, 12)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (10, 9))
Element 4: (2, (10, 9), ['', '%', '.', '.'], [(16, 12), (7, 5), (10, 13)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (11, 9))
Element 5: (2, (11, 9), ['', '%', '.', '.'], [(16, 13), (8, 5), (11, 13)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (12, 9))
Element 6: (2, (12, 9), ['', '.', '.', '.'], [(15, 13), (9, 5), (12, 13)], [False, False, False, False], 88, False, [False, True, True, True], 1194, 'East', (13, 9))
Element 7: (2, (13, 9), ['', '.', '.', '.'], [(15, 12), (10, 5), (13, 13)], [False, False, False, False], 86, False, [False, True, True, True], 1233, 'East', (14, 9))
Element 8: (2, (14, 9), ['', '.', '.', '.'], [(15, 11), (11, 5), (14, 13)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (15, 9))
Element 9: (2, (15, 9), ['', '.', '.', 'F'], [(16, 11), (12, 5), (14, 12)], [False, False, False, False], 82, False, [False, True, True, False], 2301, 'East', (16, 9))
Element 10: (2, (16, 9), ['', '.', 'G', '%'], [(16, 10), (13, 5), (14, 11)], [False, False, False, True], 80, False, [False, True, False, False], 3330, 'South', (16, 8))
Element 11: (2, (16, 8), ['.', '.', '', '.'], [(15, 10), (14, 5), (14, 10)], [False, False, False, False], 78, False, [True, True, False, True], 3369, 'East', (17, 8))
Element 12: (2, (17, 8), ['', '.', '%', '.'], [(15, 9), (15, 5), (13, 10)], [False, False, True, False], 76, False, [False, True, False, True], 3398, 'East', (18, 8))
Element 13: (2, (18, 8), ['', '.', '%', '%'], [(15, 8), (15, 6), (13, 11)], [False, False, True, True], 74, False, [False, True, False, False], 3437, 'South', (18, 7))
