Element 1: (0, (8, 8), ['.', '%', 'F', '%'], [(4, 9), (11, 10), (14, 7)], [False, True, False, True], 98, False, [True, False, False, False], 0, 'North', (8, 9))
Element 2: (0, (8, 9), ['.', '', '.', '.'], [(5, 9), (12, 10), (14, 8)], [False, False, False, False], 96, False, [True, False, True, True], 1029, 'East', (9, 9))
Element 3: (0, (9, 9), ['', '%', '.', '.'], [(6, 9), (13, 10), (15, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (10, 9))
Element 4: (0, (10, 9), ['', '%', '.', '.'], [(7, 9), (14, 10), (16, 8)], [False, True, False, False], 92, False, [False, False, True, True], 1107, 'East', (11, 9))
Element 5: (0, (11, 9), ['', '%', '', '.'], [(7, 10), (15, 10), (16, 9)], [False, True, False, False], 90, False, [False, False, False, True], 2136, 'East', (12, 9))
Element 6: (0, (12, 9), ['', '.', '', '.'], [(8, 10), (16, 10), (15, 9)], [False, False, False, False], 88, False, [False, True, False, True], 2175, 'East', (13, 9))
Element 7: (0, (13, 9), ['', '.', '', 'G'], [(9, 10), (16, 11), (14, 9)], [False, False, False, False], 86, False, [False, True, False, False], 2214, 'South', (13, 8))
Element 8: (0, (13, 8), ['.', '.', '', ''], [(10, 10), (16, 12), (14, 10)], [False, False, False, False], 84, False, [True, True, False, False], 2243, 'South', (13, 7))
Element 9: (0, (13, 7), ['.', '%', '', ''], [(10, 11), (17, 12), (14, 11)], [False, True, False, False], 82, False, [True, False, False, False], 2282, 'West', (12, 7))
Element 10: (0, (12, 7), ['.', '.', '.', ''], [(11, 11), (17, 13), (15, 11)], [False, False, False, False], 80, False, [True, True, True, False], 2321, 'North', (12, 8))
Element 11: (0, (12, 8), ['%', '', '', ''], [(12, 11), (18, 13), (15, 12)], [True, False, False, False], 78, False, [False, False, False, False], 2360, 'South', (12, 7))
Element 12: (0, (12, 7), ['.', '.', '', ''], [(13, 11), (17, 13), (15, 13)], [False, False, False, False], 76, False, [True, True, False, False], 2379, 'South', (12, 6))
Element 13: (0, (12, 6), ['.', '.', '', '%'], [(13, 12), (16, 13), (14, 13)], [False, False, False, True], 74, False, [True, True, False, False], 2418, 'South', (12, 5))
Element 14: (0, (12, 5), ['F', '.', '', '.'], [(14, 12), (15, 13), (13, 13)], [False, False, False, False], 72, False, [False, True, False, True], 2447, 'West', (11, 5))
Element 15: (0, (11, 5), ['.', '.', '.', ''], [(15, 12), (14, 13), (12, 13)], [False, False, False, False], 70, False, [True, True, True, False], 3456, 'North', (11, 6))
Element 16: (0, (11, 6), ['.', '', '.', ''], [(16, 12), (14, 12), (11, 13)], [False, False, False, False], 68, False, [True, False, True, False], 3475, 'North', (11, 7))
Element 17: (0, (11, 7), ['%', '', '%', ''], [(17, 12), (15, 12), (10, 13)], [True, False, True, False], 66, False, [False, False, False, False], 3494, 'South', (11, 6))
Element 18: (0, (11, 6), ['.', '', '', ''], [(17, 13), (15, 11), (10, 12)], [False, False, False, False], 64, False, [True, False, False, False], 3503, 'West', (10, 6))
Element 19: (0, (10, 6), ['.', '.', '%', ''], [(18, 13), (14, 11), (9, 12)], [False, False, True, False], 62, False, [True, True, False, False], 3522, 'South', (10, 5))
Element 20: (0, (10, 5), ['.', '%', '', ''], [(17, 13), (13, 11), (9, 13)], [False, True, False, False], 60, False, [True, False, False, False], 3541, 'West', (9, 5))
Element 21: (0, (9, 5), ['.', '.', '.', ''], [(16, 13), (13, 12), (8, 13)], [False, False, False, False], 58, False, [True, True, True, False], 3560, 'North', (9, 6))
Element 22: (0, (9, 6), ['.', '', '%', ''], [(15, 13), (13, 13), (8, 12)], [False, False, True, False], 56, False, [True, False, False, False], 3579, 'West', (8, 6))
Element 23: (0, (8, 6), ['.', '.', '%', ''], [(14, 13), (12, 13), (8, 11)], [False, False, True, False], 54, False, [True, True, False, False], 3598, 'South', (8, 5))
Element 24: (0, (8, 5), ['.', '.', '', ''], [(13, 13), (11, 13), (9, 11)], [False, False, False, False], 52, False, [True, True, False, False], 3617, 'South', (8, 4))
Element 25: (0, (8, 4), ['.', '.', '', '.'], [(12, 13), (10, 13), (10, 11)], [False, False, False, False], 50, False, [True, True, False, True], 3626, 'East', (9, 4))
Element 26: (0, (9, 4), ['', '.', '', '%'], [(11, 13), (10, 12), (11, 11)], [False, False, False, True], 48, False, [False, True, False, False], 3635, 'South', (9, 3))
Element 27: (0, (9, 3), ['.', '%', '', '.'], [(10, 13), (10, 11), (12, 11)], [False, True, False, False], 46, False, [True, False, False, True], 3644, 'East', (10, 3))
Element 28: (0, (10, 3), ['', '%', '%', '.'], [(10, 12), (11, 11), (13, 11)], [False, True, True, False], 44, False, [False, False, False, True], 3653, 'East', (11, 3))
Element 29: (0, (11, 3), ['', '%', '.', '.'], [(9, 12), (12, 11), (13, 12)], [False, True, False, False], 42, False, [False, False, True, True], 3662, 'East', (12, 3))
Element 30: (0, (12, 3), ['', '%', '.', '.'], [(9, 13), (11, 11), (14, 12)], [False, True, False, False], 40, False, [False, False, True, True], 3671, 'East', (13, 3))
Element 31: (0, (13, 3), ['', '%', '.', '%'], [(8, 13), (10, 11), (13, 12)], [False, True, False, True], 38, False, [False, False, True, False], 3680, 'North', (13, 4))
Element 32: (0, (13, 4), ['.', '', '.', '.'], [(7, 13), (10, 10), (13, 11)], [False, False, False, False], 36, False, [True, False, True, True], 3699, 'East', (14, 4))
Element 33: (0, (14, 4), ['', '%', '.', '.'], [(7, 12), (10, 9), (13, 10)], [False, True, False, False], 34, False, [False, False, True, True], 3718, 'East', (15, 4))
Element 34: (0, (15, 4), ['', '.', '.', '%'], [(7, 11), (11, 9), (13, 9)], [False, False, False, True], 32, False, [False, True, True, False], 3737, 'North', (15, 5))
Element 35: (0, (15, 5), ['.', '', '.', '%'], [(6, 11), (12, 9), (13, 8)], [False, False, False, True], 30, False, [True, False, True, False], 3756, 'North', (15, 6))
Element 36: (0, (15, 6), ['.', '', '%', '.'], [(6, 12), (13, 9), (13, 7)], [False, False, True, False], 28, False, [True, False, False, True], 3775, 'East', (16, 6))
Element 37: (0, (16, 6), ['', '%', '.', '.'], [(6, 13), (14, 9), (12, 7)], [False, True, False, False], 26, False, [False, False, True, True], 3794, 'East', (17, 6))
Element 38: (0, (17, 6), ['', '%', '.', '.'], [(5, 13), (15, 9), (12, 8)], [False, True, False, False], 24, False, [False, False, True, True], 3813, 'East', (18, 6))
Element 39: (0, (18, 6), ['', '%', '.', '%'], [(5, 12), (16, 9), (12, 9)], [False, True, False, True], 22, False, [False, False, True, False], 3832, 'North', (18, 7))
Element 40: (0, (18, 7), ['.', '', '.', '%'], [(5, 11), (16, 8), (12, 10)], [False, False, False, True], 20, False, [True, False, True, False], 3851, 'North', (18, 8))
Element 41: (0, (18, 8), ['G', '', '%', '%'], [(5, 10), (17, 8), (11, 10)], [False, False, True, True], 18, False, [False, False, False, False], 3880, 'South', (18, 7))
