Element 1: (1, (8, 10), ['.', 'F', '.', '.'], [(9, 4), (13, 12), (18, 7)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (8, 9))
Element 2: (1, (8, 9), ['.', '.', '', '.'], [(9, 5), (14, 12), (18, 8)], [False, False, False, False], 96, False, [True, True, False, True], 1038, 'East', (9, 9))
Element 3: (1, (9, 9), ['', '%', '.', '.'], [(10, 5), (15, 12), (17, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (10, 9))
Element 4: (1, (10, 9), ['', '%', '.', '.'], [(11, 5), (16, 12), (17, 7)], [False, True, False, False], 92, False, [False, False, True, True], 2106, 'East', (11, 9))
Element 5: (1, (11, 9), ['', '%', '.', '.'], [(12, 5), (17, 12), (17, 6)], [False, True, False, False], 90, False, [False, False, True, True], 2145, 'East', (12, 9))
Element 6: (1, (12, 9), ['', '.', '.', '.'], [(13, 5), (17, 13), (18, 6)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (13, 9))
Element 7: (1, (13, 9), ['', '.', '.', '.'], [(14, 5), (18, 13), (17, 6)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (14, 9))
Element 8: (1, (14, 9), ['', '.', '.', '.'], [(15, 5), (17, 13), (16, 6)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (15, 9))
Element 9: (1, (15, 9), ['', '.', '.', 'F'], [(15, 6), (16, 13), (16, 7)], [False, False, False, False], 82, False, [False, True, True, False], 2281, 'East', (16, 9))
Element 10: (1, (16, 9), ['', 'G', '.', '%'], [(14, 6), (15, 13), (16, 8)], [False, False, False, True], 80, False, [False, False, True, False], 3310, 'North', (16, 10))
Element 11: (1, (16, 10), ['.', '', '.', '%'], [(14, 7), (14, 13), (15, 8)], [False, False, False, True], 78, False, [True, False, True, False], 3349, 'North', (16, 11))
Element 12: (1, (16, 11), ['.', '', '', '%'], [(13, 7), (13, 13), (14, 8)], [False, False, False, True], 76, False, [True, False, False, False], 3388, 'West', (15, 11))
Element 13: (1, (15, 11), ['.', '.', '', ''], [(12, 7), (12, 13), (13, 8)], [False, False, False, False], 74, False, [True, True, False, False], 3427, 'South', (15, 10))
Element 14: (1, (15, 10), ['.', '', '', ''], [(12, 6), (11, 13), (12, 8)], [False, False, False, False], 72, False, [True, False, False, False], 3466, 'West', (14, 10))
Element 15: (1, (14, 10), ['.', '', '.', ''], [(11, 6), (10, 13), (12, 9)], [False, False, False, False], 70, False, [True, False, True, False], 3495, 'North', (14, 11))
Element 16: (1, (14, 11), ['.', '', '', ''], [(11, 7), (10, 12), (12, 10)], [False, False, False, False], 68, False, [True, False, False, False], 3534, 'West', (13, 11))
Element 17: (1, (13, 11), ['.', 'G', '', ''], [(11, 6), (10, 11), (13, 10)], [False, False, False, False], 66, False, [True, False, False, False], 3563, 'West', (12, 11))
