Element 1: (1, (4, 9), ['.', '.', '.', '.'], [(17, 7), (6, 9), (12, 1)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'East', (5, 9))
Element 2: (1, (5, 9), ['', '.', '.', ''], [(18, 7), (7, 9), (13, 1)], [False, False, False, False], 96, False, [False, True, True, False], 48, 'North', (5, 10))
Element 3: (1, (5, 10), ['.', '', '.', '.'], [(18, 8), (8, 9), (14, 1)], [False, False, False, False], 94, False, [True, False, True, True], 1077, 'East', (6, 10))
Element 4: (1, (6, 10), ['', '', '.', '.'], [(17, 8), (9, 9), (15, 1)], [False, False, False, False], 92, False, [False, False, True, True], 1116, 'East', (7, 10))
Element 5: (1, (7, 10), ['', '', '.', '.'], [(16, 8), (10, 9), (16, 1)], [False, False, False, False], 90, False, [False, False, True, True], 1155, 'East', (8, 10))
Element 6: (1, (8, 10), ['', '', '.', '.'], [(16, 9), (11, 9), (16, 2)], [False, False, False, False], 88, False, [False, False, True, True], 3174, 'East', (9, 10))
Element 7: (1, (9, 10), ['', '', '.', '.'], [(16, 10), (12, 9), (16, 3)], [False, False, False, False], 86, False, [False, False, True, True], 3213, 'East', (10, 10))
Element 8: (1, (10, 10), ['', '', '.', '.'], [(16, 11), (13, 9), (17, 3)], [False, False, False, False], 84, False, [False, False, True, True], 3252, 'East', (11, 10))
Element 9: (1, (11, 10), ['', '', '.', '.'], [(16, 12), (14, 9), (18, 3)], [False, False, False, False], 82, False, [False, False, True, True], 3291, 'East', (12, 10))
Element 10: (1, (12, 10), ['', '', '.', '.'], [(17, 12), (15, 9), (17, 3)], [False, False, False, False], 80, False, [False, False, True, True], 3320, 'East', (13, 10))
Element 11: (1, (13, 10), ['', '', '.', '.'], [(17, 13), (15, 10), (16, 3)], [False, False, False, False], 78, False, [False, False, True, True], 3349, 'East', (14, 10))
Element 12: (1, (14, 10), ['', '', '.', ''], [(18, 13), (15, 11), (15, 3)], [False, False, False, False], 76, False, [False, False, True, False], 3388, 'North', (14, 11))
Element 13: (1, (14, 11), ['.', '', '.', ''], [(17, 13), (15, 12), (15, 4)], [False, False, False, False], 74, False, [True, False, True, False], 3417, 'North', (14, 12))
