Element 38: (3, (11, 4), ['%', '', '', ''], [(1, 12), (7, 9), (15, 10)], [True, False, False, False], 24, False, [False, False, False, False], 5052, 'North', (11, 5))
Element 39: (3, (11, 5), ['.', '', '', ''], [(2, 12), (7, 8), (15, 11)], [False, False, False, False], 22, False, [True, False, False, False], 5061, 'West', (10, 5))
Element 40: (3, (10, 5), ['.', '%', '.', ''], [(2, 13), (6, 8), (15, 12)], [False, True, False, False], 20, False, [True, False, True, False], 5080, 'North', (10, 6))
Element 41: (3, (10, 6), ['.', '', '%', ''], [(1, 13), (6, 9), (14, 12)], [False, False, True, False], 18, False, [True, False, False, False], 5099, 'West', (9, 6))
Element 42: (3, (9, 6), ['.', '.', '%', ''], [(2, 13), (6, 10), (14, 11)], [False, False, True, False], 16, False, [True, True, False, False], 5118, 'South', (9, 5))
Element 43: (3, (9, 5), ['.', '.', '', ''], [(3, 13), (5, 10), (14, 10)], [False, False, False, False], 14, False, [True, True, False, False], 5137, 'South', (9, 4))
Element 44: (3, (9, 4), ['.', '', '', '%'], [(3, 12), (5, 9), (13, 10)], [False, False, False, True], 12, False, [True, False, False, False], 5156, 'West', (8, 4))
Element 45: (3, (8, 4), ['.', '', '.', ''], [(3, 11), (5, 8), (13, 11)], [False, False, False, False], 10, False, [True, False, True, False], 5185, 'North', (8, 5))
Element 46: (3, (8, 5), ['.', '', '.', ''], [(3, 10), (4, 8), (13, 12)], [False, False, False, False], 8, False, [True, False, True, False], 5214, 'North', (8, 6))
Element 47: (3, (8, 6), ['.', '', '%', ''], [(4, 10), (4, 9), (13, 11)], [False, False, True, False], 6, False, [True, False, False, False], 5243, 'West', (7, 6))
Element 48: (3, (7, 6), ['.', '.', '%', ''], [(5, 10), (3, 9), (12, 11)], [False, False, True, False], 4, False, [True, True, False, False], 5262, 'South', (7, 5))
Element 49: (3, (7, 5), ['.', '.', '', ''], [(6, 10), (3, 10), (12, 10)], [False, False, False, False], 2, False, [True, True, False, False], 5271, 'South', (7, 4))
Element 50: (3, (7, 4), ['.', '.', '', ''], [(6, 10), (3, 10), (12, 10)], [False, False, False, False], 0, False, [True, True, False, False], 5280, 'Stop', (7, 4))
Element 51: #0#
