Element 1: (1, (4, 8), ['%', '%', '.', '.'], [(3, 4), (12, 3), (17, 1)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (5, 8))
Element 2: (1, (5, 8), ['', '%', '.', '.'], [(4, 4), (13, 3), (16, 1)], [False, True, False, False], 96, False, [False, False, True, True], 48, 'East', (6, 8))
Element 3: (1, (6, 8), ['', '%', '.', '.'], [(5, 4), (13, 4), (16, 2)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (7, 8))
Element 4: (1, (7, 8), ['', '%', '.', '.'], [(6, 4), (14, 4), (16, 3)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (8, 8))
Element 5: (1, (8, 8), ['', '%', 'F', '%'], [(7, 4), (15, 4), (17, 3)], [False, True, False, True], 90, False, [False, False, False, False], 1155, 'North', (8, 9))
Element 6: (1, (8, 9), ['.', '', '.', '.'], [(8, 4), (15, 5), (18, 3)], [False, False, False, False], 88, False, [True, False, True, True], 2184, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '%', '.', '.'], [(9, 4), (15, 6), (17, 3)], [False, True, False, False], 86, False, [False, False, True, True], 2213, 'East', (10, 9))
Element 8: (1, (10, 9), ['', '%', '.', '.'], [(9, 5), (16, 6), (16, 3)], [False, True, False, False], 84, False, [False, False, True, True], 2242, 'East', (11, 9))
Element 9: (1, (11, 9), ['', '%', '.', '.'], [(10, 5), (17, 6), (15, 3)], [False, True, False, False], 82, False, [False, False, True, True], 2281, 'East', (12, 9))
Element 10: (1, (12, 9), ['', '.', '.', '.'], [(11, 5), (18, 6), (15, 4)], [False, False, False, False], 80, False, [False, True, True, True], 3300, 'East', (13, 9))
Element 11: (1, (13, 9), ['', '.', '.', '.'], [(12, 5), (18, 7), (15, 5)], [False, False, False, False], 78, False, [False, True, True, True], 3329, 'East', (14, 9))
Element 12: (1, (14, 9), ['', '.', '.', '.'], [(13, 5), (18, 8), (14, 5)], [False, False, False, False], 76, False, [False, True, True, True], 3368, 'East', (15, 9))
Element 13: (1, (15, 9), ['', '.', '.', 'F'], [(14, 5), (17, 8), (14, 6)], [False, False, False, False], 74, False, [False, True, True, False], 3397, 'East', (16, 9))
Element 14: (1, (16, 9), ['', '.', '.', '%'], [(15, 5), (17, 7), (14, 7)], [False, False, False, True], 72, False, [False, True, True, False], 4416, 'North', (16, 10))
Element 15: (1, (16, 10), ['.', '', '.', '%'], [(15, 6), (16, 7), (14, 8)], [False, False, False, True], 70, False, [True, False, True, False], 4445, 'North', (16, 11))
Element 16: (1, (16, 11), ['.', '', '.', '%'], [(16, 6), (16, 8), (15, 8)], [False, False, False, True], 68, False, [True, False, True, False], 4474, 'North', (16, 12))
Element 17: (1, (16, 12), ['.', '', '.', '.'], [(17, 6), (16, 9), (16, 8)], [False, False, False, False], 66, False, [True, False, True, True], 4483, 'East', (17, 12))
Element 18: (1, (17, 12), ['', '%', '.', '%'], [(18, 6), (16, 10), (17, 8)], [False, True, False, True], 64, False, [False, False, True, False], 4492, 'North', (17, 13))
Element 19: (1, (17, 13), ['.', '', '%', '.'], [(18, 7), (15, 10), (18, 8)], [False, False, True, False], 62, False, [True, False, False, True], 4511, 'East', (18, 13))
Element 20: (1, (18, 13), ['', '%', '%', '%'], [(18, 8), (15, 11), (17, 8)], [False, True, True, True], 60, False, [False, False, False, False], 4530, 'West', (17, 13))
Element 21: (1, (17, 13), ['.', '', '%', ''], [(17, 8), (15, 12), (17, 7)], [False, False, True, False], 58, False, [True, False, False, False], 4539, 'West', (16, 13))
