Element 1: (1, (10, 5), ['.', '%', '.', 'F'], [(11, 3), (11, 10), (12, 9)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (11, 5))
Element 2: (1, (11, 5), ['', '.', '.', '.'], [(12, 3), (12, 10), (13, 9)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (12, 5))
Element 3: (1, (12, 5), ['', '.', '.', '.'], [(13, 3), (13, 10), (14, 9)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (13, 5))
Element 4: (1, (13, 5), ['', 'G', '%', '.'], [(13, 4), (14, 10), (15, 9)], [False, False, True, False], 92, False, [False, False, False, True], 1116, 'East', (14, 5))
Element 5: (1, (14, 5), ['', 'G', '.', '.'], [(14, 4), (15, 10), (16, 9)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (15, 5))
Element 6: (1, (15, 5), ['', 'G', '.', '%'], [(15, 4), (16, 10), (16, 8)], [False, False, False, True], 88, False, [False, False, True, False], 2184, 'North', (15, 6))
Element 7: (1, (15, 6), ['.', '', '%', '.'], [(15, 3), (16, 11), (17, 8)], [False, False, True, False], 86, False, [True, False, False, True], 2223, 'East', (16, 6))
Element 8: (1, (16, 6), ['', '%', '.', '.'], [(16, 3), (16, 12), (18, 8)], [False, True, False, False], 84, False, [False, False, True, True], 2262, 'East', (17, 6))
Element 9: (1, (17, 6), ['', '%', '.', '.'], [(16, 2), (17, 12), (18, 7)], [False, True, False, False], 82, False, [False, False, True, True], 3291, 'East', (18, 6))
Element 10: (1, (18, 6), ['', '%', '', '%'], [(16, 1), (17, 13), (17, 7)], [False, True, False, True], 80, False, [False, False, False, False], 3330, 'North', (18, 7))
Element 11: (1, (18, 7), ['', '', '', '%'], [(17, 1), (18, 13), (16, 7)], [False, False, False, True], 78, False, [False, False, False, False], 3359, 'North', (18, 8))
Element 12: (1, (18, 8), ['', '', '%', '%'], [(16, 1), (17, 13), (16, 6)], [False, False, True, True], 76, False, [False, False, False, False], 3358, 'West', (17, 8))
Element 13: (1, (17, 8), ['', '', '%', ''], [(15, 1), (16, 13), (17, 6)], [False, False, True, False], 74, False, [False, False, False, False], 3377, 'South', (17, 7))
Element 14: (1, (17, 7), ['', '', '', ''], [(14, 1), (15, 13), (18, 6)], [False, False, False, False], 72, False, [False, False, False, False], 3396, 'West', (16, 7))
Element 15: (1, (16, 7), ['%', '', '', ''], [(13, 1), (15, 12), (17, 6)], [True, False, False, False], 70, False, [False, False, False, False], 3415, 'North', (16, 8))
