Element 1: (1, (2, 6), ['.', '.', '.', '%'], [(16, 8), (6, 12), (12, 10)], [False, False, False, True], 98, False, [True, True, True, False], 9, 'North', (2, 7))
Element 2: (1, (2, 7), ['.', '', '%', '%'], [(16, 9), (7, 12), (13, 10)], [False, False, True, True], 96, False, [True, False, False, False], 1038, 'West', (1, 7))
Element 3: (1, (1, 7), ['%', '.', '%', ''], [(16, 10), (8, 12), (14, 10)], [True, False, True, False], 94, False, [False, True, False, False], 1077, 'South', (1, 6))
Element 4: (1, (1, 6), ['%', '.', '', ''], [(16, 11), (9, 12), (15, 10)], [True, False, False, False], 92, False, [False, True, False, False], 1116, 'South', (1, 5))
Element 5: (1, (1, 5), ['%', '.', '', '.'], [(16, 12), (10, 12), (15, 11)], [True, False, False, False], 90, False, [False, True, False, True], 1155, 'East', (2, 5))
Element 6: (1, (2, 5), ['', '.', '', '.'], [(17, 12), (10, 13), (15, 12)], [False, False, False, False], 88, False, [False, True, False, True], 1194, 'East', (3, 5))
Element 7: (1, (3, 5), ['', '.', '%', '.'], [(17, 13), (11, 13), (15, 13)], [False, False, True, False], 86, False, [False, True, False, True], 1233, 'East', (4, 5))
Element 8: (1, (4, 5), ['', '.', '%', '.'], [(18, 13), (12, 13), (16, 13)], [False, False, True, False], 84, False, [False, True, False, True], 1272, 'East', (5, 5))
Element 9: (1, (5, 5), ['', '.', '%', '.'], [(18, 13), (13, 13), (17, 13)], [False, False, True, False], 82, False, [False, True, False, True], 1291, 'East', (6, 5))
Element 10: (1, (6, 5), ['', '.', '.', '.'], [(17, 13), (14, 13), (17, 12)], [False, False, False, False], 80, False, [False, True, True, True], 1310, 'East', (7, 5))
Element 11: (1, (7, 5), ['', '.', '.', '.'], [(16, 13), (14, 12), (16, 12)], [False, False, False, False], 78, False, [False, True, True, True], 1329, 'East', (8, 5))
Element 12: (1, (8, 5), ['', '.', '.', '.'], [(15, 13), (14, 11), (16, 11)], [False, False, False, False], 76, False, [False, True, True, True], 1348, 'East', (9, 5))
Element 13: (1, (9, 5), ['', '.', '.', '.'], [(15, 12), (13, 11), (16, 10)], [False, False, False, False], 74, False, [False, True, True, True], 1367, 'East', (10, 5))
Element 14: (1, (10, 5), ['', '%', '.', 'F'], [(15, 11), (13, 12), (16, 9)], [False, True, False, False], 72, False, [False, False, True, False], 1386, 'East', (11, 5))
Element 15: (1, (11, 5), ['', '.', '.', '.'], [(15, 10), (13, 11), (15, 9)], [False, False, False, False], 70, False, [False, True, True, True], 2395, 'East', (12, 5))
Element 16: (1, (12, 5), ['', '.', '.', '.'], [(15, 9), (12, 11), (14, 9)], [False, False, False, False], 68, False, [False, True, True, True], 2424, 'East', (13, 5))
Element 17: (1, (13, 5), ['', '.', '%', '.'], [(14, 9), (11, 11), (14, 8)], [False, False, True, False], 66, False, [False, True, False, True], 2453, 'East', (14, 5))
Element 18: (1, (14, 5), ['', '.', '.', '.'], [(13, 9), (11, 10), (14, 7)], [False, False, False, False], 64, False, [False, True, True, True], 2492, 'East', (15, 5))
Element 19: (1, (15, 5), ['', '.', '.', '%'], [(13, 8), (11, 9), (14, 6)], [False, False, False, True], 62, False, [False, True, True, False], 2531, 'North', (15, 6))
Element 20: (1, (15, 6), ['', '', '%', '.'], [(13, 7), (12, 9), (14, 5)], [False, False, True, False], 60, False, [False, False, False, True], 2560, 'East', (16, 6))
Element 21: (1, (16, 6), ['', '%', '.', '.'], [(12, 7), (12, 8), (14, 4)], [False, True, False, False], 58, False, [False, False, True, True], 2599, 'East', (17, 6))
Element 22: (1, (17, 6), ['', '%', '.', '.'], [(12, 6), (13, 8), (15, 4)], [False, True, False, False], 56, False, [False, False, True, True], 2628, 'East', (18, 6))
Element 23: (1, (18, 6), ['', '%', '.', '%'], [(11, 6), (14, 8), (15, 3)], [False, True, False, True], 54, False, [False, False, True, False], 2657, 'North', (18, 7))
Element 24: (1, (18, 7), ['.', '', '.', '%'], [(11, 7), (15, 8), (16, 3)], [False, False, False, True], 52, False, [True, False, True, False], 2686, 'North', (18, 8))
Element 25: (1, (18, 8), ['.', '', '%', '%'], [(11, 6), (16, 8), (16, 2)], [False, False, True, True], 50, False, [True, False, False, False], 3695, 'West', (17, 8))
Element 26: (1, (17, 8), ['', '.', '%', ''], [(10, 6), (16, 7), (16, 1)], [False, False, True, False], 48, False, [False, True, False, False], 3734, 'South', (17, 7))
Element 27: (1, (17, 7), ['', '', '', ''], [(9, 6), (16, 6), (17, 1)], [False, False, False, False], 46, False, [False, False, False, False], 3763, 'West', (16, 7))
Element 28: (1, (16, 7), ['%', '', '', ''], [(8, 6), (17, 6), (16, 1)], [True, False, False, False], 44, False, [False, False, False, False], 3772, 'North', (16, 8))
Element 29: (1, (16, 8), ['', '', '', ''], [(7, 6), (18, 6), (15, 1)], [False, False, False, False], 42, False, [False, False, False, False], 3791, 'North', (16, 9))
Element 30: (1, (16, 9), ['', '', '', '%'], [(6, 6), (18, 7), (14, 1)], [False, False, False, True], 40, False, [False, False, False, False], 3810, 'North', (16, 10))
Element 31: (1, (16, 10), ['', '', '', '%'], [(6, 5), (18, 8), (13, 1)], [False, False, False, True], 38, False, [False, False, False, False], 3819, 'North', (16, 11))
Element 32: (1, (16, 11), ['', '', '', '%'], [(6, 4), (17, 8), (12, 1)], [False, False, False, True], 36, False, [False, False, False, False], 3838, 'North', (16, 12))
