Element 1: (2, (8, 8), ['.', '%', 'F', '%'], [(5, 4), (3, 13), (13, 7)], [False, True, False, True], 98, False, [True, False, False, False], 19, 'North', (8, 9))
Element 2: (2, (8, 9), ['.', '', '.', '.'], [(6, 4), (4, 13), (14, 7)], [False, False, False, False], 96, False, [True, False, True, True], 1048, 'East', (9, 9))
Element 3: (2, (9, 9), ['', '%', '.', '.'], [(7, 4), (5, 13), (14, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (10, 9))
Element 4: (2, (10, 9), ['', '%', '.', '.'], [(8, 4), (6, 13), (15, 8)], [False, True, False, False], 92, False, [False, False, True, True], 1126, 'East', (11, 9))
Element 5: (2, (11, 9), ['', '%', '.', '.'], [(9, 4), (7, 13), (16, 8)], [False, True, False, False], 90, False, [False, False, True, True], 1165, 'East', (12, 9))
Element 6: (2, (12, 9), ['', '.', '.', '.'], [(9, 5), (8, 13), (16, 9)], [False, False, False, False], 88, False, [False, True, True, True], 2194, 'East', (13, 9))
Element 7: (2, (13, 9), ['', '.', '.', '.'], [(10, 5), (9, 13), (16, 10)], [False, False, False, False], 86, False, [False, True, True, True], 2233, 'East', (14, 9))
Element 8: (2, (14, 9), ['', '', '.', '.'], [(11, 5), (10, 13), (16, 11)], [False, False, False, False], 84, False, [False, False, True, True], 3262, 'East', (15, 9))
Element 9: (2, (15, 9), ['', '', '.', ''], [(12, 5), (11, 13), (16, 12)], [False, False, False, False], 82, False, [False, False, True, False], 3301, 'North', (15, 10))
Element 10: (2, (15, 10), ['.', '', '.', ''], [(13, 5), (12, 13), (17, 12)], [False, False, False, False], 80, False, [True, False, True, False], 3340, 'North', (15, 11))
Element 11: (2, (15, 11), ['.', '', '.', ''], [(14, 5), (13, 13), (17, 13)], [False, False, False, False], 78, False, [True, False, True, False], 3379, 'North', (15, 12))
Element 12: (2, (15, 12), ['.', '', '.', ''], [(15, 5), (14, 13), (18, 13)], [False, False, False, False], 76, False, [True, False, True, False], 3418, 'North', (15, 13))
Element 13: (2, (15, 13), ['', '', '%', '.'], [(15, 6), (14, 12), (17, 13)], [False, False, True, False], 74, False, [False, False, False, True], 3447, 'East', (16, 13))
Element 14: (2, (16, 13), ['', '', '%', ''], [(16, 6), (14, 11), (17, 12)], [False, False, True, False], 72, False, [False, False, False, False], 3476, 'East', (17, 13))
Element 15: (2, (17, 13), ['', '', '%', ''], [(17, 6), (14, 10), (16, 12)], [False, False, True, False], 70, False, [False, False, False, False], 3495, 'East', (18, 13))
Element 16: (2, (18, 13), ['', '%', '%', '%'], [(18, 6), (13, 10), (17, 12)], [False, True, True, True], 68, False, [False, False, False, False], 3514, 'West', (17, 13))
