Element 1: (3, (16, 8), ['.', '.', 'F', '.'], [(10, 11), (6, 10), (13, 10)], [False, False, False, False], 98, False, [True, True, False, True], 29, 'North', (16, 9))
Element 2: (3, (16, 9), ['.', '', '.', '%'], [(11, 11), (7, 10), (14, 10)], [False, False, False, True], 96, False, [True, False, True, False], 1058, 'North', (16, 10))
Element 3: (3, (16, 10), ['G', '', '.', '%'], [(12, 11), (8, 10), (15, 10)], [False, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (16, 11))
Element 4: (3, (16, 11), ['G', '', '.', '%'], [(13, 11), (8, 9), (15, 11)], [False, False, False, True], 92, False, [False, False, True, False], 2126, 'North', (16, 12))
Element 5: (3, (16, 12), ['G', '', '.', '.'], [(14, 11), (9, 9), (15, 12)], [False, False, False, False], 90, False, [False, False, True, True], 2165, 'East', (17, 12))
Element 6: (3, (17, 12), ['', '%', '.', '%'], [(14, 12), (10, 9), (15, 13)], [False, True, False, True], 88, False, [False, False, True, False], 2204, 'North', (17, 13))
Element 7: (3, (17, 13), ['G', '', '%', '.'], [(14, 13), (11, 9), (16, 13)], [False, False, True, False], 86, False, [False, False, False, True], 2243, 'East', (18, 13))
Element 8: (3, (18, 13), ['G', '%', '%', '%'], [(13, 13), (12, 9), (17, 13)], [False, True, True, True], 84, False, [False, False, False, False], 2272, 'Stop', (18, 13))
Element 9: (3, (18, 13), ['', '%', '%', '%'], [(13, 12), (13, 9), (17, 12)], [False, True, True, True], 82, False, [False, False, False, False], 2291, 'West', (17, 13))
Element 10: (3, (17, 13), ['', '', '%', ''], [(13, 13), (14, 9), (16, 12)], [False, False, True, False], 80, False, [False, False, False, False], 2300, 'West', (16, 13))
Element 11: (3, (16, 13), ['', '', '%', ''], [(12, 13), (15, 9), (16, 11)], [False, False, True, False], 78, False, [False, False, False, False], 2319, 'West', (15, 13))
Element 12: (3, (15, 13), ['', '', '%', ''], [(11, 13), (15, 8), (16, 10)], [False, False, True, False], 76, False, [False, False, False, False], 2338, 'South', (15, 12))
Element 13: (3, (15, 12), ['', '', '', ''], [(10, 13), (14, 8), (16, 9)], [False, False, False, False], 74, False, [False, False, False, False], 2357, 'South', (15, 11))
Element 14: (3, (15, 11), ['', '', '', ''], [(10, 12), (14, 7), (16, 8)], [False, False, False, False], 72, False, [False, False, False, False], 2376, 'South', (15, 10))
Element 15: (3, (15, 10), ['', '', '', ''], [(9, 12), (14, 6), (17, 8)], [False, False, False, False], 70, False, [False, False, False, False], 2405, 'South', (15, 9))
Element 16: (3, (15, 9), ['', '', '', ''], [(9, 13), (15, 6), (18, 8)], [False, False, False, False], 68, False, [False, False, False, False], 2434, 'South', (15, 8))
