Element 1: (0, (10, 12), ['.', '.', '.', '%'], [(2, 13), (4, 9), (13, 9)], [False, False, False, True], 98, False, [True, True, True, False], 0, 'North', (10, 13))
Element 2: (0, (10, 13), ['.', '', '%', '.'], [(3, 13), (5, 9), (14, 9)], [False, False, True, False], 96, False, [True, False, False, True], 39, 'East', (11, 13))
Element 3: (0, (11, 13), ['', '%', '%', '.'], [(4, 13), (6, 9), (15, 9)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (12, 13))
Element 4: (0, (12, 13), ['', '%', '%', '.'], [(5, 13), (7, 9), (16, 9)], [False, True, True, False], 92, False, [False, False, False, True], 1107, 'East', (13, 13))
Element 5: (0, (13, 13), ['', '.', '%', '.'], [(6, 13), (8, 9), (16, 10)], [False, False, True, False], 90, False, [False, True, False, True], 2136, 'East', (14, 13))
Element 6: (0, (14, 13), ['', '.', '%', '.'], [(7, 13), (9, 9), (16, 11)], [False, False, True, False], 88, False, [False, True, False, True], 2175, 'East', (15, 13))
Element 7: (0, (15, 13), ['', '.', '%', '.'], [(8, 13), (10, 9), (16, 12)], [False, False, True, False], 86, False, [False, True, False, True], 2214, 'East', (16, 13))
Element 8: (0, (16, 13), ['', '', '%', '.'], [(9, 13), (11, 9), (17, 12)], [False, False, True, False], 84, False, [False, False, False, True], 2253, 'East', (17, 13))
Element 9: (0, (17, 13), ['', '', '%', '.'], [(9, 12), (12, 9), (16, 12)], [False, False, True, False], 82, False, [False, False, False, True], 2282, 'East', (18, 13))
Element 10: (0, (18, 13), ['', '%', '%', '%'], [(9, 11), (12, 10), (15, 12)], [False, True, True, True], 80, False, [False, False, False, False], 2321, 'West', (17, 13))
Element 11: (0, (17, 13), ['', '', '%', ''], [(10, 11), (13, 10), (15, 11)], [False, False, True, False], 78, False, [False, False, False, False], 2350, 'South', (17, 12))
Element 12: (0, (17, 12), ['', '%', '', '%'], [(11, 11), (14, 10), (15, 10)], [False, True, False, True], 76, False, [False, False, False, False], 2379, 'West', (16, 12))
Element 13: (0, (16, 12), ['', '', '', ''], [(12, 11), (14, 11), (14, 10)], [False, False, False, False], 74, False, [False, False, False, False], 2398, 'South', (16, 11))
Element 14: (0, (16, 11), ['', '', '', '%'], [(13, 11), (14, 12), (14, 11)], [False, False, False, True], 72, False, [False, False, False, False], 2417, 'South', (16, 10))
Element 15: (0, (16, 10), ['', '', '', '%'], [(13, 12), (15, 12), (14, 12)], [False, False, False, True], 70, False, [False, False, False, False], 2426, 'South', (16, 9))
