Element 1: (0, (5, 8), ['G', '%', '.', '.'], [(4, 8), (8, 8), (9, 12)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (6, 8))
Element 2: (0, (6, 8), ['', '%', '.', '.'], [(4, 9), (8, 9), (10, 12)], [False, True, False, False], 96, False, [False, False, True, True], 1029, 'East', (7, 8))
Element 3: (0, (7, 8), ['', '%', '.', ''], [(5, 9), (9, 9), (10, 13)], [False, True, False, False], 94, False, [False, False, True, False], 1068, 'North', (7, 9))
Element 4: (0, (7, 9), ['G', '', '.', ''], [(6, 9), (10, 9), (11, 13)], [False, False, False, False], 92, False, [False, False, True, False], 1107, 'North', (7, 10))
Element 5: (0, (7, 10), ['G', '', '.', '.'], [(6, 10), (11, 9), (12, 13)], [False, False, False, False], 90, False, [False, False, True, True], 1146, 'East', (8, 10))
Element 6: (0, (8, 10), ['', '', '.', '.'], [(6, 11), (12, 9), (13, 13)], [False, False, False, False], 88, False, [False, False, True, True], 1185, 'East', (9, 10))
Element 7: (0, (9, 10), ['', '', '.', '.'], [(7, 11), (13, 9), (14, 13)], [False, False, False, False], 86, False, [False, False, True, True], 1224, 'East', (10, 10))
Element 8: (0, (10, 10), ['', '', '.', '.'], [(8, 11), (14, 9), (15, 13)], [False, False, False, False], 84, False, [False, False, True, True], 1263, 'East', (11, 10))
Element 9: (0, (11, 10), ['', '', '.', '.'], [(9, 11), (15, 9), (16, 13)], [False, False, False, False], 82, False, [False, False, True, True], 1302, 'East', (12, 10))
Element 10: (0, (12, 10), ['', '', '.', '.'], [(10, 11), (16, 9), (17, 13)], [False, False, False, False], 80, False, [False, False, True, True], 2331, 'East', (13, 10))
Element 11: (0, (13, 10), ['', '', '.', '.'], [(11, 11), (16, 10), (18, 13)], [False, False, False, False], 78, False, [False, False, True, True], 2370, 'East', (14, 10))
Element 12: (0, (14, 10), ['', '', '.', '.'], [(12, 11), (16, 11), (17, 13)], [False, False, False, False], 76, False, [False, False, True, True], 2399, 'East', (15, 10))
Element 13: (0, (15, 10), ['', '', '.', ''], [(13, 11), (16, 12), (17, 12)], [False, False, False, False], 74, False, [False, False, True, False], 2438, 'North', (15, 11))
Element 14: (0, (15, 11), ['G', '', 'G', ''], [(14, 11), (15, 12), (16, 12)], [False, False, False, False], 72, False, [False, False, False, False], 2467, 'East', (16, 11))
Element 15: (0, (16, 11), ['', '', '', '%'], [(14, 12), (15, 13), (15, 12)], [False, False, False, True], 70, False, [False, False, False, False], 2476, 'North', (16, 12))
Element 16: (0, (16, 12), ['', '', 'G', ''], [(13, 12), (16, 13), (15, 11)], [False, False, False, False], 68, False, [False, False, False, False], 2485, 'East', (17, 12))
Element 17: (0, (17, 12), ['', '%', 'G', '%'], [(13, 13), (17, 13), (16, 11)], [False, True, False, True], 66, False, [False, False, False, False], 2484, 'West', (16, 12))
Element 18: (0, (16, 12), ['', '', '', ''], [(14, 13), (18, 13), (16, 10)], [False, False, False, False], 64, False, [False, False, False, False], 2483, 'West', (15, 12))
Element 19: (0, (15, 12), ['', '', 'G', ''], [(15, 13), (17, 13), (16, 9)], [False, False, False, False], 62, False, [False, False, False, False], 2482, 'West', (14, 12))
Element 20: (0, (14, 12), ['', '', '', ''], [(16, 13), (17, 12), (16, 8)], [False, False, False, False], 60, False, [False, False, False, False], 2491, 'North', (14, 13))
Element 21: (0, (14, 13), ['', '', '%', ''], [(17, 13), (16, 12), (17, 8)], [False, False, True, False], 58, False, [False, False, False, False], 2500, 'East', (15, 13))
Element 22: (0, (15, 13), ['', '', '%', 'G'], [(18, 13), (16, 13), (18, 8)], [False, False, True, False], 56, False, [False, False, False, False], 2509, 'West', (14, 13))
Element 23: (0, (14, 13), ['', '', '%', 'G'], [(17, 13), (15, 13), (18, 7)], [False, False, True, False], 54, False, [False, False, False, False], 2518, 'West', (13, 13))
Element 24: (0, (13, 13), ['', '', '%', 'G'], [(17, 12), (14, 13), (18, 6)], [False, False, True, False], 52, False, [False, False, False, False], 2527, 'South', (13, 12))
Element 25: (0, (13, 12), ['%', '', '', 'G'], [(16, 12), (14, 12), (17, 6)], [True, False, False, False], 50, False, [False, False, False, False], 2536, 'South', (13, 11))
Element 26: (0, (13, 11), ['', '', '', 'G'], [(16, 11), (14, 11), (17, 7)], [False, False, False, False], 48, False, [False, False, False, False], 2545, 'West', (12, 11))
Element 27: (0, (12, 11), ['', '', '%', ''], [(16, 10), (15, 11), (16, 7)], [False, False, True, False], 46, False, [False, False, False, False], 2554, 'West', (11, 11))
Element 28: (0, (11, 11), ['', '', '%', ''], [(16, 9), (15, 10), (16, 6)], [False, False, True, False], 44, False, [False, False, False, False], 2563, 'West', (10, 11))
Element 29: (0, (10, 11), ['', '', '', ''], [(16, 8), (14, 10), (15, 6)], [False, False, False, False], 42, False, [False, False, False, False], 2572, 'North', (10, 12))
Element 30: (0, (10, 12), ['', '', '', '%'], [(15, 8), (13, 10), (15, 5)], [False, False, False, True], 40, False, [False, False, False, False], 2591, 'North', (10, 13))
Element 31: (0, (10, 13), ['.', '', '%', ''], [(14, 8), (13, 11), (15, 4)], [False, False, True, False], 38, False, [True, False, False, False], 2610, 'West', (9, 13))
Element 32: (0, (9, 13), ['.', '', '%', ''], [(14, 7), (13, 12), (15, 3)], [False, False, True, False], 36, False, [True, False, False, False], 2639, 'West', (8, 13))
Element 33: (0, (8, 13), ['.', '.', '%', ''], [(14, 6), (13, 13), (16, 3)], [False, False, True, False], 34, False, [True, True, False, False], 2668, 'South', (8, 12))
Element 34: (0, (8, 12), ['.', '', '', ''], [(14, 5), (12, 13), (16, 2)], [False, False, False, False], 32, False, [True, False, False, False], 3687, 'West', (7, 12))
Element 35: (0, (7, 12), ['.', '', '.', ''], [(14, 4), (11, 13), (16, 1)], [False, False, False, False], 30, False, [True, False, True, False], 3716, 'North', (7, 13))
Element 36: (0, (7, 13), ['.', '', '%', ''], [(13, 4), (10, 13), (17, 1)], [False, False, True, False], 28, False, [True, False, False, False], 3745, 'West', (6, 13))
Element 37: (0, (6, 13), ['.', '.', '%', ''], [(13, 5), (10, 12), (16, 1)], [False, False, True, False], 26, False, [True, True, False, False], 3764, 'South', (6, 12))
Element 38: (0, (6, 12), ['.', '', '', ''], [(12, 5), (10, 11), (15, 1)], [False, False, False, False], 24, False, [True, False, False, False], 3793, 'West', (5, 12))
Element 39: (0, (5, 12), ['.', '.', '.', ''], [(11, 5), (11, 11), (14, 1)], [False, False, False, False], 22, False, [True, True, True, False], 4812, 'North', (5, 13))
Element 40: (0, (5, 13), ['.', '', '%', ''], [(11, 6), (12, 11), (13, 1)], [False, False, True, False], 20, False, [True, False, False, False], 4841, 'West', (4, 13))
Element 41: (0, (4, 13), ['.', '.', '%', ''], [(12, 6), (12, 10), (12, 1)], [False, False, True, False], 18, False, [True, True, False, False], 4870, 'South', (4, 12))
Element 42: (0, (4, 12), ['.', '.', '', ''], [(12, 7), (11, 10), (11, 1)], [False, False, False, False], 16, False, [True, True, False, False], 4899, 'South', (4, 11))
Element 43: (0, (4, 11), ['.', '.', '', '.'], [(13, 7), (10, 10), (10, 1)], [False, False, False, False], 14, False, [True, True, False, True], 4928, 'East', (5, 11))
Element 44: (0, (5, 11), ['', '.', '', ''], [(13, 8), (9, 10), (9, 1)], [False, False, False, False], 12, False, [False, True, False, False], 4957, 'South', (5, 10))
Element 45: (0, (5, 10), ['.', '', '', ''], [(12, 8), (9, 11), (8, 1)], [False, False, False, False], 10, False, [True, False, False, False], 4986, 'West', (4, 10))
Element 46: (0, (4, 10), ['.', '', '', ''], [(12, 9), (9, 12), (8, 2)], [False, False, False, False], 8, False, [True, False, False, False], 5005, 'West', (3, 10))
Element 47: (0, (3, 10), ['.', '.', '.', ''], [(13, 9), (9, 13), (8, 3)], [False, False, False, False], 6, False, [True, True, True, False], 5024, 'North', (3, 11))
Element 48: (0, (3, 11), ['%', '', '.', ''], [(14, 9), (8, 13), (9, 3)], [True, False, False, False], 4, False, [False, False, True, False], 5043, 'North', (3, 12))
Element 49: (0, (3, 12), ['.', '', '.', ''], [(15, 9), (8, 12), (10, 3)], [False, False, False, False], 2, False, [True, False, True, False], 5062, 'North', (3, 13))
Element 50: (0, (3, 13), ['.', '', '%', ''], [(15, 10), (8, 11), (11, 3)], [False, False, True, False], 0, False, [True, False, False, False], 5081, 'Stop', (3, 13))
Element 51: #0#
