Element 1: (3, (17, 6), ['.', '%', '.', '.'], [(4, 10), (5, 2), (5, 9)], [False, True, False, False], 98, False, [True, False, True, True], 29, 'East', (18, 6))
Element 2: (3, (18, 6), ['', '%', '.', '%'], [(5, 10), (6, 2), (6, 9)], [False, True, False, True], 96, False, [False, False, True, False], 68, 'North', (18, 7))
Element 3: (3, (18, 7), ['.', '', '.', '%'], [(6, 10), (7, 2), (7, 9)], [False, False, False, True], 94, False, [True, False, True, False], 107, 'North', (18, 8))
Element 4: (3, (18, 8), ['.', '', '%', '%'], [(7, 10), (8, 2), (8, 9)], [False, False, True, True], 92, False, [True, False, False, False], 1136, 'West', (17, 8))
Element 5: (3, (17, 8), ['.', '.', '%', ''], [(8, 10), (8, 3), (9, 9)], [False, False, True, False], 90, False, [True, True, False, False], 1175, 'South', (17, 7))
Element 6: (3, (17, 7), ['.', '', '', ''], [(9, 10), (9, 3), (10, 9)], [False, False, False, False], 88, False, [True, False, False, False], 1214, 'West', (16, 7))
Element 7: (3, (16, 7), ['%', '.', '.', ''], [(10, 10), (10, 3), (11, 9)], [True, False, False, False], 86, False, [False, True, True, False], 1253, 'North', (16, 8))
Element 8: (3, (16, 8), ['.', '', 'F', ''], [(11, 10), (11, 3), (12, 9)], [False, False, False, False], 84, False, [True, False, False, False], 1292, 'North', (16, 9))
Element 9: (3, (16, 9), ['.', '', '.', '%'], [(12, 10), (12, 3), (13, 9)], [False, False, False, True], 82, False, [True, False, True, False], 2321, 'North', (16, 10))
Element 10: (3, (16, 10), ['.', '', '.', '%'], [(13, 10), (13, 3), (14, 9)], [False, False, False, True], 80, False, [True, False, True, False], 2360, 'North', (16, 11))
Element 11: (3, (16, 11), ['.', '', '.', '%'], [(14, 10), (13, 4), (15, 9)], [False, False, False, True], 78, False, [True, False, True, False], 2399, 'North', (16, 12))
Element 12: (3, (16, 12), ['.', '', '.', '.'], [(15, 10), (14, 4), (15, 8)], [False, False, False, False], 76, False, [True, False, True, True], 2438, 'East', (17, 12))
Element 13: (3, (17, 12), ['', '%', '.', '%'], [(15, 11), (15, 4), (14, 8)], [False, True, False, True], 74, False, [False, False, True, False], 2477, 'North', (17, 13))
Element 14: (3, (17, 13), ['.', '', '%', '.'], [(15, 12), (15, 5), (14, 7)], [False, False, True, False], 72, False, [True, False, False, True], 2516, 'East', (18, 13))
Element 15: (3, (18, 13), ['', '%', '%', '%'], [(15, 13), (15, 6), (14, 6)], [False, True, True, True], 70, False, [False, False, False, False], 2555, 'West', (17, 13))
Element 16: (3, (17, 13), ['G', '', '%', ''], [(16, 13), (16, 6), (14, 5)], [False, False, True, False], 68, False, [False, False, False, False], 2584, 'South', (17, 12))
Element 17: (3, (17, 12), ['', '%', 'G', '%'], [(17, 13), (17, 6), (13, 5)], [False, True, False, True], 66, False, [False, False, False, False], 2593, 'West', (16, 12))
Element 18: (3, (16, 12), ['', '', '', ''], [(18, 13), (18, 6), (12, 5)], [False, False, False, False], 64, False, [False, False, False, False], 2602, 'East', (17, 12))
Element 19: (3, (17, 12), ['', '%', 'G', '%'], [(17, 13), (18, 7), (11, 5)], [False, True, False, True], 62, False, [False, False, False, False], 3601, 'West', (16, 12))
Element 20: (3, (16, 12), ['', '', '', 'G'], [(17, 12), (18, 8), (11, 6)], [False, False, False, False], 60, False, [False, False, False, False], 3610, 'North', (16, 13))
Element 21: (3, (16, 13), ['', 'G', '%', ''], [(16, 12), (17, 8), (12, 6)], [False, False, True, False], 58, False, [False, False, False, False], 3619, 'West', (15, 13))
Element 22: (3, (15, 13), ['.', '', '%', ''], [(16, 11), (17, 7), (12, 7)], [False, False, True, False], 56, False, [True, False, False, False], 3628, 'West', (14, 13))
Element 23: (3, (14, 13), ['.', '.', '%', ''], [(16, 10), (16, 7), (13, 7)], [False, False, True, False], 54, False, [True, True, False, False], 3647, 'South', (14, 12))
Element 24: (3, (14, 12), ['.', '.', '', ''], [(16, 9), (16, 8), (13, 8)], [False, False, False, False], 52, False, [True, True, False, False], 3666, 'South', (14, 11))
Element 25: (3, (14, 11), ['.', '', '', ''], [(15, 9), (16, 9), (12, 8)], [False, False, False, False], 50, False, [True, False, False, False], 3685, 'West', (13, 11))
Element 26: (3, (13, 11), ['.', '', '.', ''], [(15, 8), (16, 10), (13, 8)], [False, False, False, False], 48, False, [True, False, True, False], 3694, 'North', (13, 12))
Element 27: (3, (13, 12), ['%', '', '.', ''], [(16, 8), (16, 11), (13, 7)], [True, False, False, False], 46, False, [False, False, True, False], 3703, 'North', (13, 13))
Element 28: (3, (13, 13), ['.', '', '%', ''], [(17, 8), (16, 12), (12, 7)], [False, False, True, False], 44, False, [True, False, False, False], 3712, 'West', (12, 13))
Element 29: (3, (12, 13), ['.', '%', '%', ''], [(18, 8), (17, 12), (12, 8)], [False, True, True, False], 42, False, [True, False, False, False], 3721, 'West', (11, 13))
Element 30: (3, (11, 13), ['.', '%', '%', ''], [(18, 7), (17, 13), (12, 7)], [False, True, True, False], 40, False, [True, False, False, False], 3730, 'West', (10, 13))
Element 31: (3, (10, 13), ['.', '.', '%', ''], [(18, 6), (18, 13), (11, 7)], [False, False, True, False], 38, False, [True, True, False, False], 3749, 'South', (10, 12))
Element 32: (3, (10, 12), ['.', '.', '', '%'], [(17, 6), (17, 13), (12, 7)], [False, False, False, True], 36, False, [True, True, False, False], 3758, 'South', (10, 11))
Element 33: (3, (10, 11), ['.', '', '', '.'], [(17, 7), (16, 13), (12, 6)], [False, False, False, False], 34, False, [True, False, False, True], 3767, 'East', (11, 11))
Element 34: (3, (11, 11), ['', '', '%', '.'], [(16, 7), (15, 13), (11, 6)], [False, False, True, False], 32, False, [False, False, False, True], 3776, 'East', (12, 11))
Element 35: (3, (12, 11), ['', '', '%', ''], [(16, 6), (15, 12), (11, 7)], [False, False, True, False], 30, False, [False, False, False, False], 3785, 'South', (12, 10))
