Element 1: (3, (10, 5), ['.', '%', '.', 'F'], [(18, 6), (7, 11), (7, 13)], [False, True, False, False], 98, False, [True, False, True, False], 29, 'East', (11, 5))
Element 2: (3, (11, 5), ['', '.', '.', '.'], [(18, 7), (8, 11), (8, 13)], [False, False, False, False], 96, False, [False, True, True, True], 1058, 'East', (12, 5))
Element 3: (3, (12, 5), ['', '.', '.', '.'], [(18, 8), (9, 11), (9, 13)], [False, False, False, False], 94, False, [False, True, True, True], 1097, 'East', (13, 5))
Element 4: (3, (13, 5), ['', '.', '%', '.'], [(17, 8), (10, 11), (10, 13)], [False, False, True, False], 92, False, [False, True, False, True], 1136, 'East', (14, 5))
Element 5: (3, (14, 5), ['', '.', '.', '.'], [(17, 7), (11, 11), (11, 13)], [False, False, False, False], 90, False, [False, True, True, True], 1175, 'East', (15, 5))
Element 6: (3, (15, 5), ['', '.', '.', '%'], [(16, 7), (12, 11), (12, 13)], [False, False, False, True], 88, False, [False, True, True, False], 1214, 'North', (15, 6))
Element 7: (3, (15, 6), ['.', '', '%', '.'], [(16, 8), (13, 11), (13, 13)], [False, False, True, False], 86, False, [True, False, False, True], 1253, 'East', (16, 6))
Element 8: (3, (16, 6), ['', '%', '', ''], [(16, 9), (14, 11), (14, 13)], [False, True, False, False], 84, False, [False, False, False, False], 2282, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '%', '', ''], [(16, 10), (15, 11), (15, 13)], [False, True, False, False], 82, False, [False, False, False, False], 2311, 'East', (18, 6))
Element 10: (3, (18, 6), ['', '%', '', '%'], [(16, 11), (15, 12), (16, 13)], [False, True, False, True], 80, False, [False, False, False, False], 2340, 'North', (18, 7))
Element 11: (3, (18, 7), ['', '', '', '%'], [(16, 12), (14, 12), (17, 13)], [False, False, False, True], 78, False, [False, False, False, False], 2369, 'North', (18, 8))
Element 12: (3, (18, 8), ['', '', '%', '%'], [(17, 12), (13, 12), (18, 13)], [False, False, True, True], 76, False, [False, False, False, False], 2398, 'West', (17, 8))
Element 13: (3, (17, 8), ['', '', '%', ''], [(17, 13), (13, 13), (18, 13)], [False, False, True, False], 74, False, [False, False, False, False], 2397, 'South', (17, 7))
Element 14: (3, (17, 7), ['', '', '', ''], [(16, 13), (14, 13), (17, 13)], [False, False, False, False], 72, False, [False, False, False, False], 2396, 'West', (16, 7))
Element 15: (3, (16, 7), ['%', '', '', ''], [(15, 13), (13, 13), (16, 13)], [True, False, False, False], 70, False, [False, False, False, False], 2395, 'North', (16, 8))
Element 16: (3, (16, 8), ['.', '', '', ''], [(15, 12), (12, 13), (15, 13)], [False, False, False, False], 68, False, [True, False, False, False], 2394, 'West', (15, 8))
Element 17: (3, (15, 8), ['.', '%', '.', ''], [(15, 11), (11, 13), (15, 12)], [False, True, False, False], 66, False, [True, False, True, False], 2403, 'North', (15, 9))
Element 18: (3, (15, 9), ['.', '', 'G', ''], [(15, 10), (10, 13), (16, 12)], [False, False, False, False], 64, False, [True, False, False, False], 2422, 'West', (14, 9))
Element 19: (3, (14, 9), ['.', '.', 'G', ''], [(14, 10), (10, 12), (17, 12)], [False, False, False, False], 62, False, [True, True, False, False], 2451, 'South', (14, 8))
