Element 1: (3, (14, 11), ['', '.', '.', '.'], [(11, 6), (9, 5), (13, 12)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (15, 11))
Element 2: (3, (15, 11), ['', '.', '.', '.'], [(11, 5), (10, 5), (14, 12)], [False, False, False, False], 96, False, [False, True, True, True], 1058, 'East', (16, 11))
Element 3: (3, (16, 11), ['', '.', '.', '%'], [(12, 5), (11, 5), (15, 12)], [False, False, False, True], 94, False, [False, True, True, False], 1087, 'North', (16, 12))
Element 4: (3, (16, 12), ['', '', '.', '.'], [(13, 5), (11, 4), (15, 13)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (17, 12))
Element 5: (3, (17, 12), ['', '%', '.', '%'], [(14, 5), (12, 4), (16, 13)], [False, True, False, True], 90, False, [False, False, True, False], 1165, 'North', (17, 13))
Element 6: (3, (17, 13), ['', '', '%', '.'], [(15, 5), (13, 4), (16, 12)], [False, False, True, False], 88, False, [False, False, False, True], 1194, 'East', (18, 13))
Element 7: (3, (18, 13), ['', '%', '%', '%'], [(15, 6), (14, 4), (17, 12)], [False, True, True, True], 86, False, [False, False, False, False], 1223, 'West', (17, 13))
Element 8: (3, (17, 13), ['', '', '%', ''], [(16, 6), (15, 4), (16, 12)], [False, False, True, False], 84, False, [False, False, False, False], 1242, 'West', (16, 13))
Element 9: (3, (16, 13), ['', '', '%', ''], [(17, 6), (15, 3), (16, 11)], [False, False, True, False], 82, False, [False, False, False, False], 1261, 'West', (15, 13))
Element 10: (3, (15, 13), ['.', '', '%', ''], [(18, 6), (16, 3), (16, 10)], [False, False, True, False], 80, False, [True, False, False, False], 1290, 'West', (14, 13))
Element 11: (3, (14, 13), ['.', '', '%', ''], [(18, 7), (16, 2), (16, 9)], [False, False, True, False], 78, False, [True, False, False, False], 3309, 'West', (13, 13))
Element 12: (3, (13, 13), ['.', '', '%', ''], [(18, 8), (16, 1), (16, 8)], [False, False, True, False], 76, False, [True, False, False, False], 3348, 'West', (12, 13))
Element 13: (3, (12, 13), ['.', '%', '%', ''], [(17, 8), (17, 1), (16, 7)], [False, True, True, False], 74, False, [True, False, False, False], 3387, 'West', (11, 13))
Element 14: (3, (11, 13), ['.', '%', '%', ''], [(17, 7), (16, 1), (16, 6)], [False, True, True, False], 72, False, [True, False, False, False], 3406, 'West', (10, 13))
Element 15: (3, (10, 13), ['.', '.', '%', ''], [(16, 7), (15, 1), (17, 6)], [False, False, True, False], 70, False, [True, True, False, False], 3425, 'South', (10, 12))
Element 16: (3, (10, 12), ['.', '.', '', '%'], [(16, 8), (14, 1), (18, 6)], [False, False, False, True], 68, False, [True, True, False, False], 3444, 'South', (10, 11))
Element 17: (3, (10, 11), ['.', '.', '', '.'], [(15, 8), (13, 1), (18, 7)], [False, False, False, False], 66, False, [True, True, False, True], 3473, 'East', (11, 11))
Element 18: (3, (11, 11), ['', '.', '%', '.'], [(15, 9), (12, 1), (18, 8)], [False, False, True, False], 64, False, [False, True, False, True], 3502, 'East', (12, 11))
Element 19: (3, (12, 11), ['', '.', '%', ''], [(15, 10), (11, 1), (17, 8)], [False, False, True, False], 62, False, [False, True, False, False], 3531, 'South', (12, 10))
Element 20: (3, (12, 10), ['.', '.', '', '.'], [(14, 10), (10, 1), (17, 7)], [False, False, False, False], 60, False, [True, True, False, True], 3560, 'East', (13, 10))
Element 21: (3, (13, 10), ['', '.', '', ''], [(14, 9), (9, 1), (17, 8)], [False, False, False, False], 58, False, [False, True, False, False], 3589, 'South', (13, 9))
Element 22: (3, (13, 9), ['.', '.', '', ''], [(14, 8), (8, 1), (18, 8)], [False, False, False, False], 56, False, [True, True, False, False], 3618, 'South', (13, 8))
Element 23: (3, (13, 8), ['.', '.', '', ''], [(14, 7), (8, 2), (18, 7)], [False, False, False, False], 54, False, [True, True, False, False], 3647, 'South', (13, 7))
Element 24: (3, (13, 7), ['.', '%', '', ''], [(14, 6), (8, 3), (17, 7)], [False, True, False, False], 52, False, [True, False, False, False], 3676, 'West', (12, 7))
Element 25: (3, (12, 7), ['.', '.', '.', ''], [(14, 7), (9, 3), (18, 7)], [False, False, False, False], 50, False, [True, True, True, False], 3695, 'North', (12, 8))
