Element 1: (2, (13, 10), ['.', '.', '.', 'G'], [(7, 2), (13, 4), (14, 10)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (13, 11))
Element 2: (2, (13, 11), ['.', '', '.', '.'], [(8, 2), (14, 4), (15, 10)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (14, 11))
Element 3: (2, (14, 11), ['', '', '.', '.'], [(8, 3), (15, 4), (16, 10)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (15, 11))
Element 4: (2, (15, 11), ['', '', '.', '.'], [(9, 3), (15, 5), (16, 9)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (16, 11))
Element 5: (2, (16, 11), ['', '', '.', '%'], [(10, 3), (15, 6), (16, 8)], [False, False, False, True], 90, False, [False, False, True, False], 1165, 'North', (16, 12))
Element 6: (2, (16, 12), ['.', '', '.', '.'], [(11, 3), (16, 6), (17, 8)], [False, False, False, False], 88, False, [True, False, True, True], 1204, 'East', (17, 12))
Element 7: (2, (17, 12), ['', '%', '.', '%'], [(12, 3), (17, 6), (18, 8)], [False, True, False, True], 86, False, [False, False, True, False], 1243, 'North', (17, 13))
Element 8: (2, (17, 13), ['.', '', '%', '.'], [(12, 4), (18, 6), (18, 7)], [False, False, True, False], 84, False, [True, False, False, True], 1282, 'East', (18, 13))
Element 9: (2, (18, 13), ['', '%', '%', '%'], [(12, 5), (18, 7), (17, 7)], [False, True, True, True], 82, False, [False, False, False, False], 1311, 'West', (17, 13))
Element 10: (2, (17, 13), ['.', '', '%', ''], [(11, 5), (18, 8), (16, 7)], [False, False, True, False], 80, False, [True, False, False, False], 2320, 'West', (16, 13))
Element 11: (2, (16, 13), ['.', '', '%', ''], [(11, 6), (17, 8), (16, 6)], [False, False, True, False], 78, False, [True, False, False, False], 2339, 'West', (15, 13))
Element 12: (2, (15, 13), ['.', '.', '%', ''], [(12, 6), (17, 7), (17, 6)], [False, False, True, False], 76, False, [True, True, False, False], 2358, 'South', (15, 12))
Element 13: (2, (15, 12), ['.', '', '', ''], [(12, 7), (16, 7), (18, 6)], [False, False, False, False], 74, False, [True, False, False, False], 2377, 'West', (14, 12))
Element 14: (2, (14, 12), ['.', '', '.', ''], [(13, 7), (16, 8), (17, 6)], [False, False, False, False], 72, False, [True, False, True, False], 2396, 'North', (14, 13))
Element 15: (2, (14, 13), ['.', '', '%', ''], [(14, 7), (15, 8), (16, 6)], [False, False, True, False], 70, False, [True, False, False, False], 2425, 'West', (13, 13))
Element 16: (2, (13, 13), ['.', '.', '%', ''], [(14, 8), (15, 9), (15, 6)], [False, False, True, False], 68, False, [True, True, False, False], 2454, 'South', (13, 12))
Element 17: (2, (13, 12), ['%', '', '', ''], [(14, 9), (16, 9), (14, 6)], [True, False, False, False], 66, False, [False, False, False, False], 2483, 'North', (13, 13))
Element 18: (2, (13, 13), ['.', '', '%', ''], [(13, 9), (16, 10), (14, 5)], [False, False, True, False], 64, False, [True, False, False, False], 2502, 'West', (12, 13))
Element 19: (2, (12, 13), ['.', '%', '%', ''], [(13, 8), (16, 11), (13, 5)], [False, True, True, False], 62, False, [True, False, False, False], 2531, 'West', (11, 13))
Element 20: (2, (11, 13), ['.', '%', '%', ''], [(12, 8), (16, 12), (13, 4)], [False, True, True, False], 60, False, [True, False, False, False], 2550, 'West', (10, 13))
Element 21: (2, (10, 13), ['.', '.', '%', ''], [(12, 9), (17, 12), (14, 4)], [False, False, True, False], 58, False, [True, True, False, False], 2569, 'South', (10, 12))
Element 22: (2, (10, 12), ['.', '.', '', '%'], [(12, 10), (17, 13), (15, 4)], [False, False, False, True], 56, False, [True, True, False, False], 2588, 'South', (10, 11))
Element 23: (2, (10, 11), ['.', '.', '', '.'], [(12, 11), (18, 13), (15, 3)], [False, False, False, False], 54, False, [True, True, False, True], 2617, 'East', (11, 11))
Element 24: (2, (11, 11), ['', '.', '%', ''], [(13, 11), (17, 13), (16, 3)], [False, False, True, False], 52, False, [False, True, False, False], 2636, 'South', (11, 10))
Element 25: (2, (11, 10), ['.', '.', '', ''], [(14, 11), (16, 13), (16, 2)], [False, False, False, False], 50, False, [True, True, False, False], 3645, 'South', (11, 9))
Element 26: (2, (11, 9), ['.', '%', '', ''], [(15, 11), (15, 13), (16, 1)], [False, True, False, False], 48, False, [True, False, False, False], 3664, 'West', (10, 9))
Element 27: (2, (10, 9), ['.', '%', '.', ''], [(16, 11), (15, 12), (17, 1)], [False, True, False, False], 46, False, [True, False, True, False], 3683, 'North', (10, 10))
Element 28: (2, (10, 10), ['.', '', '', ''], [(16, 12), (15, 11), (16, 1)], [False, False, False, False], 44, False, [True, False, False, False], 3692, 'West', (9, 10))
Element 29: (2, (9, 10), ['.', '.', '.', ''], [(17, 12), (15, 10), (15, 1)], [False, False, False, False], 42, False, [True, True, True, False], 3711, 'North', (9, 11))
Element 30: (2, (9, 11), ['.', '', '.', ''], [(17, 13), (14, 10), (14, 1)], [False, False, False, False], 40, False, [True, False, True, False], 3730, 'North', (9, 12))
Element 31: (2, (9, 12), ['.', '', '.', ''], [(18, 13), (14, 11), (13, 1)], [False, False, False, False], 38, False, [True, False, True, False], 3749, 'North', (9, 13))
Element 32: (2, (9, 13), ['.', '', '%', ''], [(17, 13), (14, 12), (12, 1)], [False, False, True, False], 36, False, [True, False, False, False], 3768, 'West', (8, 13))
Element 33: (2, (8, 13), ['.', '.', '%', ''], [(16, 13), (14, 13), (11, 1)], [False, False, True, False], 34, False, [True, True, False, False], 3787, 'South', (8, 12))
Element 34: (2, (8, 12), ['.', '.', '', ''], [(15, 13), (13, 13), (10, 1)], [False, False, False, False], 32, False, [True, True, False, False], 3806, 'South', (8, 11))
Element 35: (2, (8, 11), ['.', '.', '', ''], [(15, 12), (13, 12), (9, 1)], [False, False, False, False], 30, False, [True, True, False, False], 3825, 'South', (8, 10))
Element 36: (2, (8, 10), ['.', 'F', '', ''], [(14, 12), (13, 11), (8, 1)], [False, False, False, False], 28, False, [True, False, False, False], 3844, 'South', (8, 9))
Element 37: (2, (8, 9), ['.', '.', '', '.'], [(14, 13), (13, 10), (7, 1)], [False, False, False, False], 26, False, [True, True, False, True], 4853, 'East', (9, 9))
Element 38: (2, (9, 9), ['', '%', '', ''], [(13, 13), (13, 9), (6, 1)], [False, True, False, False], 24, False, [False, False, False, False], 4872, 'West', (8, 9))
Element 39: (2, (8, 9), ['.', '.', '', ''], [(13, 12), (14, 9), (5, 1)], [False, False, False, False], 22, False, [True, True, False, False], 4881, 'South', (8, 8))
Element 40: (2, (8, 8), ['.', '%', '', '%'], [(13, 13), (14, 8), (5, 2)], [False, True, False, True], 20, False, [True, False, False, False], 4900, 'West', (7, 8))
