Element 39: (3, (11, 7), ['%', '', '%', ''], [(10, 13), (16, 7), (3, 3)], [True, False, True, False], 22, False, [False, False, False, False], 4031, 'South', (11, 6))
Element 40: (3, (11, 6), ['', '', '', ''], [(11, 13), (17, 7), (3, 4)], [False, False, False, False], 20, False, [False, False, False, False], 4050, 'South', (11, 5))
Element 41: (3, (11, 5), ['', '', '', ''], [(12, 13), (17, 6), (3, 5)], [False, False, False, False], 18, False, [False, False, False, False], 4069, 'South', (11, 4))
Element 42: (3, (11, 4), ['%', '', '', ''], [(11, 13), (16, 6), (2, 5)], [True, False, False, False], 16, False, [False, False, False, False], 4078, 'East', (12, 4))
Element 43: (3, (12, 4), ['', '', '', ''], [(10, 13), (17, 6), (2, 6)], [False, False, False, False], 14, False, [False, False, False, False], 4087, 'East', (13, 4))
Element 44: (3, (13, 4), ['', '', '', ''], [(9, 13), (18, 6), (2, 7)], [False, False, False, False], 12, False, [False, False, False, False], 4106, 'East', (14, 4))
Element 45: (3, (14, 4), ['', '%', '', ''], [(9, 12), (18, 7), (1, 7)], [False, True, False, False], 10, False, [False, False, False, False], 4125, 'East', (15, 4))
Element 46: (3, (15, 4), ['', '', '', '%'], [(9, 11), (17, 7), (1, 6)], [False, False, False, True], 8, False, [False, False, False, False], 4144, 'South', (15, 3))
Element 47: (3, (15, 3), ['%', '%', '', ''], [(9, 10), (18, 7), (1, 5)], [True, True, False, False], 6, False, [False, False, False, False], 4163, 'East', (16, 3))
Element 48: (3, (16, 3), ['', '', '%', '.'], [(10, 10), (18, 8), (1, 4)], [False, False, True, False], 4, False, [False, False, False, True], 4182, 'East', (17, 3))
Element 49: (3, (17, 3), ['', '%', '%', '.'], [(10, 9), (17, 8), (2, 4)], [False, True, True, False], 2, False, [False, False, False, True], 4211, 'East', (18, 3))
Element 50: (3, (18, 3), ['', '%', '%', '%'], [(10, 9), (17, 8), (2, 4)], [False, True, True, True], 0, False, [False, False, False, False], 4220, 'Stop', (18, 3))
Element 51: #0#
