Element 39: (2, (16, 12), ['', '', '', ''], [(10, 13), (13, 13), (18, 13)], [False, False, False, False], 22, False, [False, False, False, False], 3771, 'East', (17, 12))
Element 40: (2, (17, 12), ['', '%', 'G', '%'], [(11, 13), (12, 13), (17, 13)], [False, True, False, True], 20, False, [False, False, False, False], 3790, 'West', (16, 12))
Element 41: (2, (16, 12), ['', '', 'G', ''], [(10, 13), (11, 13), (16, 13)], [False, False, False, False], 18, False, [False, False, False, False], 3789, 'West', (15, 12))
Element 42: (2, (15, 12), ['', '', 'G', ''], [(9, 13), (10, 13), (15, 13)], [False, False, False, False], 16, False, [False, False, False, False], 3798, 'South', (15, 11))
Element 43: (2, (15, 11), ['', '', 'G', ''], [(9, 12), (10, 12), (15, 12)], [False, False, False, False], 14, False, [False, False, False, False], 3807, 'South', (15, 10))
Element 44: (2, (15, 10), ['', '', 'G', ''], [(9, 11), (10, 11), (15, 11)], [False, False, False, False], 12, False, [False, False, False, False], 3816, 'South', (15, 9))
Element 45: (2, (15, 9), ['', '', 'G', ''], [(9, 10), (11, 11), (15, 10)], [False, False, False, False], 10, False, [False, False, False, False], 3825, 'South', (15, 8))
Element 46: (2, (15, 8), ['', '%', 'G', ''], [(9, 9), (12, 11), (15, 9)], [False, True, False, False], 8, False, [False, False, False, False], 3834, 'West', (14, 8))
Element 47: (2, (14, 8), ['', '', '', 'G'], [(8, 9), (13, 11), (15, 8)], [False, False, False, False], 6, False, [False, False, False, False], 4833, 'North', (14, 9))
Element 48: (2, (14, 9), ['', 'G', '', ''], [(8, 10), (13, 12), (14, 8)], [False, False, False, False], 4, False, [False, False, False, False], 4842, 'North', (14, 10))
Element 49: (2, (14, 10), ['', 'G', '', ''], [(8, 11), (13, 11), (14, 9)], [False, False, False, False], 2, False, [False, False, False, False], 4851, 'North', (14, 11))
Element 50: (2, (14, 11), ['G', 'G', '', ''], [(8, 11), (13, 11), (14, 10)], [False, False, False, False], 0, False, [False, False, False, False], 4850, 'Stop', (14, 11))
Element 51: #0#
