Element 1: (2, (7, 9), ['.', '.', '.', 'F'], [(14, 11), (5, 2), (11, 1)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (8, 9))
Element 2: (2, (8, 9), ['', '.', '.', '.'], [(15, 11), (6, 2), (12, 1)], [False, False, False, False], 96, False, [False, True, True, True], 1048, 'East', (9, 9))
Element 3: (2, (9, 9), ['', '%', '.', '.'], [(16, 11), (7, 2), (13, 1)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (10, 9))
Element 4: (2, (10, 9), ['', '%', '.', '.'], [(16, 12), (8, 2), (14, 1)], [False, True, False, False], 92, False, [False, False, True, True], 1126, 'East', (11, 9))
Element 5: (2, (11, 9), ['', '%', '.', '.'], [(17, 12), (8, 3), (15, 1)], [False, True, False, False], 90, False, [False, False, True, True], 1165, 'East', (12, 9))
Element 6: (2, (12, 9), ['', '.', '.', '.'], [(17, 13), (9, 3), (16, 1)], [False, False, False, False], 88, False, [False, True, True, True], 1204, 'East', (13, 9))
Element 7: (2, (13, 9), ['', '.', '.', '.'], [(18, 13), (10, 3), (16, 2)], [False, False, False, False], 86, False, [False, True, True, True], 2233, 'East', (14, 9))
Element 8: (2, (14, 9), ['', '.', '.', '.'], [(17, 13), (11, 3), (16, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (15, 9))
Element 9: (2, (15, 9), ['', '.', '.', 'F'], [(16, 13), (12, 3), (17, 3)], [False, False, False, False], 82, False, [False, True, True, False], 2301, 'East', (16, 9))
Element 10: (2, (16, 9), ['', '.', '.', '%'], [(15, 13), (13, 3), (18, 3)], [False, False, False, True], 80, False, [False, True, True, False], 3330, 'North', (16, 10))
Element 11: (2, (16, 10), ['.', '', '', '%'], [(15, 12), (13, 4), (17, 3)], [False, False, False, True], 78, False, [True, False, False, False], 3359, 'West', (15, 10))
Element 12: (2, (15, 10), ['.', '', '', ''], [(14, 12), (14, 4), (16, 3)], [False, False, False, False], 76, False, [True, False, False, False], 3388, 'West', (14, 10))
Element 13: (2, (14, 10), ['.', '', '', ''], [(14, 13), (15, 4), (15, 3)], [False, False, False, False], 74, False, [True, False, False, False], 3427, 'West', (13, 10))
Element 14: (2, (13, 10), ['.', '', '', ''], [(13, 13), (15, 5), (16, 3)], [False, False, False, False], 72, False, [True, False, False, False], 3456, 'West', (12, 10))
Element 15: (2, (12, 10), ['.', '', '.', ''], [(13, 12), (15, 6), (16, 2)], [False, False, False, False], 70, False, [True, False, True, False], 3485, 'North', (12, 11))
Element 16: (2, (12, 11), ['.', '', '%', ''], [(13, 13), (16, 6), (16, 1)], [False, False, True, False], 68, False, [True, False, False, False], 3504, 'West', (11, 11))
Element 17: (2, (11, 11), ['.', '.', '%', ''], [(12, 13), (17, 6), (17, 1)], [False, False, True, False], 66, False, [True, True, False, False], 3543, 'South', (11, 10))
Element 18: (2, (11, 10), ['.', '', '', ''], [(11, 13), (18, 6), (16, 1)], [False, False, False, False], 64, False, [True, False, False, False], 3572, 'West', (10, 10))
Element 19: (2, (10, 10), ['.', '', '.', ''], [(10, 13), (18, 7), (15, 1)], [False, False, False, False], 62, False, [True, False, True, False], 3601, 'North', (10, 11))
Element 20: (2, (10, 11), ['.', '', 'G', ''], [(10, 12), (18, 8), (14, 1)], [False, False, False, False], 60, False, [True, False, False, False], 3630, 'West', (9, 11))
Element 21: (2, (9, 11), ['.', '.', 'G', ''], [(9, 12), (17, 8), (13, 1)], [False, False, False, False], 58, False, [True, True, False, False], 3659, 'South', (9, 10))
Element 22: (2, (9, 10), ['.', '', '', ''], [(9, 13), (17, 7), (12, 1)], [False, False, False, False], 56, False, [True, False, False, False], 3688, 'West', (8, 10))
Element 23: (2, (8, 10), ['.', '', '.', ''], [(8, 13), (16, 7), (11, 1)], [False, False, False, False], 54, False, [True, False, True, False], 3717, 'North', (8, 11))
Element 24: (2, (8, 11), ['.', '', 'G', ''], [(8, 12), (16, 8), (10, 1)], [False, False, False, False], 52, False, [True, False, False, False], 3756, 'West', (7, 11))
