Element 39: (2, (15, 10), ['', '', '', ''], [(8, 8), (16, 6), (12, 10)], [False, False, False, False], 22, False, [False, False, False, False], 3861, 'West', (14, 10))
Element 40: (2, (14, 10), ['', '', '', ''], [(7, 8), (16, 7), (12, 9)], [False, False, False, False], 20, False, [False, False, False, False], 3860, 'North', (14, 11))
Element 41: (2, (14, 11), ['', '', '', ''], [(6, 8), (17, 7), (12, 8)], [False, False, False, False], 18, False, [False, False, False, False], 3869, 'West', (13, 11))
Element 42: (2, (13, 11), ['', '', '', ''], [(5, 8), (17, 6), (13, 8)], [False, False, False, False], 16, False, [False, False, False, False], 3878, 'North', (13, 12))
Element 43: (2, (13, 12), ['%', '', '', ''], [(5, 9), (16, 6), (14, 8)], [True, False, False, False], 14, False, [False, False, False, False], 3887, 'North', (13, 13))
Element 44: (2, (13, 13), ['', '', '%', ''], [(5, 10), (17, 6), (15, 8)], [False, False, True, False], 12, False, [False, False, False, False], 3896, 'West', (12, 13))
Element 45: (2, (12, 13), ['', '%', '%', ''], [(5, 11), (18, 6), (16, 8)], [False, True, True, False], 10, False, [False, False, False, False], 3905, 'West', (11, 13))
Element 46: (2, (11, 13), ['', '%', '%', ''], [(5, 12), (18, 7), (17, 8)], [False, True, True, False], 8, False, [False, False, False, False], 3914, 'West', (10, 13))
Element 47: (2, (10, 13), ['', '', '%', ''], [(5, 13), (17, 7), (18, 8)], [False, False, True, False], 6, False, [False, False, False, False], 3923, 'South', (10, 12))
Element 48: (2, (10, 12), ['', '', '', '%'], [(4, 13), (16, 7), (18, 7)], [False, False, False, True], 4, False, [False, False, False, False], 3932, 'South', (10, 11))
Element 49: (2, (10, 11), ['', '', '', ''], [(4, 12), (16, 8), (18, 6)], [False, False, False, False], 2, False, [False, False, False, False], 3941, 'East', (11, 11))
Element 50: (2, (11, 11), ['', '', '%', ''], [(4, 12), (16, 8), (17, 6)], [False, False, True, False], 0, False, [False, False, False, False], 3940, 'Stop', (11, 11))
Element 51: #0#
