Element 1: (3, (11, 4), ['%', '.', 'F', '.'], [(15, 9), (4, 12), (6, 11)], [True, False, False, False], 98, False, [False, True, False, True], 29, 'North', (11, 5))
Element 2: (3, (11, 5), ['.', '', '.', '.'], [(16, 9), (5, 12), (7, 11)], [False, False, False, False], 96, False, [True, False, True, True], 2048, 'East', (12, 5))
Element 3: (3, (12, 5), ['', '.', '.', '.'], [(16, 10), (6, 12), (8, 11)], [False, False, False, False], 94, False, [False, True, True, True], 2087, 'East', (13, 5))
Element 4: (3, (13, 5), ['', '.', '%', '.'], [(16, 11), (7, 12), (9, 11)], [False, False, True, False], 92, False, [False, True, False, True], 2126, 'East', (14, 5))
Element 5: (3, (14, 5), ['', '.', '.', '.'], [(16, 12), (8, 12), (10, 11)], [False, False, False, False], 90, False, [False, True, True, True], 2165, 'East', (15, 5))
Element 6: (3, (15, 5), ['', '.', '.', '%'], [(17, 12), (9, 12), (11, 11)], [False, False, False, True], 88, False, [False, True, True, False], 2204, 'North', (15, 6))
Element 7: (3, (15, 6), ['.', '', '%', '.'], [(17, 13), (10, 12), (12, 11)], [False, False, True, False], 86, False, [True, False, False, True], 2243, 'East', (16, 6))
Element 8: (3, (16, 6), ['', '%', '.', '.'], [(18, 13), (10, 13), (13, 11)], [False, True, False, False], 84, False, [False, False, True, True], 2282, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '%', '.', '.'], [(17, 13), (11, 13), (14, 11)], [False, True, False, False], 82, False, [False, False, True, True], 2311, 'East', (18, 6))
Element 10: (3, (18, 6), ['', '%', '.', '%'], [(16, 13), (12, 13), (15, 11)], [False, True, False, True], 80, False, [False, False, True, False], 2350, 'North', (18, 7))
Element 11: (3, (18, 7), ['.', '', '.', '%'], [(15, 13), (13, 13), (15, 12)], [False, False, False, True], 78, False, [True, False, True, False], 2389, 'North', (18, 8))
Element 12: (3, (18, 8), ['.', '', '%', '%'], [(14, 13), (13, 12), (14, 12)], [False, False, True, True], 76, False, [True, False, False, False], 2428, 'West', (17, 8))
Element 13: (3, (17, 8), ['.', '.', '%', ''], [(13, 13), (13, 11), (14, 13)], [False, False, True, False], 74, False, [True, True, False, False], 2437, 'South', (17, 7))
Element 14: (3, (17, 7), ['.', '', '', ''], [(13, 12), (13, 10), (15, 13)], [False, False, False, False], 72, False, [True, False, False, False], 2456, 'West', (16, 7))
Element 15: (3, (16, 7), ['%', '', '.', ''], [(14, 12), (14, 10), (16, 13)], [True, False, False, False], 70, False, [False, False, True, False], 2475, 'North', (16, 8))
Element 16: (3, (16, 8), ['.', '', '', ''], [(15, 12), (15, 10), (17, 13)], [False, False, False, False], 68, False, [True, False, False, False], 2494, 'West', (15, 8))
Element 17: (3, (15, 8), ['.', '%', '', ''], [(15, 11), (16, 10), (18, 13)], [False, True, False, False], 66, False, [True, False, False, False], 2503, 'West', (14, 8))
Element 18: (3, (14, 8), ['.', '.', '', ''], [(15, 10), (16, 11), (17, 13)], [False, False, False, False], 64, False, [True, True, False, False], 2512, 'South', (14, 7))
Element 19: (3, (14, 7), ['.', '.', '', '%'], [(14, 10), (16, 12), (17, 12)], [False, False, False, True], 62, False, [True, True, False, False], 2521, 'South', (14, 6))
Element 20: (3, (14, 6), ['%', '', '', ''], [(14, 11), (16, 13), (16, 12)], [True, False, False, False], 60, False, [False, False, False, False], 2530, 'North', (14, 7))
Element 21: (3, (14, 7), ['.', '', '', '%'], [(13, 11), (17, 13), (16, 11)], [False, False, False, True], 58, False, [True, False, False, False], 2529, 'West', (13, 7))
Element 22: (3, (13, 7), ['.', '%', '.', ''], [(13, 10), (18, 13), (16, 10)], [False, True, False, False], 56, False, [True, False, True, False], 2538, 'North', (13, 8))
Element 23: (3, (13, 8), ['.', '', 'G', ''], [(13, 9), (17, 13), (16, 9)], [False, False, False, False], 54, False, [True, False, False, False], 2557, 'West', (12, 8))
Element 24: (3, (12, 8), ['%', '.', 'G', ''], [(12, 9), (17, 12), (16, 8)], [True, False, False, False], 52, False, [False, True, False, False], 2576, 'South', (12, 7))
Element 25: (3, (12, 7), ['.', '.', '', ''], [(12, 10), (17, 13), (17, 8)], [False, False, False, False], 50, False, [True, True, False, False], 2595, 'South', (12, 6))
Element 26: (3, (12, 6), ['.', '', '', '%'], [(11, 10), (16, 13), (18, 8)], [False, False, False, True], 48, False, [True, False, False, False], 2614, 'West', (11, 6))
Element 27: (3, (11, 6), ['.', '', '.', ''], [(11, 9), (15, 13), (18, 7)], [False, False, False, False], 46, False, [True, False, True, False], 2633, 'North', (11, 7))
Element 28: (3, (11, 7), ['%', '', '%', ''], [(10, 9), (15, 12), (18, 6)], [True, False, True, False], 44, False, [False, False, False, False], 2652, 'South', (11, 6))
Element 29: (3, (11, 6), ['.', '', '', ''], [(10, 10), (15, 11), (17, 6)], [False, False, False, False], 42, False, [True, False, False, False], 2661, 'West', (10, 6))
Element 30: (3, (10, 6), ['.', '.', '%', ''], [(9, 10), (14, 11), (17, 7)], [False, False, True, False], 40, False, [True, True, False, False], 2680, 'South', (10, 5))
Element 31: (3, (10, 5), ['.', '%', '', ''], [(9, 9), (14, 12), (16, 7)], [False, True, False, False], 38, False, [True, False, False, False], 2699, 'West', (9, 5))
Element 32: (3, (9, 5), ['.', '.', '.', ''], [(8, 9), (14, 13), (16, 6)], [False, False, False, False], 36, False, [True, True, True, False], 3708, 'North', (9, 6))
Element 33: (3, (9, 6), ['.', '', '%', ''], [(8, 10), (14, 12), (15, 6)], [False, False, True, False], 34, False, [True, False, False, False], 3727, 'West', (8, 6))
Element 34: (3, (8, 6), ['.', '.', '%', ''], [(7, 10), (14, 11), (15, 5)], [False, False, True, False], 32, False, [True, True, False, False], 3746, 'South', (8, 5))
Element 35: (3, (8, 5), ['.', '.', '', ''], [(7, 9), (15, 11), (15, 4)], [False, False, False, False], 30, False, [True, True, False, False], 3775, 'South', (8, 4))
Element 36: (3, (8, 4), ['.', '.', '', '.'], [(7, 8), (15, 12), (15, 3)], [False, False, False, False], 28, False, [True, True, False, True], 3804, 'East', (9, 4))
Element 37: (3, (9, 4), ['', '.', '', '%'], [(8, 8), (14, 12), (16, 3)], [False, False, False, True], 26, False, [False, True, False, False], 3833, 'South', (9, 3))
Element 38: (3, (9, 3), ['.', '%', '', '.'], [(7, 8), (15, 12), (16, 2)], [False, True, False, False], 24, False, [True, False, False, True], 4842, 'East', (10, 3))
Element 39: (3, (10, 3), ['', '%', '%', '.'], [(6, 8), (15, 13), (16, 1)], [False, True, True, False], 22, False, [False, False, False, True], 4871, 'East', (11, 3))
Element 40: (3, (11, 3), ['', '%', '', '.'], [(6, 9), (14, 13), (17, 1)], [False, True, False, False], 20, False, [False, False, False, True], 4900, 'East', (12, 3))
Element 41: (3, (12, 3), ['', '%', '.', '.'], [(6, 10), (15, 13), (16, 1)], [False, True, False, False], 18, False, [False, False, True, True], 4919, 'East', (13, 3))
Element 42: (3, (13, 3), ['', '%', '.', '%'], [(5, 10), (16, 13), (15, 1)], [False, True, False, True], 16, False, [False, False, True, False], 4948, 'North', (13, 4))
Element 43: (3, (13, 4), ['.', '', '', '.'], [(5, 9), (16, 12), (14, 1)], [False, False, False, False], 14, False, [True, False, False, True], 4977, 'East', (14, 4))
Element 44: (3, (14, 4), ['', '%', '', ''], [(5, 8), (15, 12), (13, 1)], [False, True, False, False], 12, False, [False, False, False, False], 5006, 'East', (15, 4))
Element 45: (3, (15, 4), ['', '', '', '%'], [(4, 8), (16, 12), (12, 1)], [False, False, False, True], 10, False, [False, False, False, False], 5025, 'South', (15, 3))
Element 46: (3, (15, 3), ['%', '%', '', ''], [(4, 9), (16, 11), (11, 1)], [True, True, False, False], 8, False, [False, False, False, False], 5044, 'East', (16, 3))
Element 47: (3, (16, 3), ['', '', '%', '.'], [(4, 10), (15, 11), (10, 1)], [False, False, True, False], 6, False, [False, False, False, True], 5063, 'East', (17, 3))
