Element 38: (0, (8, 5), ['.', '.', '', ''], [(14, 6), (16, 1), (14, 4)], [False, False, False, False], 24, False, [True, True, False, False], 3763, 'South', (8, 4))
Element 39: (0, (8, 4), ['.', '.', '', '.'], [(14, 7), (15, 1), (13, 4)], [False, False, False, False], 22, False, [True, True, False, True], 3792, 'East', (9, 4))
Element 40: (0, (9, 4), ['', '.', '', '%'], [(14, 8), (14, 1), (13, 3)], [False, False, False, True], 20, False, [False, True, False, False], 3821, 'South', (9, 3))
Element 41: (0, (9, 3), ['.', '%', '', '.'], [(15, 8), (13, 1), (12, 3)], [False, True, False, False], 18, False, [True, False, False, True], 3850, 'East', (10, 3))
Element 42: (0, (10, 3), ['', '%', '%', '.'], [(15, 9), (12, 1), (12, 4)], [False, True, True, False], 16, False, [False, False, False, True], 3879, 'East', (11, 3))
Element 43: (0, (11, 3), ['', '%', 'G', ''], [(15, 10), (11, 1), (11, 4)], [False, True, False, False], 14, False, [False, False, False, False], 3908, 'East', (12, 3))
Element 44: (0, (12, 3), ['', '%', '', ''], [(15, 11), (10, 1), (11, 5)], [False, True, False, False], 12, False, [False, False, False, False], 3917, 'East', (13, 3))
Element 45: (0, (13, 3), ['', '%', '', '%'], [(15, 12), (9, 1), (10, 5)], [False, True, False, True], 10, False, [False, False, False, False], 3926, 'North', (13, 4))
Element 46: (0, (13, 4), ['', '', '', ''], [(14, 12), (8, 1), (10, 6)], [False, False, False, False], 8, False, [False, False, False, False], 3935, 'East', (14, 4))
Element 47: (0, (14, 4), ['', '%', '', ''], [(14, 11), (8, 2), (9, 6)], [False, True, False, False], 6, False, [False, False, False, False], 3944, 'East', (15, 4))
Element 48: (0, (15, 4), ['', '', '', '%'], [(14, 10), (8, 3), (9, 5)], [False, False, False, True], 4, False, [False, False, False, False], 3953, 'North', (15, 5))
Element 49: (0, (15, 5), ['', '', '', '%'], [(14, 9), (7, 3), (9, 4)], [False, False, False, True], 2, False, [False, False, False, False], 3962, 'North', (15, 6))
Element 50: (0, (15, 6), ['', '', '%', ''], [(13, 9), (7, 4), (9, 3)], [False, False, True, False], 0, False, [False, False, False, False], 3971, 'Stop', (15, 6))
Element 51: #0#
