Element 1: (2, (12, 4), ['.', 'G', '.', '.'], [(8, 9), (12, 3), (17, 6)], [False, False, False, False], 98, False, [True, False, True, True], 1009, 'East', (13, 4))
Element 2: (2, (13, 4), ['', 'G', '.', '.'], [(9, 9), (13, 3), (18, 6)], [False, False, False, False], 96, False, [False, False, True, True], 1048, 'East', (14, 4))
Element 3: (2, (14, 4), ['G', '%', '.', '.'], [(10, 9), (13, 4), (18, 7)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (15, 4))
Element 4: (2, (15, 4), ['', '.', '.', '%'], [(11, 9), (13, 5), (18, 8)], [False, False, False, True], 92, False, [False, True, True, False], 1116, 'North', (15, 5))
Element 5: (2, (15, 5), ['G', '', '.', '%'], [(12, 9), (14, 5), (17, 8)], [False, False, False, True], 90, False, [False, False, True, False], 1155, 'North', (15, 6))
Element 6: (2, (15, 6), ['G', '', '%', '.'], [(13, 9), (14, 6), (17, 7)], [False, False, True, False], 88, False, [False, False, False, True], 1194, 'East', (16, 6))
Element 7: (2, (16, 6), ['', '%', 'G', ''], [(14, 9), (14, 7), (16, 7)], [False, True, False, False], 86, False, [False, False, False, False], 1233, 'East', (17, 6))
Element 8: (2, (17, 6), ['', '%', '', ''], [(15, 9), (14, 8), (16, 8)], [False, True, False, False], 84, False, [False, False, False, False], 1262, 'East', (18, 6))
Element 9: (2, (18, 6), ['', '%', '', '%'], [(15, 10), (15, 8), (16, 9)], [False, True, False, True], 82, False, [False, False, False, False], 2281, 'North', (18, 7))
Element 10: (2, (18, 7), ['', '', '', '%'], [(15, 11), (16, 8), (16, 10)], [False, False, False, True], 80, False, [False, False, False, False], 2300, 'North', (18, 8))
Element 11: (2, (18, 8), ['G', '', '%', '%'], [(15, 12), (17, 8), (16, 11)], [False, False, True, True], 78, False, [False, False, False, False], 2319, 'South', (18, 7))
Element 12: (2, (18, 7), ['', '', 'G', '%'], [(15, 13), (18, 8), (16, 12)], [False, False, False, True], 76, False, [False, False, False, False], 2338, 'West', (17, 7))
Element 13: (2, (17, 7), ['', '', '', 'G'], [(16, 13), (18, 7), (17, 12)], [False, False, False, False], 74, False, [False, False, False, False], 2357, 'North', (17, 8))
Element 14: (2, (17, 8), ['', '', '%', ''], [(16, 12), (18, 6), (17, 13)], [False, False, True, False], 72, False, [False, False, False, False], 2366, 'West', (16, 8))
Element 15: (2, (16, 8), ['', '', '', ''], [(17, 12), (17, 6), (18, 13)], [False, False, False, False], 70, False, [False, False, False, False], 2375, 'North', (16, 9))
Element 16: (2, (16, 9), ['', '', '', '%'], [(16, 12), (17, 7), (17, 13)], [False, False, False, True], 68, False, [False, False, False, False], 2374, 'North', (16, 10))
Element 17: (2, (16, 10), ['', '', 'G', '%'], [(16, 11), (16, 7), (16, 13)], [False, False, False, True], 66, False, [False, False, False, False], 2373, 'West', (15, 10))
Element 18: (2, (15, 10), ['.', '', '', 'G'], [(16, 10), (16, 6), (15, 13)], [False, False, False, False], 64, False, [True, False, False, False], 2372, 'West', (14, 10))
Element 19: (2, (14, 10), ['.', '', '.', ''], [(16, 9), (15, 6), (14, 13)], [False, False, False, False], 62, False, [True, False, True, False], 2391, 'North', (14, 11))
