Element 1: (1, (1, 5), ['%', '.', '.', '.'], [(7, 8), (10, 10), (10, 11)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (2, 5))
Element 2: (1, (2, 5), ['', '.', '.', '.'], [(8, 8), (11, 10), (11, 11)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (3, 5))
Element 3: (1, (3, 5), ['', '.', '%', '.'], [(8, 9), (12, 10), (12, 11)], [False, False, True, False], 94, False, [False, True, False, True], 1077, 'East', (4, 5))
Element 4: (1, (4, 5), ['', '.', '%', '.'], [(9, 9), (13, 10), (13, 11)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (5, 5))
Element 5: (1, (5, 5), ['', '.', '%', '.'], [(10, 9), (14, 10), (14, 11)], [False, False, True, False], 90, False, [False, True, False, True], 1155, 'East', (6, 5))
Element 6: (1, (6, 5), ['', '.', '.', '.'], [(11, 9), (15, 10), (15, 11)], [False, False, False, False], 88, False, [False, True, True, True], 1194, 'East', (7, 5))
Element 7: (1, (7, 5), ['', '.', '.', '.'], [(12, 9), (16, 10), (16, 11)], [False, False, False, False], 86, False, [False, True, True, True], 1233, 'East', (8, 5))
Element 8: (1, (8, 5), ['', '.', '.', '.'], [(13, 9), (16, 9), (16, 12)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (9, 5))
Element 9: (1, (9, 5), ['', '.', '.', '.'], [(14, 9), (16, 8), (17, 12)], [False, False, False, False], 82, False, [False, True, True, True], 2301, 'East', (10, 5))
Element 10: (1, (10, 5), ['', '%', '.', 'F'], [(15, 9), (17, 8), (17, 13)], [False, True, False, False], 80, False, [False, False, True, False], 2340, 'East', (11, 5))
Element 11: (1, (11, 5), ['', '.', '.', '.'], [(15, 8), (18, 8), (18, 13)], [False, False, False, False], 78, False, [False, True, True, True], 3369, 'East', (12, 5))
Element 12: (1, (12, 5), ['', '.', '.', '.'], [(14, 8), (18, 7), (17, 13)], [False, False, False, False], 76, False, [False, True, True, True], 3398, 'East', (13, 5))
Element 13: (1, (13, 5), ['', '.', '%', '.'], [(14, 7), (18, 6), (16, 13)], [False, False, True, False], 74, False, [False, True, False, True], 3437, 'East', (14, 5))
Element 14: (1, (14, 5), ['', '.', 'G', '.'], [(14, 6), (17, 6), (15, 13)], [False, False, False, False], 72, False, [False, True, False, True], 3476, 'East', (15, 5))
Element 15: (1, (15, 5), ['', '.', 'G', '%'], [(15, 6), (17, 7), (15, 12)], [False, False, False, True], 70, False, [False, True, False, False], 3515, 'South', (15, 4))
Element 16: (1, (15, 4), ['.', '.', '', '%'], [(16, 6), (16, 7), (14, 12)], [False, False, False, True], 68, False, [True, True, False, False], 3554, 'South', (15, 3))
Element 17: (1, (15, 3), ['%', '%', '', '.'], [(17, 6), (17, 7), (14, 13)], [True, True, False, False], 66, False, [False, False, False, True], 3573, 'East', (16, 3))
Element 18: (1, (16, 3), ['', 'F', '%', '.'], [(18, 6), (16, 7), (13, 13)], [False, False, True, False], 64, False, [False, False, False, True], 3592, 'South', (16, 2))
Element 19: (1, (16, 2), ['%', '.', '', '%'], [(18, 7), (16, 6), (13, 12)], [True, False, False, True], 62, False, [False, True, False, False], 4601, 'South', (16, 1))
Element 20: (1, (16, 1), ['.', '%', '', '.'], [(18, 8), (15, 6), (13, 13)], [False, True, False, False], 60, False, [True, False, False, True], 4610, 'East', (17, 1))
Element 21: (1, (17, 1), ['', '%', '%', '%'], [(17, 8), (15, 5), (12, 13)], [False, True, True, True], 58, False, [False, False, False, False], 4629, 'West', (16, 1))
Element 22: (1, (16, 1), ['.', '%', '', ''], [(17, 7), (15, 4), (11, 13)], [False, True, False, False], 56, False, [True, False, False, False], 4638, 'West', (15, 1))
Element 23: (1, (15, 1), ['.', '%', '%', ''], [(16, 7), (14, 4), (10, 13)], [False, True, True, False], 54, False, [True, False, False, False], 4667, 'West', (14, 1))
Element 24: (1, (14, 1), ['.', '%', '%', ''], [(16, 8), (13, 4), (10, 12)], [False, True, True, False], 52, False, [True, False, False, False], 4696, 'West', (13, 1))
Element 25: (1, (13, 1), ['.', '%', '%', ''], [(16, 9), (13, 3), (9, 12)], [False, True, True, False], 50, False, [True, False, False, False], 4725, 'West', (12, 1))
Element 26: (1, (12, 1), ['.', '%', '%', ''], [(16, 10), (12, 3), (9, 13)], [False, True, True, False], 48, False, [True, False, False, False], 4754, 'West', (11, 1))
Element 27: (1, (11, 1), ['.', '%', '%', ''], [(16, 11), (12, 4), (8, 13)], [False, True, True, False], 46, False, [True, False, False, False], 4783, 'West', (10, 1))
Element 28: (1, (10, 1), ['.', '%', '%', ''], [(16, 12), (11, 4), (8, 12)], [False, True, True, False], 44, False, [True, False, False, False], 4812, 'West', (9, 1))
Element 29: (1, (9, 1), ['.', '%', '%', ''], [(17, 12), (11, 3), (8, 11)], [False, True, True, False], 42, False, [True, False, False, False], 4841, 'West', (8, 1))
Element 30: (1, (8, 1), ['.', '%', '.', ''], [(17, 13), (10, 3), (9, 11)], [False, True, False, False], 40, False, [True, False, True, False], 4870, 'North', (8, 2))
Element 31: (1, (8, 2), ['.', '', '.', '%'], [(18, 13), (9, 3), (9, 10)], [False, False, False, True], 38, False, [True, False, True, False], 4899, 'North', (8, 3))
Element 32: (1, (8, 3), ['.', '', '.', ''], [(17, 13), (9, 4), (8, 10)], [False, False, False, False], 36, False, [True, False, True, False], 4928, 'North', (8, 4))
Element 33: (1, (8, 4), ['.', '', '', ''], [(16, 13), (9, 5), (7, 10)], [False, False, False, False], 34, False, [True, False, False, False], 4947, 'West', (7, 4))
Element 34: (1, (7, 4), ['.', '.', '', ''], [(15, 13), (9, 6), (7, 11)], [False, False, False, False], 32, False, [True, True, False, False], 4976, 'South', (7, 3))
Element 35: (1, (7, 3), ['.', '.', '', ''], [(15, 12), (10, 6), (7, 12)], [False, False, False, False], 30, False, [True, True, False, False], 5005, 'South', (7, 2))
Element 36: (1, (7, 2), ['.', '.', '', ''], [(15, 11), (11, 6), (7, 13)], [False, False, False, False], 28, False, [True, True, False, False], 5034, 'South', (7, 1))
Element 37: (1, (7, 1), ['.', '%', '', ''], [(15, 10), (12, 6), (6, 13)], [False, True, False, False], 26, False, [True, False, False, False], 5063, 'West', (6, 1))
Element 38: (1, (6, 1), ['.', '%', '.', ''], [(14, 10), (12, 7), (6, 12)], [False, True, False, False], 24, False, [True, False, True, False], 5092, 'North', (6, 2))
Element 39: (1, (6, 2), ['.', '', '.', ''], [(14, 11), (13, 7), (6, 11)], [False, False, False, False], 22, False, [True, False, True, False], 5121, 'North', (6, 3))
Element 40: (1, (6, 3), ['.', '', '.', ''], [(14, 12), (13, 8), (6, 10)], [False, False, False, False], 20, False, [True, False, True, False], 5150, 'North', (6, 4))
Element 41: (1, (6, 4), ['.', '', '', ''], [(14, 13), (12, 8), (6, 9)], [False, False, False, False], 18, False, [True, False, False, False], 5179, 'West', (5, 4))
Element 42: (1, (5, 4), ['.', '.', '', ''], [(13, 13), (12, 9), (7, 9)], [False, False, False, False], 16, False, [True, True, False, False], 5198, 'South', (5, 3))
Element 43: (1, (5, 3), ['.', '.', '', ''], [(13, 12), (13, 9), (8, 9)], [False, False, False, False], 14, False, [True, True, False, False], 5207, 'South', (5, 2))
Element 44: (1, (5, 2), ['.', '.', '', ''], [(13, 11), (14, 9), (9, 9)], [False, False, False, False], 12, False, [True, True, False, False], 5216, 'South', (5, 1))
Element 45: (1, (5, 1), ['%', '%', '', ''], [(13, 10), (15, 9), (10, 9)], [True, True, False, False], 10, False, [False, False, False, False], 5225, 'North', (5, 2))
Element 46: (1, (5, 2), ['.', '', '', ''], [(12, 10), (15, 8), (11, 9)], [False, False, False, False], 8, False, [True, False, False, False], 5224, 'West', (4, 2))
Element 47: (1, (4, 2), ['.', '%', '.', ''], [(12, 11), (14, 8), (12, 9)], [False, True, False, False], 6, False, [True, False, True, False], 5233, 'North', (4, 3))
Element 48: (1, (4, 3), ['.', '', '.', ''], [(11, 11), (14, 7), (13, 9)], [False, False, False, False], 4, False, [True, False, True, False], 5242, 'North', (4, 4))
Element 49: (1, (4, 4), ['.', '', '', ''], [(11, 10), (14, 6), (14, 9)], [False, False, False, False], 2, False, [True, False, False, False], 5251, 'West', (3, 4))
Element 50: (1, (3, 4), ['.', '.', '', ''], [(11, 10), (14, 5), (15, 9)], [False, False, False, False], 0, False, [True, True, False, False], 5260, 'Stop', (3, 4))
Element 51: #0#
