Element 1: (1, (5, 4), ['.', '.', '.', '.'], [(15, 4), (14, 10), (15, 13)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'East', (6, 4))
Element 2: (1, (6, 4), ['', '.', '.', '.'], [(15, 5), (15, 10), (16, 13)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (7, 4))
Element 3: (1, (7, 4), ['', '.', '.', '.'], [(15, 6), (16, 10), (17, 13)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (8, 4))
Element 4: (1, (8, 4), ['', '.', '.', '.'], [(16, 6), (16, 9), (18, 13)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (9, 4))
Element 5: (1, (9, 4), ['', '.', '.', '%'], [(17, 6), (16, 8), (17, 13)], [False, False, False, True], 90, False, [False, True, True, False], 1145, 'North', (9, 5))
Element 6: (1, (9, 5), ['.', '', '.', '.'], [(18, 6), (17, 8), (17, 12)], [False, False, False, False], 88, False, [True, False, True, True], 1184, 'East', (10, 5))
Element 7: (1, (10, 5), ['', '%', '.', 'F'], [(18, 7), (18, 8), (16, 12)], [False, True, False, False], 86, False, [False, False, True, False], 1223, 'East', (11, 5))
Element 8: (1, (11, 5), ['', '.', '.', '.'], [(17, 7), (17, 8), (16, 11)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (12, 5))
Element 9: (1, (12, 5), ['', '.', '.', '.'], [(16, 7), (16, 8), (15, 11)], [False, False, False, False], 82, False, [False, True, True, True], 2271, 'East', (13, 5))
Element 10: (1, (13, 5), ['', '.', '%', '.'], [(16, 8), (17, 8), (15, 12)], [False, False, True, False], 80, False, [False, True, False, True], 2290, 'East', (14, 5))
Element 11: (1, (14, 5), ['', '', '.', ''], [(15, 8), (17, 7), (14, 12)], [False, False, False, False], 78, False, [False, False, True, False], 2319, 'North', (14, 6))
Element 12: (1, (14, 6), ['%', '', '.', ''], [(15, 9), (18, 7), (14, 13)], [True, False, False, False], 76, False, [False, False, True, False], 2348, 'North', (14, 7))
