Element 38: (3, (13, 9), ['', '', '', ''], [(16, 3), (2, 12), (13, 13)], [False, False, False, False], 24, False, [False, False, False, False], 4832, 'East', (14, 9))
Element 39: (3, (14, 9), ['', '', '', ''], [(17, 3), (3, 12), (12, 13)], [False, False, False, False], 22, False, [False, False, False, False], 4831, 'East', (15, 9))
Element 40: (3, (15, 9), ['', '', '', ''], [(18, 3), (3, 11), (11, 13)], [False, False, False, False], 20, False, [False, False, False, False], 4840, 'East', (16, 9))
Element 41: (3, (16, 9), ['', '', '', '%'], [(17, 3), (4, 11), (10, 13)], [False, False, False, True], 18, False, [False, False, False, False], 4849, 'North', (16, 10))
Element 42: (3, (16, 10), ['', '', '', '%'], [(16, 3), (5, 11), (10, 12)], [False, False, False, True], 16, False, [False, False, False, False], 4858, 'North', (16, 11))
Element 43: (3, (16, 11), ['', '', '', '%'], [(16, 2), (6, 11), (9, 12)], [False, False, False, True], 14, False, [False, False, False, False], 4867, 'North', (16, 12))
Element 44: (3, (16, 12), ['', '', '', ''], [(16, 1), (6, 10), (9, 13)], [False, False, False, False], 12, False, [False, False, False, False], 4876, 'East', (17, 12))
Element 45: (3, (17, 12), ['', '%', '', '%'], [(17, 1), (7, 10), (8, 13)], [False, True, False, True], 10, False, [False, False, False, False], 4895, 'North', (17, 13))
Element 46: (3, (17, 13), ['', '', '%', ''], [(16, 1), (7, 9), (8, 12)], [False, False, True, False], 8, False, [False, False, False, False], 4904, 'East', (18, 13))
Element 47: (3, (18, 13), ['', '%', '%', '%'], [(15, 1), (7, 8), (8, 11)], [False, True, True, True], 6, False, [False, False, False, False], 4923, 'West', (17, 13))
Element 48: (3, (17, 13), ['', '', '%', ''], [(14, 1), (8, 8), (7, 11)], [False, False, True, False], 4, False, [False, False, False, False], 4942, 'West', (16, 13))
Element 49: (3, (16, 13), ['', '', '%', ''], [(13, 1), (8, 9), (7, 12)], [False, False, True, False], 2, False, [False, False, False, False], 4951, 'West', (15, 13))
Element 50: (3, (15, 13), ['', '', '%', ''], [(13, 1), (8, 9), (7, 12)], [False, False, True, False], 0, False, [False, False, False, False], 4950, 'Stop', (15, 13))
Element 51: #0#
