Element 1: (3, (15, 12), ['G', '.', '.', '.'], [(12, 3), (11, 10), (14, 12)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (16, 12))
Element 2: (3, (16, 12), ['', '.', '.', '.'], [(13, 3), (12, 10), (14, 13)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (17, 12))
Element 3: (3, (17, 12), ['', '%', '.', '%'], [(13, 4), (13, 10), (15, 13)], [False, True, False, True], 94, False, [False, False, True, False], 107, 'North', (17, 13))
Element 4: (3, (17, 13), ['G', '', '%', '.'], [(14, 4), (14, 10), (16, 13)], [False, False, True, False], 92, False, [False, False, False, True], 146, 'East', (18, 13))
Element 5: (3, (18, 13), ['G', '%', '%', '%'], [(15, 4), (15, 10), (17, 13)], [False, True, True, True], 90, False, [False, False, False, False], 175, 'Stop', (18, 13))
Element 6: (3, (18, 13), ['', '%', '%', '%'], [(15, 5), (16, 10), (17, 12)], [False, True, True, True], 88, False, [False, False, False, False], 194, 'West', (17, 13))
Element 7: (3, (17, 13), ['', '', '%', ''], [(15, 6), (16, 9), (16, 12)], [False, False, True, False], 86, False, [False, False, False, False], 1203, 'West', (16, 13))
Element 8: (3, (16, 13), ['', '', '%', ''], [(16, 6), (16, 8), (16, 11)], [False, False, True, False], 84, False, [False, False, False, False], 1232, 'West', (15, 13))
Element 9: (3, (15, 13), ['', '', '%', ''], [(17, 6), (17, 8), (15, 11)], [False, False, True, False], 82, False, [False, False, False, False], 1261, 'West', (14, 13))
Element 10: (3, (14, 13), ['.', '', '%', ''], [(18, 6), (18, 8), (14, 11)], [False, False, True, False], 80, False, [True, False, False, False], 1290, 'West', (13, 13))
Element 11: (3, (13, 13), ['.', '', '%', ''], [(18, 7), (17, 8), (13, 11)], [False, False, True, False], 78, False, [True, False, False, False], 1319, 'West', (12, 13))
Element 12: (3, (12, 13), ['.', '%', '%', ''], [(17, 7), (16, 8), (12, 11)], [False, True, True, False], 76, False, [True, False, False, False], 1348, 'West', (11, 13))
Element 13: (3, (11, 13), ['.', '%', '%', ''], [(16, 7), (17, 8), (11, 11)], [False, True, True, False], 74, False, [True, False, False, False], 1377, 'West', (10, 13))
Element 14: (3, (10, 13), ['.', '.', '%', ''], [(16, 8), (17, 7), (10, 11)], [False, False, True, False], 72, False, [True, True, False, False], 1396, 'South', (10, 12))
Element 15: (3, (10, 12), ['.', '', '', '%'], [(15, 8), (18, 7), (9, 11)], [False, False, False, True], 70, False, [True, False, False, False], 1425, 'West', (9, 12))
Element 16: (3, (9, 12), ['.', '', '.', ''], [(15, 9), (18, 6), (9, 10)], [False, False, False, False], 68, False, [True, False, True, False], 1454, 'North', (9, 13))
Element 17: (3, (9, 13), ['.', '', '%', ''], [(14, 9), (17, 6), (9, 9)], [False, False, True, False], 66, False, [True, False, False, False], 1483, 'West', (8, 13))
Element 18: (3, (8, 13), ['.', '.', '%', ''], [(14, 8), (16, 6), (8, 9)], [False, False, True, False], 64, False, [True, True, False, False], 2502, 'South', (8, 12))
Element 19: (3, (8, 12), ['.', '.', '', ''], [(14, 7), (16, 7), (8, 10)], [False, False, False, False], 62, False, [True, True, False, False], 2531, 'South', (8, 11))
Element 20: (3, (8, 11), ['.', '', '', ''], [(14, 6), (16, 6), (7, 10)], [False, False, False, False], 60, False, [True, False, False, False], 2560, 'West', (7, 11))
Element 21: (3, (7, 11), ['.', '', '.', ''], [(14, 5), (15, 6), (7, 9)], [False, False, False, False], 58, False, [True, False, True, False], 2589, 'North', (7, 12))
Element 22: (3, (7, 12), ['.', '', '.', ''], [(13, 5), (15, 5), (7, 8)], [False, False, False, False], 56, False, [True, False, True, False], 2618, 'North', (7, 13))
Element 23: (3, (7, 13), ['.', '', '%', ''], [(12, 5), (15, 4), (8, 8)], [False, False, True, False], 54, False, [True, False, False, False], 2647, 'West', (6, 13))
Element 24: (3, (6, 13), ['.', '.', '%', ''], [(11, 5), (15, 3), (7, 8)], [False, False, True, False], 52, False, [True, True, False, False], 3666, 'South', (6, 12))
Element 25: (3, (6, 12), ['.', '.', '', ''], [(11, 6), (16, 3), (6, 8)], [False, False, False, False], 50, False, [True, True, False, False], 3705, 'South', (6, 11))
Element 26: (3, (6, 11), ['.', '.', '', ''], [(12, 6), (16, 2), (6, 9)], [False, False, False, False], 48, False, [True, True, False, False], 4734, 'South', (6, 10))
Element 27: (3, (6, 10), ['.', '', '', ''], [(12, 7), (16, 1), (5, 9)], [False, False, False, False], 46, False, [True, False, False, False], 4773, 'West', (5, 10))
Element 28: (3, (5, 10), ['.', '', '.', ''], [(13, 7), (17, 1), (5, 8)], [False, False, False, False], 44, False, [True, False, True, False], 4812, 'North', (5, 11))
Element 29: (3, (5, 11), ['.', '', '.', ''], [(13, 8), (16, 1), (4, 8)], [False, False, False, False], 42, False, [True, False, True, False], 4841, 'North', (5, 12))
Element 30: (3, (5, 12), ['.', '', '.', ''], [(13, 9), (15, 1), (4, 9)], [False, False, False, False], 40, False, [True, False, True, False], 4880, 'North', (5, 13))
Element 31: (3, (5, 13), ['.', '', '%', ''], [(12, 9), (14, 1), (4, 10)], [False, False, True, False], 38, False, [True, False, False, False], 4919, 'West', (4, 13))
Element 32: (3, (4, 13), ['.', '.', '%', ''], [(12, 8), (13, 1), (4, 11)], [False, False, True, False], 36, False, [True, True, False, False], 4958, 'South', (4, 12))
Element 33: (3, (4, 12), ['.', '', '', ''], [(12, 9), (12, 1), (3, 11)], [False, False, False, False], 34, False, [True, False, False, False], 4987, 'West', (3, 12))
